english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
answer,noun,a1,,जवाब (m) / उत्तर (m) / प्रतिउत्तर (m),जवाब (m) / उत्तर (m) / प्रत्युत्तर (m),javāb (m) / uttar (m) / pratiuttar (m),javāb (m) / uttar (m) / pratyuttar (m)
"any (choice, universal)",determiner,a1,,कोई भी / कोई / किसी भी,कोई भी / कोई / किसी भी,kōī bhī / kōī / kisī bhī,kōī bhī / kōī / kisī bhī
any (general selection),pronoun,a1,,कोई / कोई भी / कोई सा,कोई / कोई भी / कोई सा,kōī / kōī bhī / kōī sā,kōī / kōī bhī / kōī sā
"any (in questions, negatives)",determiner,a1,,कोई / कुछ,कोई / कुछ,kōī / kuch,kōī / kuch
any (indefinite quantity),determiner,a1,,कुछ / कोई,कुछ / कोई,kuch / kōī,kuch / kōī
"any (item, choice)",pronoun,a1,,कोई / कोई भी / कोई सा,कोई / कोई भी / कोई सा,kōī / kōī bhī / kōī sā,kōī / kōī bhī / kōī sā
"any (some, if)",pronoun,a1,,कुछ / कोई,कुछ / कोई,kuch / kōī,kuch / kōī
"any (universal choice, usually in context)",determiner,a1,,कोई भी / जो कोई / कोई सा भी,कोई भी / जो कोई / कोई सा भी,kōī bhī / jō kōī / kōī sā bhī,kōī bhī / jō kōī / kōī sā bhī
any (zero quantity),pronoun,a1,,कुछ नहीं / कोई नहीं,कुछ नहीं / कोई नहीं,kuch nahīṁ / kōī nahīṁ,kuch nahīṁ / kōī nahīṁ
"any (zero quantity, with negative verb)",pronoun,a1,,कोई / कुछ,कोई / कुछ,kōī / kuch,kōī / kuch
"anyone (any person, affirmative)",pronoun,a1,,कोई भी / हर कोई,कोई भी / हर कोई,kōī bhī / har kōī,kōī bhī / har kōī
"anyone (in questions, negatives)",pronoun,a1,,कोई / कोई भी,कोई / कोई भी,kōī / kōī bhī,kōī / kōī bhī
"anything (thing, object, general indefinite)",pronoun,a1,,कुछ / कोई भी चीज़,कुछ / कोई भी चीज़ / कोई शय,kuch / kōī bhī cīz,kuch / kōī bhī cīz / kōī śay
anything (whatever the choice),pronoun,a1,,कुछ भी / जो कुछ भी,कुछ भी / जो कुछ भी / जो चाहे,kuch bhī / jō kuch bhī,kuch bhī / jō kuch bhī / jō cāhē
apartment,noun,a1,,फ़्लैट (m) / अपार्टमेंट (m) / आवास (m),फ़्लैट (m) / अपार्टमेंट (m) / शुक़्क़ा (m),flaiṭa (m) / apārṭamēṁṭa (m) / āvās (m),flaiṭa (m) / apārṭamēṁṭa (m) / śuqqā (m)
apple,noun,a1,,सेब (m),सेब (m),sēb (m),sēb (m)
april,noun,a1,,अप्रैल (m),अप्रैल (m),aprail (m),aprail (m)
area (measurement),noun,a1,,रकबा (m) / क्षेत्रफल (m),रकबा (m) / क्षेत्रफल (m) / इलाक़ा (m),rakabā (m) / kṣētraphal (m),rakabā (m) / kṣētraphal (m) / ilāqā (m)
around (approximate time or quantity),preposition,a1,,लगभग / क़रीब / आस-पास,लगभग / क़रीब / आस-पास,lagabhag / qarīb / ās-pās,lagabhag / qarīb / ās-pās
around (approximately),adverb,a1,,लगभग / क़रीब-क़रीब / अंदाज़न,लगभग / क़रीब-क़रीब / अंदाज़न,lagabhag / qarīb-qarīb / aṁdāzan,lagabhag / qarīb-qarīb / aṁdāzan
"around (movement, periphery)",adverb,a1,,चारों ओर / इर्द-गिर्द / आस-पास,चारों ओर / इर्द-गिर्द / आस-पास,cārōṁ ōr / ird-gird / ās-pās,cārōṁ ōr / ird-gird / ās-pās
around (nearby or in the vicinity),preposition,a1,,आस-पास / क़रीब / नज़दीक,आस-पास / क़रीब / नज़दीक,ās-pās / qarīb / nazadīk,ās-pās / qarīb / nazadīk
"around (nearby, in the vicinity)",adverb,a1,,आस-पास / क़रीब / इर्द-गिर्द,आस-पास / क़रीब / इर्द-गिर्द,ās-pās / qarīb / ird-gird,ās-pās / qarīb / ird-gird
around (surrounding something or moving in a circle),preposition,a1,,के आस-पास / चारों ओर / इर्द-गिर्द / के गिर्द,के आस-पास / चारों ओर / इर्द-गिर्द / के गिर्द,kē ās-pās / cārōṁ ōr / ird-gird / kē gird,kē ās-pās / cārōṁ ōr / ird-gird / kē gird
arrow (projectile),noun,a1,,तीर (m) / बाण (m) / शर (m),तीर (m) / बाण (m) / शर (m),tīr (m) / bāṇa (m) / śar (m),tīr (m) / bāṇa (m) / śar (m)
art (skill or technique),noun,a1,,कला (f) / हुनर (m) / फ़न (m),हुनर (m) / फ़न (m) / कला (f),kalā (f) / hunar (m) / fan (m),hunar (m) / fan (m) / kalā (f)
article (object),noun,a1,,चीज़ (f) / वस्तु (f) / सामग्री (f),चीज़ (f) / शय (f) / वस्तु (f),cīz (f) / vastu (f) / sāmagrī (f),cīz (f) / śay (f) / vastu (f)
article (writing),noun,a1,,लेख (m) / मक़ाला (m) / निबंध (m),मक़ाला (m) / लेख (m) / मज़मून (m),lēkh (m) / maqālā (m) / nibaṁdh (m),maqālā (m) / lēkh (m) / mazamūn (m)
"artist (performer, general artiste)",noun,a1,,कलाकार (m) / फ़नकार (m),कलाकार (m) / फ़नकार (m),kalākār (m) / fanakār (m),kalākār (m) / fanakār (m)
"artist (visual creator, e.g., painter)",noun,a1,,चित्रकार (m) / कलाकार (m) / मुसव्विर (m),चित्रकार (m) / मुसव्विर (m) / कलाकार (m),citrakār (m) / kalākār (m) / musavvir (m),citrakār (m) / musavvir (m) / kalākār (m)
as (in the role of),preposition,a1,,के तौर पर / के रूप में,के तौर पर / की हैसियत से,kē taur par / kē rūp mēṁ,kē taur par / kī haisiyat sē
"as (like, in the manner of)",preposition,a1,,जैसे / की तरह / समान,जैसे / की तरह / मानिंद,jaisē / kī tarah / samān,jaisē / kī tarah / māniṁd
asleep (in slumber),adjective,a1,,सोया हुआ / निद्रामग्न,सोया हुआ / नींद में / ख़्वाब-ज़दा,sōyā huā / nidrāmagn,sōyā huā / nīṁd mēṁ / k͟hvāb-zadā
"at (target, direction)",preposition,a1,,की ओर / की तरफ़ / पर,की तरफ़ / की जानिब / पर,kī ōr / kī taraf / par,kī taraf / kī jānib / par
"at (time, moment)",preposition,a1,,पर / को / के वक़्त,पर / को / के वक़्त / के लम्हे,par / kō / kē vaqt,par / kō / kē vaqt / kē lamhē
august,noun,a1,,अगस्त (m),अगस्त (m),agast (m),agast (m)
aunt (father's sister),noun,a1,,बुआ (f) / पितृष्वसा (f),बुआ (f) / फुप्पी (f),buā (f) / pitr̥ṣvasā (f),buā (f) / phuppī (f)
aunt (mother's elder sister),noun,a1,,मौसी (f) / मासी (f) / मातृष्वसा (f),मौसी (f) / ख़ाला (f),mausī (f) / māsī (f) / mātr̥ṣvasā (f),mausī (f) / k͟hālā (f)
aunt (mother's younger sister),noun,a1,,मौसी (f) / मासी (f) / मातृष्वसा (f),मौसी (f) / ख़ाला (f),mausī (f) / māsī (f) / mātr̥ṣvasā (f),mausī (f) / k͟hālā (f)
auto (common usage),noun,a1,,ऑटो (m) / ऑटो रिक्शा (m),ऑटो (m) / ऑटो रिक्शा (m),ôṭō (m) / ôṭō rikśā (m),ôṭō (m) / ôṭō rikśā (m)
autumn,noun,a1,,पतझड़ (m) / शरद ऋतु (f) / ख़िज़ाँ (f),ख़िज़ाँ (f) / पतझड़ (m),patajhaṛa (m) / śarad r̥tu (f) / k͟hizām̐ (f),k͟hizām̐ (f) / patajhaṛa (m)
away (distance or absence),adverb,a1,,दूर / परे,दूर / परे / ग़ायब,dūr / parē,dūr / parē / ġāyab
away (into storage or hiding),adverb,a1,,हटाकर / छिपाकर / अलग,हटाकर / छिपाकर / पोशीदा,haṭākar / chipākar / alag,haṭākar / chipākar / pōśīdā
baby,noun,a1,,बच्चा (m) / शिशु (m) / नवजात (m),बच्चा (m) / नन्हा (m) / शिशु (m),baccā (m) / śiśu (m) / navajāt (m),baccā (m) / nanhā (m) / śiśu (m)
baby (term of endearment),noun,a1,,जान (f) / प्रिय (m/f) / बाबू (m),जान (f) / महबूब (m) / दिलबर (m/f),jān (f) / priy (m/f) / bābū (m),jān (f) / mahabūb (m) / dilabar (m/f)
back,adverb,a1,,वापस / पीछे,वापस / पीछे / बाज़,vāpas / pīchē,vāpas / pīchē / bāz
back (rear side),noun,a1,,पीठ (f) / पिछला हिस्सा (m) / पृष्ठभाग (m),पीठ (f) / पुश्त (f),pīṭh (f) / pichalā hissā (m) / pr̥ṣṭhabhāg (m),pīṭh (f) / puśt (f)
"bad (sick, unwell)",adjective,a1,,बीमार / अस्वस्थ / रुग्ण,बीमार / नासाज़ / अस्वस्थ,bīmār / asvasth / rugṇa,bīmār / nāsāz / asvasth
ball,noun,a1,,गेंद (f) / कंदुक (m),गेंद (f) / कुर्रा (m),gēṁd (f) / kaṁduk (m),gēṁd (f) / kurrā (m)
"banana (unripe, raw)",noun,a1,,कच्चा केला (m) / हरित कदली (f),कच्चा केला (m) / ख़ाम केला (m),kaccā kēlā (m) / harit kadalī (f),kaccā kēlā (m) / k͟hām kēlā (m)
band (musical group),noun,a1,,बैंड (m) / संगीत मंडली (f) / वाद्यवृंद (m),बैंड (m) / संगीत मंडली (f) / मौसीक़ी ग्रुप (m),baiṁḍa (m) / saṁgīt maṁḍalī (f) / vādyavr̥ṁd (m),baiṁḍa (m) / saṁgīt maṁḍalī (f) / mausīqī grup (m)
"bank (river, lake)",noun,a1,,किनारा (m) / तट (m) / कूल (m),किनारा (m) / साहिल (m) / तट (m),kinārā (m) / taṭa (m) / kūl (m),kinārā (m) / sāhil (m) / taṭa (m)
bath,noun,a1,,ग़ुसल (m) / स्नान (m),ग़ुसल (m) / स्नान (m),ġusal (m) / snān (m),ġusal (m) / snān (m)
beach,noun,a1,,बीच (m) / समुद्र तट (m) / किनारा (m),साहिल (m) / समुद्र तट (m) / बीच (m),bīc (m) / samudr taṭa (m) / kinārā (m),sāhil (m) / samudr taṭa (m) / bīc (m)
beautiful,adjective,a1,,ख़ूबसूरत / सुंदर / हसीन,ख़ूबसूरत / हसीन / ज़ेबा,k͟hūbasūrat / suṁdar / hasīn,k͟hūbasūrat / hasīn / zēbā
because (clause connector),conjunction,a1,,क्योंकि / चूँकि,क्योंकि / चूँकि,kyōṁki / cūm̐ki,kyōṁki / cūm̐ki
"because of (a noun, reason)",conjunction,a1,,की वजह से / के कारण / के सबब से,की वजह से / के सबब से / के बाइस,kī vajah sē / kē kāraṇa / kē sabab sē,kī vajah sē / kē sabab sē / kē bāis
bed (planting area),noun,a1,,क्यारी (f) / मेड़ (f),क्यारी (f) / मेड़ (f),kyārī (f) / mēṛa (f),kyārī (f) / mēṛa (f)
bedroom,noun,a1,,बेडरूम (m) / सोने का कमरा (m) / शयनकक्ष (m),बेडरूम (m) / सोने का कमरा (m) / ख़्वाबगाह (f),bēḍarūm (m) / sōnē kā kamarā (m) / śayanakakṣa (m),bēḍarūm (m) / sōnē kā kamarā (m) / k͟hvābagāh (f)
beer,noun,a1,,बीयर (f),बीयर (f),bīyar (f),bīyar (f)
before (time),preposition,a1,,पहले / से पहले / पूर्व,पहले / से पहले / क़ब्ल,pahalē / sē pahalē / pūrv,pahalē / sē pahalē / qabl
behind (at the rear),preposition,a1,,पीछे / के पीछे / पश्चात,पीछे / के पीछे / पस,pīchē / kē pīchē / paścāt,pīchē / kē pīchē / pas
behind (delayed or late),adverb,a1,,देर से / पीछे,देर से / पीछे,dēr sē / pīchē,dēr sē / pīchē
behind (remaining or lagging),preposition,a1,,पीछे / बाद में,पीछे / बाद में,pīchē / bād mēṁ,pīchē / bād mēṁ
below (in a document or list),adverb,a1,,नीचे / अधोलिखित,नीचे / ज़ेर-ए-ज़िक्र,nīcē / adhōlikhit,nīcē / zēr-ē-zikr
below (less than a standard/value),preposition,a1,,से कम / नीचे,से कम / नीचे,sē kam / nīcē,sē kam / nīcē
below (less than),preposition,a1,,से कम / नीचे,से कम / नीचे,sē kam / nīcē,sē kam / nīcē
below (spatially),preposition,a1,,नीचे / तले,नीचे / तले,nīcē / talē,nīcē / talē
better (in health),adjective,a1,,बेहतर / ठीक / अच्छा,बेहतर / ठीक / अच्छा,bēhatar / ṭhīk / acchā,bēhatar / ṭhīk / acchā
between,preposition,a1,,के बीच / दरमियान,के बीच / दरमियान,kē bīc / daramiyān,kē bīc / daramiyān
big,adjective,a1,,बड़ा / विशाल / महान,बड़ा / अज़ीम / विशाल,baṛā / viśāl / mahān,baṛā / azīm / viśāl
bike (bicycle),noun,a1,,साइकिल (f) / द्विचक्रिका (f),साइकिल (f) / दोपहिया (f),sāikil (f) / dvicakrikā (f),sāikil (f) / dōpahiyā (f)
bill (bird's beak),noun,a1,,चोंच (f),चोंच (f),cōṁc (f),cōṁc (f)
bill (invoice),noun,a1,,बिल (m) / रसीद (f) / देयक (m),बिल (m) / रसीद (f) / हिसाब (m) / फ़हरिस्त (f),bil (m) / rasīd (f) / dēyak (m),bil (m) / rasīd (f) / hisāb (m) / faharist (f)
bird (common),noun,a1,,चिड़िया (f),चिड़िया (f),ciṛiyā (f),ciṛiyā (f)
"bird (general, formal)",noun,a1,,पंछी (m) / पक्षी (m),परिंदा (m) / पंछी (m) / तैयूर (m),paṁchī (m) / pakṣī (m),pariṁdā (m) / paṁchī (m) / taiyūr (m)
birthday,noun,a1,,जन्मदिन (m) / सालगिरह (f),सालगिरह (f) / यौम-ए-पैदाइश (m),janmadin (m) / sālagirah (f),sālagirah (f) / yaum-ē-paidāiśa (m)
black (color),noun,a1,,काला रंग (m) / श्याम रंग (m),काला रंग (m) / सियाह रंग (m),kālā raṁg (m) / śyām raṁg (m),kālā raṁg (m) / siyāh raṁg (m)
blog,noun,a1,,ब्लॉग (m) / चिट्ठा (m),ब्लॉग (m) / मुदव्वना (f),blôg (m) / ciṭṭhā (m),blôg (m) / mudavvanā (f)
blonde,adjective,a1,,सुनहरे बालों वाला / गोरा,सुनहरे बालों वाला / शकर-रंग,sunaharē bālōṁ vālā / gōrā,sunaharē bālōṁ vālā / śakar-raṁg
blue,noun,a1,,नीला रंग (m),नीला रंग (m) / अज़्रक़ रंग (m),nīlā raṁg (m),nīlā raṁg (m) / azraq raṁg (m)
boat,noun,a1,,नाव (f) / किश्ती (f),नाव (f) / किश्ती (f) / बेड़ा (m),nāv (f) / kiśtī (f),nāv (f) / kiśtī (f) / bēṛā (m)
body,noun,a1,,बदन (m) / शरीर (m) / देह (f) / काया (f),बदन (m) / जिस्म (m) / तन (m),badan (m) / śarīr (m) / dēh (f) / kāyā (f),badan (m) / jism (m) / tan (m)
book,noun,a1,,किताब (f) / पुस्तक (f) / पोथी (f),किताब (f) / पोथी (f),kitāb (f) / pustak (f) / pōthī (f),kitāb (f) / pōthī (f)
boot,noun,a1,,बूट (m) / जूता (m),बूट (m) / जूता (m),būṭa (m) / jūtā (m),būṭa (m) / jūtā (m)
bored,adjective,a1,,ऊबा हुआ / बोर,ऊबा हुआ / बेज़ार,ūbā huā / bōr,ūbā huā / bēzār
"boring (tedious, dull)",adjective,a1,,उबाऊ / नीरस / बोरिंग,उबाऊ / बेज़ार-कुन,ubāū / nīras / bōriṁg,ubāū / bēzār-kun
both (modifying a noun),pronoun,a1,,दोनों,दोनों / हर दो,dōnōṁ,dōnōṁ / har dō
both (people),determiner,a1,,दोनों,दोनों / हर दो,dōnōṁ,dōnōṁ / har dō
bottle,noun,a1,,बोतल (f) / शीशी (f),बोतल (f) / शीशी (f),bōtal (f) / śīśī (f),bōtal (f) / śīśī (f)
box,noun,a1,,डिब्बा (m) / बक्सा (m) / पेटी (f),डिब्बा (m) / संदूक़ (m) / बक्सा (m),ḍibbā (m) / baksā (m) / pēṭī (f),ḍibbā (m) / saṁdūq (m) / baksā (m)
boy,noun,a1,,लड़का (m) / बालक (m) / छोकरा (m),लड़का (m) / बच्चा (m) / फ़रज़ंद (m),laṛakā (m) / bālak (m) / chōkarā (m),laṛakā (m) / baccā (m) / farazaṁd (m)
"boyfriend (casual, direct usage)",noun,a1,,बॉयफ्रेंड (m) / प्रेमी (m),बॉयफ्रेंड (m) / दोस्त (m) / प्रेमी (m),bôyaphrēṁḍa (m) / prēmī (m),bôyaphrēṁḍa (m) / dōst (m) / prēmī (m)
boyfriend (general),noun,a1,,प्रेमी (m) / बॉयफ्रेंड (m) / प्रियतम (m),प्रेमी (m) / महबूब (m) / आशिक़ (m),prēmī (m) / bôyaphrēṁḍa (m) / priyatam (m),prēmī (m) / mahabūb (m) / āśiq (m)
bread,noun,a1,,ब्रेड (f) / पाव (m),ब्रेड (f) / पाव (m),brēḍa (f) / pāv (m),brēḍa (f) / pāv (m)
bread (flatbread/roti),noun,a1,,रोटी (f) / चपाती (f) / पराठा (m),रोटी (f) / चपाती (f) / नान (f) / पराठा (m),rōṭī (f) / capātī (f) / parāṭhā (m),rōṭī (f) / capātī (f) / nān (f) / parāṭhā (m)
"bread (general flatbread, roti)",noun,a1,,रोटी (f) / चपाती (f) / फुलका (m),रोटी (f) / चपाती (f) / नान (f),rōṭī (f) / capātī (f) / phulakā (m),rōṭī (f) / capātī (f) / nān (f)
bread (Western style),noun,a1,,ब्रेड (f) / पाव (m) / डबलरोटी (f),ब्रेड (f) / पाव (m) / डबलरोटी (f),brēḍa (f) / pāv (m) / ḍabalarōṭī (f),brēḍa (f) / pāv (m) / ḍabalarōṭī (f)
break (rest period),noun,a1,,ब्रेक (m) / आराम (m) / अवकाश (m),ब्रेक (m) / आराम (m) / वक़्फ़ा (m),brēk (m) / ārām (m) / avakāśa (m),brēk (m) / ārām (m) / vaqfā (m)
breakfast (common),noun,a1,,नाश्ता (m) / सुबह का खाना (m),नाश्ता (m) / सुबह का खाना (m),nāśtā (m) / subah kā khānā (m),nāśtā (m) / subah kā khānā (m)
breakfast (formal),noun,a1,,प्रात:काल का भोजन (m) / नाश्ता (m),सुबह का नाश्ता (m) / नाश्ता (m),prāt:kāl kā bhōjan (m) / nāśtā (m),subah kā nāśtā (m) / nāśtā (m)
brother (elder),noun,a1,,भैया (m) / बड़े भाई (m) / अग्रज (m),भाई जान (m) / बड़े भाई (m) / भाई (m),bhaiyā (m) / baṛē bhāī (m) / agraj (m),bhāī jān (m) / baṛē bhāī (m) / bhāī (m)
brother (younger),noun,a1,,छोटा भाई (m) / भाई (m) / अनुज (m),छोटा भाई (m) / भाई (m) / बर्रादर-ए-ख़ुर्द (m),chōṭā bhāī (m) / bhāī (m) / anuj (m),chōṭā bhāī (m) / bhāī (m) / barrādar-ē-k͟hurd (m)
brown,noun,a1,,भूरा रंग (m) / बादामी रंग (m) / कत्थई रंग (m),भूरा रंग (m) / बादामी रंग (m) / कत्थई रंग (m) / ख़ाकी रंग (m),bhūrā raṁg (m) / bādāmī raṁg (m) / katthaī raṁg (m),bhūrā raṁg (m) / bādāmī raṁg (m) / katthaī raṁg (m) / k͟hākī raṁg (m)
brown (adjective),noun,a1,,भूरा / बादामी / कत्थई,भूरा / बादामी / कत्थई / ख़ाकी,bhūrā / bādāmī / katthaī,bhūrā / bādāmī / katthaī / k͟hākī
building,noun,a1,,इमारत (f) / भवन (m) / अट्टालिका (f),इमारत (f) / बिल्डिंग (f) / मकाँ (m),imārat (f) / bhavan (m) / aṭṭālikā (f),imārat (f) / bilḍiṁg (f) / makām̐ (m)
