english_word,word_class,level,verb_transitivity,translation,transliteration
"around (movement, periphery)",adverb,a1,,चारों ओर / इर्द-गिर्द / आस-पास,cārōṁ ōr / ird-gird / ās-pās
around (nearby or in the vicinity),preposition,a1,,आस-पास / क़रीब / नज़दीक,ās-pās / qarīb / nazadīk
"around (nearby, in the vicinity)",adverb,a1,,आस-पास / क़रीब / इर्द-गिर्द,ās-pās / qarīb / ird-gird
around (surrounding something or moving in a circle),preposition,a1,,के आस-पास / चारों ओर / इर्द-गिर्द / के गिर्द,kē ās-pās / cārōṁ ōr / ird-gird / kē gird
arrow (projectile),noun,a1,,तीर (m) / बाण (m) / शर (m),tīr (m) / bāṇa (m) / śar (m)
art (skill or technique),noun,a1,,कला (f) / हुनर (m) / फ़न (m),kalā (f) / hunar (m) / fan (m)
article (object),noun,a1,,चीज़ (f) / वस्तु (f) / सामग्री (f),cīz (f) / vastu (f) / sāmagrī (f)
article (writing),noun,a1,,लेख (m) / मक़ाला (m) / निबंध (m),lēkh (m) / maqālā (m) / nibaṁdh (m)
"artist (performer, general artiste)",noun,a1,,कलाकार (m) / फ़नकार (m),kalākār (m) / fanakār (m)
"artist (visual creator, e.g., painter)",noun,a1,,चित्रकार (m) / कलाकार (m) / मुसव्विर (m),citrakār (m) / kalākār (m) / musavvir (m)
as (in the role of),preposition,a1,,के तौर पर / के रूप में,kē taur par / kē rūp mēṁ
"as (like, in the manner of)",preposition,a1,,जैसे / की तरह / समान,jaisē / kī tarah / samān
asleep (in slumber),adjective,a1,,सोया हुआ / निद्रामग्न,sōyā huā / nidrāmagn
"at (target, direction)",preposition,a1,,की ओर / की तरफ़ / पर,kī ōr / kī taraf / par
"at (time, moment)",preposition,a1,,पर / को / के वक़्त,par / kō / kē vaqt
august,noun,a1,,अगस्त (m),agast (m)
aunt (father's sister),noun,a1,,बुआ (f) / पितृष्वसा (f),buā (f) / pitr̥ṣvasā (f)
aunt (mother's elder sister),noun,a1,,मौसी (f) / मासी (f) / मातृष्वसा (f),mausī (f) / māsī (f) / mātr̥ṣvasā (f)
aunt (mother's younger sister),noun,a1,,मौसी (f) / मासी (f) / मातृष्वसा (f),mausī (f) / māsī (f) / mātr̥ṣvasā (f)
auto (common usage),noun,a1,,ऑटो (m) / ऑटो रिक्शा (m),ôṭō (m) / ôṭō rikśā (m)
autumn,noun,a1,,पतझड़ (m) / शरद ऋतु (f) / ख़िज़ाँ (f),patajhaṛa (m) / śarad r̥tu (f) / k͟hizām̐ (f)
away (distance or absence),adverb,a1,,दूर / परे,dūr / parē
away (into storage or hiding),adverb,a1,,हटाकर / छिपाकर / अलग,haṭākar / chipākar / alag
baby,noun,a1,,बच्चा (m) / शिशु (m) / नवजात (m),baccā (m) / śiśu (m) / navajāt (m)
baby (term of endearment),noun,a1,,जान (f) / प्रिय (m/f) / बाबू (m),jān (f) / priy (m/f) / bābū (m)
back,adverb,a1,,वापस / पीछे,vāpas / pīchē
back (rear side),noun,a1,,पीठ (f) / पिछला हिस्सा (m) / पृष्ठभाग (m),pīṭh (f) / pichalā hissā (m) / pr̥ṣṭhabhāg (m)
"bad (sick, unwell)",adjective,a1,,बीमार / अस्वस्थ / रुग्ण,bīmār / asvasth / rugṇa
ball,noun,a1,,गेंद (f) / कंदुक (m),gēṁd (f) / kaṁduk (m)
"banana (unripe, raw)",noun,a1,,कच्चा केला (m) / हरित कदली (f),kaccā kēlā (m) / harit kadalī (f)
band (musical group),noun,a1,,बैंड (m) / संगीत मंडली (f) / वाद्यवृंद (m),baiṁḍa (m) / saṁgīt maṁḍalī (f) / vādyavr̥ṁd (m)
"bank (river, lake)",noun,a1,,किनारा (m) / तट (m) / कूल (m),kinārā (m) / taṭa (m) / kūl (m)
bath,noun,a1,,ग़ुसल (m) / स्नान (m),ġusal (m) / snān (m)
beach,noun,a1,,बीच (m) / समुद्र तट (m) / किनारा (m),bīc (m) / samudr taṭa (m) / kinārā (m)
beautiful,adjective,a1,,ख़ूबसूरत / सुंदर / हसीन,k͟hūbasūrat / suṁdar / hasīn
because (clause connector),conjunction,a1,,क्योंकि / चूँकि,kyōṁki / cūm̐ki
"because of (a noun, reason)",conjunction,a1,,की वजह से / के कारण / के सबब से,kī vajah sē / kē kāraṇa / kē sabab sē
bed (planting area),noun,a1,,क्यारी (f) / मेड़ (f),kyārī (f) / mēṛa (f)
bedroom,noun,a1,,बेडरूम (m) / सोने का कमरा (m) / शयनकक्ष (m),bēḍarūm (m) / sōnē kā kamarā (m) / śayanakakṣa (m)
beer,noun,a1,,बीयर (f),bīyar (f)
before (time),preposition,a1,,पहले / से पहले / पूर्व,pahalē / sē pahalē / pūrv
behind (at the rear),preposition,a1,,पीछे / के पीछे / पश्चात,pīchē / kē pīchē / paścāt
behind (delayed or late),adverb,a1,,देर से / पीछे,dēr sē / pīchē
behind (remaining or lagging),preposition,a1,,पीछे / बाद में,pīchē / bād mēṁ
below (in a document or list),adverb,a1,,नीचे / अधोलिखित,nīcē / adhōlikhit
below (less than a standard/value),preposition,a1,,से कम / नीचे,sē kam / nīcē
below (less than),preposition,a1,,से कम / नीचे,sē kam / nīcē
below (spatially),preposition,a1,,नीचे / तले,nīcē / talē
better (in health),adjective,a1,,बेहतर / ठीक / अच्छा,bēhatar / ṭhīk / acchā
between,preposition,a1,,के बीच / दरमियान,kē bīc / daramiyān
big,adjective,a1,,बड़ा / विशाल / महान,baṛā / viśāl / mahān
bike (bicycle),noun,a1,,साइकिल (f) / द्विचक्रिका (f),sāikil (f) / dvicakrikā (f)
bill (bird's beak),noun,a1,,चोंच (f),cōṁc (f)
bill (invoice),noun,a1,,बिल (m) / रसीद (f) / देयक (m),bil (m) / rasīd (f) / dēyak (m)
bird (common),noun,a1,,चिड़िया (f),ciṛiyā (f)
"bird (general, formal)",noun,a1,,पंछी (m) / पक्षी (m),paṁchī (m) / pakṣī (m)
birthday,noun,a1,,जन्मदिन (m) / सालगिरह (f),janmadin (m) / sālagirah (f)
black (color),noun,a1,,काला रंग (m) / श्याम रंग (m),kālā raṁg (m) / śyām raṁg (m)
blog,noun,a1,,ब्लॉग (m) / चिट्ठा (m),blôg (m) / ciṭṭhā (m)
blonde,adjective,a1,,सुनहरे बालों वाला / गोरा,sunaharē bālōṁ vālā / gōrā
blue,noun,a1,,नीला रंग (m),nīlā raṁg (m)
boat,noun,a1,,नाव (f) / किश्ती (f),nāv (f) / kiśtī (f)
body,noun,a1,,बदन (m) / शरीर (m) / देह (f) / काया (f),badan (m) / śarīr (m) / dēh (f) / kāyā (f)
book,noun,a1,,किताब (f) / पुस्तक (f) / पोथी (f),kitāb (f) / pustak (f) / pōthī (f)
boot,noun,a1,,बूट (m) / जूता (m),būṭa (m) / jūtā (m)
bored,adjective,a1,,ऊबा हुआ / बोर,ūbā huā / bōr
"boring (tedious, dull)",adjective,a1,,उबाऊ / नीरस / बोरिंग,ubāū / nīras / bōriṁg
both (modifying a noun),pronoun,a1,,दोनों,dōnōṁ
both (people),determiner,a1,,दोनों,dōnōṁ
bottle,noun,a1,,बोतल (f) / शीशी (f),bōtal (f) / śīśī (f)
box,noun,a1,,डिब्बा (m) / बक्सा (m) / पेटी (f),ḍibbā (m) / baksā (m) / pēṭī (f)
boy,noun,a1,,लड़का (m) / बालक (m) / छोकरा (m),laṛakā (m) / bālak (m) / chōkarā (m)
"boyfriend (casual, direct usage)",noun,a1,,बॉयफ्रेंड (m) / प्रेमी (m),bôyaphrēṁḍa (m) / prēmī (m)
boyfriend (general),noun,a1,,प्रेमी (m) / बॉयफ्रेंड (m) / प्रियतम (m),prēmī (m) / bôyaphrēṁḍa (m) / priyatam (m)
bread,noun,a1,,ब्रेड (f) / पाव (m),brēḍa (f) / pāv (m)
bread (flatbread/roti),noun,a1,,रोटी (f) / चपाती (f) / पराठा (m),rōṭī (f) / capātī (f) / parāṭhā (m)
"bread (general flatbread, roti)",noun,a1,,रोटी (f) / चपाती (f) / फुलका (m),rōṭī (f) / capātī (f) / phulakā (m)
bread (Western style),noun,a1,,ब्रेड (f) / पाव (m) / डबलरोटी (f),brēḍa (f) / pāv (m) / ḍabalarōṭī (f)
break (rest period),noun,a1,,ब्रेक (m) / आराम (m) / अवकाश (m),brēk (m) / ārām (m) / avakāśa (m)
breakfast (common),noun,a1,,नाश्ता (m) / सुबह का खाना (m),nāśtā (m) / subah kā khānā (m)
breakfast (formal),noun,a1,,प्रात:काल का भोजन (m) / नाश्ता (m),prāt:kāl kā bhōjan (m) / nāśtā (m)
brother (elder),noun,a1,,भैया (m) / बड़े भाई (m) / अग्रज (m),bhaiyā (m) / baṛē bhāī (m) / agraj (m)
brother (younger),noun,a1,,छोटा भाई (m) / भाई (m) / अनुज (m),chōṭā bhāī (m) / bhāī (m) / anuj (m)
brown,noun,a1,,भूरा रंग (m) / बादामी रंग (m) / कत्थई रंग (m),bhūrā raṁg (m) / bādāmī raṁg (m) / katthaī raṁg (m)
brown (adjective),noun,a1,,भूरा / बादामी / कत्थई,bhūrā / bādāmī / katthaī
building,noun,a1,,इमारत (f) / भवन (m) / अट्टालिका (f),imārat (f) / bhavan (m) / aṭṭālikā (f)
bus,noun,a1,,बस (f) / बस गाड़ी (f),bas (f) / bas gāṛī (f)
"business (commercial enterprise, trade)",noun,a1,,कारोबार (m) / व्यापार (m) / व्यवसाय (m),kārōbār (m) / vyāpār (m) / vyavasāy (m)
"busy (crowded, bustling)",adjective,a1,,भीड़-भाड़ वाला / व्यस्त / चहल-पहल वाला,bhīṛa-bhāṛa vālā / vyast / cahal-pahal vālā
busy (telephone line engaged),adjective,a1,,व्यस्त / एंगेज्ड,vyast / ēṁgējḍa
by (deadline),preposition,a1,,तक / से पहले,tak / sē pahalē
by (means of),preposition,a1,,से / द्वारा,sē / dvārā
"by (near, beside)",preposition,a1,,पास / नज़दीक / समीप,pās / nazadīk / samīp
bye (casual),noun,a1,,टाटा (f) / अलविदा (f) / विदाई (f),ṭāṭā (f) / alavidā (f) / vidāī (f)
bye (polite parting),exclamation,a1,,अलविदा / फिर मिलेंगे,alavidā / phir milēṁgē
cafe,noun,a1,,कैफ़े (m) / कॉफ़ी-हाउस (m),kaifē (m) / kôfī-hāus (m)
cake,noun,a1,,केक (m),kēk (m)
"call (shout, cry)",noun,a1,,पुकार (f) / आवाज़ (f) / चीख़ (f),pukār (f) / āvāz (f) / cīk͟h (f)
call (telephone),noun,a1,,फ़ोन (m) / कॉल (f) / दूरभाष (m),fōn (m) / kôl (f) / dūrabhāṣa (m)
camera,noun,a1,,कैमरा (m),kaimarā (m)
can (ability),modal verb,a1,,सकना,sakanā
"can (permission, request)",modal verb,a1,,सकना / इजाज़त होना,sakanā / ijāzat hōnā
"cannot (be allowed to , prohibited)",modal verb,a1,,नहीं कर पाना / मना होना / वर्जित होना,nahīṁ kar pānā / manā hōnā / varjit hōnā
"capital (chief, of the main city)",adjective,a1,,मुख्य / प्रधान / राजधानी का,mukhy / pradhān / rājadhānī kā
capital (city),noun,a1,,राजधानी (f),rājadhānī (f)
capital (financial assets),noun,a1,,पूँजी (f) / निधि (f) / सरमाया (m),pūm̐jī (f) / nidhi (f) / saramāyā (m)
capital (letter),adjective,a1,,बड़ा / वृहत्,baṛā / vr̥hat
car,noun,a1,,गाड़ी (f) / कार (f) / मोटर गाड़ी (f),gāṛī (f) / kār (f) / mōṭar gāṛī (f)
"card (greeting, post)",noun,a1,,कार्ड (m) / शुभकामना पत्र (m) / डाक पत्र (m),kārḍa (m) / śubhakāmanā patr (m) / ḍāk patr (m)
"card (ID, Bank)",noun,a1,,कार्ड (m) / पहचान पत्र (m) / बैंक कार्ड (m),kārḍa (m) / pahacān patr (m) / baiṁk kārḍa (m)
career,noun,a1,,करियर (m) / पेशा (m) / वृत्ति (f) / व्यवसाय (m),kariyar (m) / pēśā (m) / vr̥tti (f) / vyavasāy (m)
carrot,noun,a1,,गाजर (f),gājar (f)
cat,noun,a1,,बिल्ली (f) / मार्जारी (f),billī (f) / mārjārī (f)
cd,noun,a1,,सीडी (f) / कॉम्पैक्ट डिस्क (f),sīḍī (f) / kômpaikṭa ḍisk (f)
cent (unit of land area),noun,a1,,सेंट (m),sēṁṭa (m)
"centre (institution, hub)",noun,a1,,केंद्र (m) / सेंटर (m) / मरकज़ (m),kēṁdr (m) / sēṁṭar (m) / marakaz (m)
century (100 years),noun,a1,,सदी (f) / शताब्दी (f),sadī (f) / śatābdī (f)
century (cricket score),noun,a1,,शतक (m) / सेंचुरी (f),śatak (m) / sēṁcurī (f)
change (alteration),noun,a1,,बदलाव (m) / तब्दीली (f) / परिवर्तन (m),badalāv (m) / tabdīlī (f) / parivartan (m)
change (money remainder),noun,a1,,खुले पैसे (m) / छुट्टा (m) / शेष (m),khulē paisē (m) / chuṭṭā (m) / śēṣa (m)
chart (map for navigation),noun,a1,,चार्ट (m) / नक़्शा (m) / मानचित्र (m),cārṭa (m) / naqśā (m) / mānacitr (m)
cheap (low cost),adjective,a1,,सस्ता / कम दाम का,sastā / kam dām kā
cheap (low quality),adjective,a1,,सस्ता / घटिया / निम्न कोटि का,sastā / ghaṭiyā / nimn kōṭi kā
"cheap (stingy, miserly)",adjective,a1,,कंजूस / मख्खीचूस / कृपण,kaṁjūs / makhkhīcūs / kr̥paṇa
cheese,noun,a1,,चीज़ (f) / पनीर (m),cīz (f) / panīr (m)
chicken (animal),noun,a1,,मुर्गी (f) / मुर्गा (m) / कुक्कुट (m),murgī (f) / murgā (m) / kukkuṭa (m)
chicken (meat),noun,a1,,चिकन (m) / मुर्गे का गोश्त (m) / कुक्कुट मांस (m),cikan (m) / murgē kā gōśt (m) / kukkuṭa māṁs (m)
chocolate,noun,a1,,चॉकलेट (f),côkalēṭa (f)
city,noun,a1,,शहर (m) / नगर (m) / महानगर (m),śahar (m) / nagar (m) / mahānagar (m)
class (category/type),noun,a1,,क़िस्म (f) / प्रकार (m) / वर्ग (m),qism (f) / prakār (m) / varg (m)
class (grade level),noun,a1,,क्लास (f) / कक्षा (f) / जमात (f),klās (f) / kakṣā (f) / jamāt (f)
"class (lesson, session)",noun,a1,,क्लास (f) / कक्षा (f) / पाठ (m),klās (f) / kakṣā (f) / pāṭh (m)
class (social stratum),noun,a1,,तबक़ा (m) / वर्ग (m) / श्रेणी (f),tabaqā (m) / varg (m) / śrēṇī (f)
classroom,noun,a1,,क्लासरूम (m) / क्लास (f) / कक्षा (f),klāsarūm (m) / klās (f) / kakṣā (f)
clock (wall or desk timepiece),noun,a1,,घड़ी (f) / दीवार घड़ी (f),ghaṛī (f) / dīvār ghaṛī (f)
"clothes (garments, apparel)",noun,a1,,कपड़े (m) / वस्त्र (m) / पोशाक (f),kapaṛē (m) / vastr (m) / pōśāk (f)
club (organization),noun,a1,,क्लब (m) / संस्था (f) / मंडल (m),klab (m) / saṁsthā (f) / maṁḍal (m)
club (venue),noun,a1,,क्लब (m),klab (m)
coffee,noun,a1,,कॉफ़ी (f),kôfī (f)
"cold (cool, refreshing)",adjective,a1,,ठंडा / सर्द / शीतल,ṭhaṁḍā / sard / śītal
cold (illness),noun,a1,,सर्दी (f) / ज़ुकाम (m),sardī (f) / zukām (m)
cold (low temperature),noun,a1,,ठंड (f) / सर्दी (f),ṭhaṁḍa (f) / sardī (f)
"cold (temperature, unpleasant)",adjective,a1,,ठंडा / शीतल,ṭhaṁḍā / śītal
college,noun,a1,,कॉलेज (m) / महाविद्यालय (m),kôlēj (m) / mahāvidyālay (m)
colour,noun,a1,,रंग (m) / वर्ण (m),raṁg (m) / varṇa (m)
"common (general, frequent)",adjective,a1,,आम / सामान्य / साधारण,ām / sāmāny / sādhāraṇa
"common (shared, joint)",adjective,a1,,साझा / संयुक्त / उभयनिष्ठ,sājhā / saṁyukt / ubhayaniṣṭh
company (business entity),noun,a1,,कंपनी (f) / निगम (m) / संस्था (f),kaṁpanī (f) / nigam (m) / saṁsthā (f)
"company (companionship, guests)",noun,a1,,संगत (f) / साथ (m) / मेहमान (m),saṁgat (f) / sāth (m) / mēhamān (m)
"complete (total, entire)",adjective,a1,,पूरा / संपूर्ण / मुकम्मल,pūrā / saṁpūrṇa / mukammal
computer,noun,a1,,कंप्यूटर (m) / संगणक (m),kaṁpyūṭar (m) / saṁgaṇak (m)
concert,noun,a1,,कॉन्सर्ट (m) / संगीत समारोह (m),kônsarṭa (m) / saṁgīt samārōh (m)
conversation (casual chat),noun,a1,,बात (f) / बातचीत (f) / वार्तालाप (m),bāt (f) / bātacīt (f) / vārtālāp (m)
cooking,noun,a1,,खाना बनाना (m) / पाक-कला (f),khānā banānā (m) / pāk-kalā (f)
cool (moderately cold),adjective,a1,,ठंडा / शीतल,ṭhaṁḍā / śītal
correct,adjective,a1,,सही / ठीक / शुद्ध,sahī / ṭhīk / śuddh
"cost (expenditure, expense)",noun,a1,,ख़र्च (m) / व्यय (m),k͟harc (m) / vyay (m)
"cost (price, monetary value)",noun,a1,,क़ीमत (f) / दाम (m) / मूल्य (m),qīmat (f) / dām (m) / mūly (m)
could (past ability),modal verb,a1,,सकना,sakanā
could (polite request),modal verb,a1,,सकना / पाना,sakanā / pānā
could (possibility),modal verb,a1,,सकना / होना,sakanā / hōnā
country (nation),noun,a1,,देश (m) / राष्ट्र (m),dēśa (m) / rāṣṭr (m)
country (rural area),noun,a1,,गाँव (m) / देहात (m) / ग्रामीण क्षेत्र (m),gām̐v (m) / dēhāt (m) / grāmīṇa kṣētr (m)
course (meal),noun,a1,,डिश (f) / व्यंजन (m) / पकवान (m),ḍiśa (f) / vyaṁjan (m) / pakavān (m)
course (of study),noun,a1,,कोर्स (m) / पाठ्यक्रम (m) / पाठ्यचर्या (f),kōrs (m) / pāṭhyakram (m) / pāṭhyacaryā (f)
"cousin (female, parallel cousin)",noun,a1,,चचेरी बहन (f) / ममेरी बहन (f),cacērī bahan (f) / mamērī bahan (f)
"cousin (male, parallel cousin)",noun,a1,,चचेरा भाई (m) / ममेरा भाई (m),cacērā bhāī (m) / mamērā bhāī (m)
cow,noun,a1,,गाय (f) / धेनु (f),gāy (f) / dhēnu (f)
cream (lotion or ointment),noun,a1,,क्रीम (f) / मलहम (m) / लेप (m),krīm (f) / malaham (m) / lēp (m)
culture,noun,a1,,संस्कृति (f) / तहज़ीब (f),saṁskr̥ti (f) / tahazīb (f)
cup,noun,a1,,कप (m) / प्याला (m),kap (m) / pyālā (m)
cup (loanword),noun,a1,,कप (m),kap (m)
customer,noun,a1,,ग्राहक (m) / उपभोक्ता (m),grāhak (m) / upabhōktā (m)
cycle (vehicle),noun,a1,,साइकिल (f) / द्विचक्रिका (f),sāikil (f) / dvicakrikā (f)
dad,noun,a1,,पिता (m) / अब्बा (m) / बाबूजी (m),pitā (m) / abbā (m) / bābūjī (m)
dad (common spoken),noun,a1,,पापा (m) / अब्बा (m),pāpā (m) / abbā (m)
dancer (female),noun,a1,,नर्तकी (f) / नृत्यांगना (f),nartakī (f) / nr̥tyāṁganā (f)
dancer (male),noun,a1,,नर्तक (m) / नृत्यांग (m),nartak (m) / nr̥tyāṁg (m)
dancing (general act),noun,a1,,नाचना (m) / नृत्य (m),nācanā (m) / nr̥ty (m)
"dancing (performance, classical)",noun,a1,,नृत्य (m) / शास्त्रीय नृत्य (m),nr̥ty (m) / śāstrīy nr̥ty (m)
dangerous,adjective,a1,,ख़तरनाक / जोखिम भरा,k͟hataranāk / jōkhim bharā
dark (deep in color),adjective,a1,,गहरा / गाढ़ा,gaharā / gāṛhā
date (calendar time),noun,a1,,तारीख़ (f) / दिनांक (f) / तिथि (f),tārīk͟h (f) / dināṁk (f) / tithi (f)
date (fruit),noun,a1,,खजूर (m),khajūr (m)
daughter,noun,a1,,बेटी (f) / पुत्री (f),bēṭī (f) / putrī (f)
day (24-hour period),noun,a1,,दिन (m) / दिवस (m),din (m) / divas (m)
"day (daytime, light period)",noun,a1,,दिन (m) / दिन का वक़्त (m),din (m) / din kā vaqt (m)
"dear (addressing someone in speech, writing)",adjective,a1,,प्रिय / प्यारे / अज़ीज़,priy / pyārē / azīz
dear (beloved),adjective,a1,,प्यारा / प्रिय / महबूब,pyārā / priy / mahabūb
december,noun,a1,,दिसंबर (m),disaṁbar (m)
decision (common choice),noun,a1,,फ़ैसला (m) / निर्णय (m),faisalā (m) / nirṇay (m)
description,noun,a1,,विवरण (m) / तफ़सील (f) / वर्णन (m),vivaraṇa (m) / tafasīl (f) / varṇan (m)
"design (pattern, style)",noun,a1,,डिज़ाइन (m) / नमूना (m) / शैली (f) / आकृति (f),ḍizāin (m) / namūnā (m) / śailī (f) / ākr̥ti (f)
"design (plan, structure)",noun,a1,,योजना (f) / ख़ाका (m) / बनावट (f) / संरचना (f),yōjanā (f) / k͟hākā (m) / banāvaṭa (f) / saṁracanā (f)
desk,noun,a1,,डेस्क (m) / मेज़ (f),ḍēsk (m) / mēz (f)
