english_word,word_class,tamil_translation,transliteration,verb_transitivity,level
again (one more time),adverb,மீண்டும் / மறுபடியும் / திரும்பவும்,mīṇṭum / maṟupaṭiyum / tirumpavum,,a1
ago,adverb,முன் / முன்பு,muṉ / muṉpu,,a1
air (travel),noun,விமானம் / வான்வழி,vimāṉam / vāṉvaḻi,,a1
airport,noun,விமான நிலையம் / விமானத்தளம்,vimāṉa nilaiyam / vimāṉattaḷam,,a1
all (entire duration or quantity),determiner,எல்லா / முழு,ellā / muḻu,,a1
all (entire quantity/duration),determiner,எல்லா / முழு,ellā / muḻu,,a1
"all (people, everyone)",pronoun,எல்லோரும் / அனைவரும்,ellōrum / aṉaivarum,,a1
also,adverb,மேலும் / கூட / அத்துடன்,mēlum / kūṭa / attuṭaṉ,,a1
always (at all times),adverb,எப்போதும் / எப்பொழுதும் / சதா,eppōtum / eppoḻutum / catā,,a1
"always (continuous state, stylistic)",adverb,எப்போதும் / எப்பொழுதும் / சதா,eppōtum / eppoḻutum / catā,,a1
"amazing (spectacular, awe-inspiring)",adjective,வியக்கத்தக்க / பிரமிக்கத்தக்க / அற்புதமான,viyakkattakka / piramikkattakka / aṟputamāṉa,,a1
"amazing (wonderful, great)",adjective,அருமையான / அற்புதமான / சிறப்பான,arumaiyāṉa / aṟputamāṉa / ciṟappāṉa,,a1
and (general linking),conjunction,மற்றும் / உம் / அதோடு,maṟṟum / um / atōṭu,,a1
angrily,adverb,கோபமாக / சினத்துடன் / ஆத்திரமாக,kōpamāka / ciṉattuṭaṉ / āttiramāka,,a1
"angry (common, annoyed)",adjective,கோபமான / சினங்கொண்ட / ஆத்திரமான,kōpamāṉa / ciṉaṅkoṇṭa / āttiramāṉa,,a1
another,determiner,மற்றொரு / வேறு ஒரு,maṟṟoru / vēṟu oru,,a1
another (a different one),pronoun,வேறொன்று / மற்றொருவர்,vēṟoṉṟu / maṟṟoruvar,,a1
another (one more),pronoun,இன்னொன்று / இன்னொருவர்,iṉṉoṉṟu / iṉṉoruvar,,a1
"another (unspecified thing, item)",determiner,மற்றொரு / வேறு ஒரு,maṟṟoru / vēṟu oru,,a1
answer,noun,பதில் / விடை,patil / viṭai,,a1
"any (choice, universal)",determiner,எந்த / ஏதாவது,enta / ētāvatu,,a1
any (general selection),pronoun,எதாவது ஒன்று / எதுவேண்டுமானாலும்,etāvatu oṉṟu / etuvēṇṭumāṉālum,,a1
"any (in questions, negatives)",determiner,எந்த / ஒரு,enta / oru,,a1
any (indefinite quantity),determiner,எந்த அளவு / எவ்வளவு,enta aḷavu / evvaḷavu,,a1
"any (item, choice)",pronoun,எதுவாக இருந்தாலும் / எதுவேண்டுமானாலும்,etuvāka iruntālum / etuvēṇṭumāṉālum,,a1
"any (some, if)",pronoun,ஏதாவது / ஏதேனும்,ētāvatu / ētēṉum,,a1
"any (universal choice, usually in context)",determiner,எந்த ஒரு / எந்த,enta oru / enta,,a1
any (zero quantity),pronoun,எதுவும் இல்லை / ஒன்றுமில்லை,etuvum illai / oṉṟumillai,,a1
"any (zero quantity, with negative verb)",pronoun,எதுவும் / ஒன்றுமில்லை,etuvum / oṉṟumillai,,a1
"anyone (any person, affirmative)",pronoun,யார் வேண்டுமானாலும் / எவரும்,yār vēṇṭumāṉālum / evarum,,a1
"anyone (in questions, negatives)",pronoun,யாராவது / எவரும்,yārāvatu / evarum,,a1
"anything (thing, object, general indefinite)",pronoun,ஏதாவது / ஏதேனும்,ētāvatu / ētēṉum,,a1
anything (whatever the choice),pronoun,எதுவாக இருந்தாலும் / எதுவேண்டுமானாலும்,etuvāka iruntālum / etuvēṇṭumāṉālum,,a1
apartment,noun,அடுக்குமாடி குடியிருப்பு / பிளாட் / அபார்ட்மெண்ட்,aṭukkumāṭi kuṭiyiruppu / piḷāṭ / apārṭmeṇṭ,,a1
apple,noun,ஆப்பிள்,āppiḷ,,a1
april,noun,ஏப்ரல்,ēpral,,a1
area (measurement),noun,பரப்பு / பரப்பளவு / பகுதி,parappu / parappaḷavu / pakuti,,a1
around (approximate time or quantity),preposition,சுமார் / ஏறத்தாழ,cumār / ēṟattāḻa,,a1
around (approximately),adverb,ஏறக்குறைய / சுமார்,ēṟakkuṟaiya / cumār,,a1
"around (movement, periphery)",adverb,சுற்றிலும் / சுற்றி,cuṟṟilum / cuṟṟi,,a1
around (nearby or in the vicinity),preposition,அருகில் / சுற்றிலும்,arukil / cuṟṟilum,,a1
"around (nearby, in the vicinity)",adverb,அருகில் / சுற்றிலும்,arukil / cuṟṟilum,,a1
around (surrounding something or moving in a circle),preposition,சுற்றி / சுற்றிலும்,cuṟṟi / cuṟṟilum,,a1
arrow (projectile),noun,அம்பு / கணை,ampu / kaṇai,,a1
art (skill or technique),noun,கலை / நுட்பம் / திறன்,kalai / nuṭpam / tiṟaṉ,,a1
article (object),noun,பொருள் / பண்டம்,poruḷ / paṇṭam,,a1
article (writing),noun,கட்டுரை / ஆக்கம் / படைப்பு,kaṭṭurai / ākkam / paṭaippu,,a1
"artist (performer, general artiste)",noun,கலைஞர்,kalaiñar,,a1
"artist (visual creator, e.g., painter)",noun,ஓவியர் / கலைஞர்,ōviyar / kalaiñar,,a1
as (in the role of),preposition,ஆக,āka,,a1
"as (like, in the manner of)",preposition,போல / மாதிரி / போன்று,pōla / mātiri / pōṉṟu,,a1
asleep (in slumber),adjective,தூங்கும் / உறங்கும்,tūṅkum / uṟaṅkum,,a1
"at (target, direction)",preposition,-இல் / -க்கு,-il / -kku,,a1
"at (time, moment)",preposition,-இல் / -க்கு / -போது,-il / -kku / -pōtu,,a1
august,noun,ஆகஸ்ட்,ākasṭ,,a1
aunt (father's sister),noun,அத்தை,attai,,a1
aunt (mother's elder sister),noun,பெரியம்மா,periyammā,,a1
aunt (mother's younger sister),noun,சித்தி,citti,,a1
auto (common usage),noun,ஆட்டோ,āṭṭō,,a1
autumn,noun,இலையுதிர் காலம்,ilaiyutir kālam,,a1
away (distance or absence),adverb,தொலைவில் / தூரத்தில்,tolaivil / tūrattil,,a1
away (into storage or hiding),adverb,மறைவாக / சேமித்து,maṟaivāka / cēmittu,,a1
baby,noun,குழந்தை,kuḻantai,,a1
baby (term of endearment),noun,செல்லம் / கண்ணே / அன்பே,cellam / kaṇṇē / aṉpē,,a1
back,adverb,மீண்டும் / திரும்பி,mīṇṭum / tirumpi,,a1
back (rear side),noun,பின்னால் / முதுகு,piṉṉāl / mutuku,,a1
"bad (sick, unwell)",adjective,நோயுற்ற / உடல்நலமில்லாத,nōyuṟṟa / uṭalnalamillāta,,a1
ball,noun,பந்து,pantu,,a1
"banana (unripe, raw)",noun,வாழைக்காய்,vāḻaikkāy,,a1
band (musical group),noun,இசைக்குழு / பேண்ட்,icaikkuḻu / pēṇṭ,,a1
"bank (river, lake)",noun,கரை / நதிக்கரை / ஏரிக்கரை,karai / natikkarai / ērikkarai,,a1
bath,noun,குளியல் / நீராடல்,kuḷiyal / nīrāṭal,,a1
beach,noun,கடற்கரை,kaṭaṟkarai,,a1
beautiful,adjective,அழகான / எழிலான / வனப்பான,aḻakāṉa / eḻilāṉa / vaṉappāṉa,,a1
because (clause connector),conjunction,ஏனெனில் / ஆகையால்,ēṉeṉil / ākaiyāl,,a1
"because of (a noun, reason)",conjunction,காரணமாக / நிமித்தமாக,kāraṇamāka / nimittamāka,,a1
bed (planting area),noun,பாத்தி,pātti,,a1
bedroom,noun,படுக்கையறை,paṭukkaiyaṟai,,a1
beer,noun,பீர்,pīr,,a1
before (time),preposition,முன் / முன்பு / முன்னர்,muṉ / muṉpu / muṉṉar,,a1
behind (at the rear),preposition,பின்னால் / பின்புறம்,piṉṉāl / piṉpuṟam,,a1
behind (delayed or late),adverb,தாமதமாக,tāmatamāka,,a1
behind (remaining or lagging),preposition,பின்தங்கி,piṉtaṅki,,a1
below (in a document or list),adverb,கீழே / அடியில்,kīḻē / aṭiyil,,a1
below (less than a standard/value),preposition,கீழே / குறைவாக,kīḻē / kuṟaivāka,,a1
below (less than),preposition,குறைவாக / கீழ்,kuṟaivāka / kīḻ,,a1
below (spatially),preposition,கீழே / அடியில்,kīḻē / aṭiyil,,a1
better (in health),adjective,நலமான / தேறிய,nalamāṉa / tēṟiya,,a1
between,preposition,இடையில் / நடுவில்,iṭaiyil / naṭuvil,,a1
big,adjective,பெரிய / பெரும் / மாபெரும்,periya / perum / māperum,,a1
bike (bicycle),noun,சைக்கிள் / மிதிவண்டி,caikkiḷ / mitivaṇṭi,,a1
bill (bird's beak),noun,அலகு,alaku,,a1
bill (invoice),noun,பில் / பட்டியல் / ரசீது,pil / paṭṭiyal / racītu,,a1
bird (common),noun,குருவி,kuruvi,,a1
"bird (general, formal)",noun,பறவை,paṟavai,,a1
birthday,noun,பிறந்தநாள்,piṟantanāḷ,,a1
black (color),noun,கருப்பு / கறுப்பு / கார்,karuppu / kaṟuppu / kār,,a1
blog,noun,வலைப்பதிவு / பிளாக்,valaippativu / piḷāk,,a1
blonde,adjective,பொன்னிறமான / வெளிர் நிறமான,poṉṉiṟamāṉa / veḷir niṟamāṉa,,a1
blue,noun,நீலம்,nīlam,,a1
boat,noun,படகு / தோணி,paṭaku / tōṇi,,a1
body,noun,உடல் / தேகம் / மெய்,uṭal / tēkam / mey,,a1
book,noun,புத்தகம் / நூல் / ஏடு,puttakam / nūl / ēṭu,,a1
boot,noun,பூட் / காலணி,pūṭ / kālaṇi,,a1
bored,adjective,சலிப்படைந்த / சலிப்புற்ற,calippaṭainta / calippuṟṟa,,a1
"boring (tedious, dull)",adjective,சலிப்பான / அலுப்பான / சுவாரஸ்யமற்ற,calippāṉa / aluppāṉa / cuvārasyamaṟṟa,,a1
both (modifying a noun),pronoun,இரண்டுமே / இரண்டு,iraṇṭumē / iraṇṭu,,a1
both (people),determiner,இருவர் / இருவரும்,iruvar / iruvarum,,a1
bottle,noun,பாட்டில் / புட்டி,pāṭṭil / puṭṭi,,a1
box,noun,பெட்டி / டப்பா,peṭṭi / ṭappā,,a1
boy,noun,பையன் / சிறுவன் / பாலகன்,paiyaṉ / ciṟuvaṉ / pālakaṉ,,a1
"boyfriend (casual, direct usage)",noun,பாய்ஃபிரண்ட் / காதலன்,pāyfiraṇṭ / kātalaṉ,,a1
boyfriend (general),noun,காதலன் / பாய்ஃபிரண்ட்,kātalaṉ / pāyfiraṇṭ,,a1
bread,noun,ரொட்டி / பிரட்,roṭṭi / piraṭ,,a1
bread (flatbread/roti),noun,ரொட்டி / சப்பாத்தி,roṭṭi / cappātti,,a1
"bread (general flatbread, roti)",noun,ரொட்டி / சப்பாத்தி,roṭṭi / cappātti,,a1
bread (Western style),noun,பிரட் / வெதுப்பி,piraṭ / vetuppi,,a1
break (rest period),noun,இடைவேளை / ஓய்வு,iṭaivēḷai / ōyvu,,a1
breakfast (common),noun,காலை உணவு / சிற்றுண்டி,kālai uṇavu / ciṟṟuṇṭi,,a1
breakfast (formal),noun,காலை உணவு / சிற்றுண்டி,kālai uṇavu / ciṟṟuṇṭi,,a1
brother (elder),noun,அண்ணன் / தமையன்,aṇṇaṉ / tamaiyaṉ,,a1
brother (younger),noun,தம்பி / இளவல்,tampi / iḷaval,,a1
brown,noun,பழுப்பு / பழுப்பு நிறம்,paḻuppu / paḻuppu niṟam,,a1
brown (adjective),noun,பழுப்பு நிறமான / பழுப்பு,paḻuppu niṟamāṉa / paḻuppu,,a1
building,noun,கட்டிடம் / கட்டடம் / கட்டுமானம்,kaṭṭiṭam / kaṭṭaṭam / kaṭṭumāṉam,,a1
bus,noun,பஸ் / பேருந்து,pas / pēruntu,,a1
"business (commercial enterprise, trade)",noun,வணிகம் / தொழில் / வியாபாரம்,vaṇikam / toḻil / viyāpāram,,a1
"busy (crowded, bustling)",adjective,பரபரப்பான / சுறுசுறுப்பான,paraparappāṉa / cuṟucuṟuppāṉa,,a1
busy (telephone line engaged),adjective,பிஸியாக / இணைப்பில் உள்ளது,pisiyāka / iṇaippil uḷḷatu,,a1
by (deadline),preposition,முன் / உள்ளாக,muṉ / uḷḷāka,,a1
by (means of),preposition,மூலம் / வழியாக,mūlam / vaḻiyāka,,a1
"by (near, beside)",preposition,அருகில் / அருகே / பக்கத்தில்,arukil / arukē / pakkattil,,a1
bye (casual),noun,பை / போய் வருகிறேன்,pai / pōy varukiṟēṉ,,a1
bye (polite parting),exclamation,போய் வருகிறேன் / வணக்கம் / விடைபெறுகிறேன்,pōy varukiṟēṉ / vaṇakkam / viṭaipeṟukiṟēṉ,,a1
cafe,noun,காபி கடை / கஃபே,kāpi kaṭai / kafē,,a1
cake,noun,கேக் / அப்பம்,kēk / appam,,a1
"call (shout, cry)",noun,கூச்சல் / அழைப்பு / குரல்,kūccal / aḻaippu / kural,,a1
call (telephone),noun,அழைப்பு / போன் கால்,aḻaippu / pōṉ kāl,,a1
camera,noun,கேமரா / நிழற்படக்கருவி,kēmarā / niḻaṟpaṭakkaruvi,,a1
can (ability),modal verb,முடியும் / இயலும்,muṭiyum / iyalum,,a1
"can (permission, request)",modal verb,செய்யலாம் / அனுமதிக்கலாம்,ceyyalām / aṉumatikkalām,,a1
"cannot (be allowed to , prohibited)",modal verb,கூடாது / முடியாது,kūṭātu / muṭiyātu,,a1
"capital (chief, of the main city)",adjective,முதன்மையான / தலைநகர்,mutaṉmaiyāṉa / talainakar,,a1
capital (city),noun,தலைநகரம் / தலைநகர்,talainakaram / talainakar,,a1
capital (financial assets),noun,மூலதனம் / நிதி,mūlataṉam / niti,,a1
capital (letter),adjective,பெரிய எழுத்து,periya eḻuttu,,a1
car,noun,கார் / மகிழுந்து,kār / makiḻuntu,,a1
"card (greeting, post)",noun,அட்டை / வாழ்த்து அட்டை / அஞ்சல் அட்டை,aṭṭai / vāḻttu aṭṭai / añcal aṭṭai,,a1
"card (ID, Bank)",noun,அட்டை / அடையாள அட்டை / வங்கி அட்டை,aṭṭai / aṭaiyāḷa aṭṭai / vaṅki aṭṭai,,a1
career,noun,தொழில் / பணி / பணி வாழ்வு,toḻil / paṇi / paṇi vāḻvu,,a1
carrot,noun,கேரட்,kēraṭ,,a1
cat,noun,பூனை,pūṉai,,a1
cd,noun,சிடி,ciṭi,,a1
cent (unit of land area),noun,சென்ட்,ceṉṭ,,a1
"centre (institution, hub)",noun,மையம் / நடுவம்,maiyam / naṭuvam,,a1
century (100 years),noun,நூற்றாண்டு,nūṟṟāṇṭu,,a1
century (cricket score),noun,சதம் / நூறு ஓட்டங்கள்,catam / nūṟu ōṭṭaṅkaḷ,,a1
change (alteration),noun,மாற்றம் / மாறுதல்,māṟṟam / māṟutal,,a1
change (money remainder),noun,சில்லறை,cillaṟai,,a1
chart (map for navigation),noun,வரைபடம் / விளக்கப்படம்,varaipaṭam / viḷakkappaṭam,,a1
cheap (low cost),adjective,மலிவான / குறைந்த விலை,malivāṉa / kuṟainta vilai,,a1
cheap (low quality),adjective,தரமற்ற / மலிவான,taramaṟṟa / malivāṉa,,a1
"cheap (stingy, miserly)",adjective,கஞ்சத்தனமான / உலோபத்தனமான,kañcattaṉamāṉa / ulōpattaṉamāṉa,,a1
cheese,noun,சீஸ்,cīs,,a1
chicken (animal),noun,கோழி,kōḻi,,a1
chicken (meat),noun,கோழி இறைச்சி / சிக்கன்,kōḻi iṟaicci / cikkaṉ,,a1
chocolate,noun,சாக்லேட்,cāklēṭ,,a1
city,noun,நகரம் / மாநகரம்,nakaram / mānakaram,,a1
class (category/type),noun,வகை / பிரிவு,vakai / pirivu,,a1
class (grade level),noun,வகுப்பு / தரம்,vakuppu / taram,,a1
"class (lesson, session)",noun,வகுப்பு / பாடம்,vakuppu / pāṭam,,a1
class (social stratum),noun,வர்க்கம் / வகுப்பு / சமூக அடுக்கு,varkkam / vakuppu / camūka aṭukku,,a1
classroom,noun,வகுப்பறை,vakuppaṟai,,a1
clock (wall or desk timepiece),noun,கடிகாரம்,kaṭikāram,,a1
"clothes (garments, apparel)",noun,உடை / ஆடை / உடைகள்,uṭai / āṭai / uṭaikaḷ,,a1
club (organization),noun,சங்கம் / மன்றம் / கழகம்,caṅkam / maṉṟam / kaḻakam,,a1
club (venue),noun,கிளப் / கேளிக்கை விடுதி,kiḷap / kēḷikkai viṭuti,,a1
coffee,noun,காபி / குழம்பி,kāpi / kuḻampi,,a1
"cold (cool, refreshing)",adjective,குளிர்ச்சியான / இதமான குளிர்,kuḷircciyāṉa / itamāṉa kuḷir,,a1
cold (illness),noun,சளி,caḷi,,a1
cold (low temperature),noun,குளிர் / குளிர்ச்சி,kuḷir / kuḷircci,,a1
"cold (temperature, unpleasant)",adjective,குளிர்ந்த / கடும் குளிர்,kuḷirnta / kaṭum kuḷir,,a1
college,noun,கல்லூரி,kallūri,,a1
colour,noun,நிறம் / வண்ணம்,niṟam / vaṇṇam,,a1
"common (general, frequent)",adjective,பொதுவான / சாதாரண / வழக்கமான,potuvāṉa / cātāraṇa / vaḻakkamāṉa,,a1
"common (shared, joint)",adjective,பொதுவான / கூட்டு / பகிரப்பட்ட,potuvāṉa / kūṭṭu / pakirappaṭṭa,,a1
company (business entity),noun,நிறுவனம் / கம்பெனி,niṟuvaṉam / kampeṉi,,a1
"company (companionship, guests)",noun,துணை / விருந்தினர்கள் / கூடல்,tuṇai / viruntiṉarkaḷ / kūṭal,,a1
"complete (total, entire)",adjective,முழுமையான / பூரணமான / மொத்த,muḻumaiyāṉa / pūraṇamāṉa / motta,,a1
computer,noun,கணினி / கம்ப்யூட்டர்,kaṇiṉi / kampyūṭṭar,,a1
concert,noun,இசை நிகழ்ச்சி / கச்சேரி / கன்சர்ட்,icai nikaḻcci / kaccēri / kaṉcarṭ,,a1
conversation (casual chat),noun,உரையாடல் / பேச்சு / சம்பாஷணை,uraiyāṭal / pēccu / campāṣaṇai,,a1
cooking,noun,சமையல்,camaiyal,,a1
cool (moderately cold),adjective,குளிர்ச்சியான / இதமான,kuḷircciyāṉa / itamāṉa,,a1
correct,adjective,சரியான / சரி / பிழையற்ற,cariyāṉa / cari / piḻaiyaṟṟa,,a1
"cost (expenditure, expense)",noun,செலவு / விலை / கட்டணம்,celavu / vilai / kaṭṭaṇam,,a1
"cost (price, monetary value)",noun,விலை / செலவு,vilai / celavu,,a1
could (past ability),modal verb,முடி,muṭi,,a1
could (polite request),modal verb,முடி,muṭi,,a1
could (possibility),modal verb,கூடு / இரு,kūṭu / iru,,a1
country (nation),noun,நாடு / தேசம்,nāṭu / tēcam,,a1
country (rural area),noun,கிராமம் / நாட்டுப்புறம்,kirāmam / nāṭṭuppuṟam,,a1
course (meal),noun,உணவுப் பகுதி / வகை,uṇavup pakuti / vakai,,a1
course (of study),noun,பாடத்திட்டம் / படிப்பு,pāṭattiṭṭam / paṭippu,,a1
"cousin (female, parallel cousin)",noun,அத்தை மகள் / மாமி மகள்,attai makaḷ / māmi makaḷ,,a1
"cousin (male, parallel cousin)",noun,அத்தை மகன் / மாமி மகன்,attai makaṉ / māmi makaṉ,,a1
cow,noun,பசு / மாடு,pacu / māṭu,,a1
cream (lotion or ointment),noun,க்ரீம் / களிம்பு / பூச்சு,krīm / kaḷimpu / pūccu,,a1
culture,noun,கலாச்சாரம் / பண்பாடு,kalāccāram / paṇpāṭu,,a1
cup,noun,கோப்பை / கிண்ணம்,kōppai / kiṇṇam,,a1
cup (loanword),noun,கப்,kap,,a1
customer,noun,வாடிக்கையாளர் / நுகர்வோர்,vāṭikkaiyāḷar / nukarvōr,,a1
cycle (vehicle),noun,சைக்கிள் / மிதிவண்டி,caikkiḷ / mitivaṇṭi,,a1
dad,noun,தந்தை / அப்பா,tantai / appā,,a1
dad (common spoken),noun,அப்பா,appā,,a1
dancer (female),noun,நடனக் கலைஞர் / நர்த்தகி,naṭaṉak kalaiñar / narttaki,,a1
dancer (male),noun,நடனக் கலைஞர் / நர்த்தகர்,naṭaṉak kalaiñar / narttakar,,a1
dancing (general act),noun,நடனம் / ஆட்டம்,naṭaṉam / āṭṭam,,a1
"dancing (performance, classical)",noun,நாட்டியம் / நடனம்,nāṭṭiyam / naṭaṉam,,a1
dangerous,adjective,ஆபத்தான / அபாயகரமான,āpattāṉa / apāyakaramāṉa,,a1
dark (deep in color),adjective,கருமையான / அடர்,karumaiyāṉa / aṭar,,a1
date (calendar time),noun,தேதி / நாள்,tēti / nāḷ,,a1
date (fruit),noun,பேரீச்சம்பழம்,pērīccampaḻam,,a1
daughter,noun,மகள் / புதல்வி,makaḷ / putalvi,,a1
day (24-hour period),noun,நாள்,nāḷ,,a1
"day (daytime, light period)",noun,பகல் / பொழுது,pakal / poḻutu,,a1
"dear (addressing someone in speech, writing)",adjective,அன்புள்ள / பிரியமுள்ள,aṉpuḷḷa / piriyamuḷḷa,,a1
dear (beloved),adjective,அன்பான / பிரியமான / அருமை,aṉpāṉa / piriyamāṉa / arumai,,a1
december,noun,டிசம்பர்,ṭicampar,,a1
decision (common choice),noun,முடிவு / தீர்மானம்,muṭivu / tīrmāṉam,,a1
description,noun,விளக்கம் / வர்ணனை,viḷakkam / varṇaṉai,,a1
"design (pattern, style)",noun,வடிவமைப்பு / டிசைன்,vaṭivamaippu / ṭicaiṉ,,a1
"design (plan, structure)",noun,திட்டம் / அமைப்பு / வடிவமைப்பு,tiṭṭam / amaippu / vaṭivamaippu,,a1
desk,noun,மேசை,mēcai,,a1
detail,noun,விவரம் / நுணுக்கம்,vivaram / nuṇukkam,,a1
"dialogue (script, film)",noun,வசனம் / உரையாடல்,vacaṉam / uraiyāṭal,,a1
dictionary,noun,அகராதி,akarāti,,a1
diet (restrictive eating plan),noun,உணவுக்கட்டுப்பாடு / டயட்,uṇavukkaṭṭuppāṭu / ṭayaṭ,,a1
difference,noun,வேறுபாடு / வித்தியாசம்,vēṟupāṭu / vittiyācam,,a1
dinner,noun,இரவு உணவு / டின்னர்,iravu uṇavu / ṭiṉṉar,,a1
"dish (plate, container)",noun,தட்டு / பாத்திரம்,taṭṭu / pāttiram,,a1
dish (prepared food),noun,உணவு / பதார்த்தம் / டிஷ்,uṇavu / patārttam / ṭiṣ,,a1
dog,noun,நாய்,nāy,,a1
dollar,noun,டாலர்,ṭālar,,a1
door,noun,கதவு,katavu,,a1
down,preposition,கீழே,kīḻē,,a1
"down (emotionally, sad)",adverb,மன வருத்தம் / சோகம் / மனச்சோர்வு,maṉa varuttam / cōkam / maṉaccōrvu,,a1
downstairs (location),adverb,கீழே / கீழ் தளம்,kīḻē / kīḻ taḷam,,a1
dress (clothing),noun,உடை / ஆடை / உடுப்பு,uṭai / āṭai / uṭuppu,,a1
"dress (clothing, attire)",noun,உடை / ஆடை / உடுப்பு,uṭai / āṭai / uṭuppu,,a1
dress (frock or gown),noun,உடை / கவுன் / ஆடை,uṭai / kavuṉ / āṭai,,a1
dress (frock),noun,உடை / கவுன் / ஆடை,uṭai / kavuṉ / āṭai,,a1
drink (alcoholic beverage),noun,மது / பானம் / சாராயம்,matu / pāṉam / cārāyam,,a1
"driver (operator of vehicle, colloquial)",noun,டிரைவர் / ஓட்டுநர்,ṭiraivar / ōṭṭunar,,a1
"driver (operator of vehicle, formal)",noun,ஓட்டுநர் / சாரதி,ōṭṭunar / cārati,,a1
during (the period of time),preposition,போது / சமயத்தில் / இடைப்பட்ட காலத்தில்,pōtu / camayattil / iṭaippaṭṭa kālattil,,a1
dvd,noun,டிவிடி,ṭiviṭi,,a1
"each (as a determiner, e.g., each day)",determiner,ஒவ்வொரு / ஒவ்வோர்,ovvoru / ovvōr,,a1
"each (each one, individually)",adverb,தனித்தனியாக / ஒவ்வொன்றாக,taṉittaṉiyāka / ovvoṉṟāka,,a1
"each (each one, individually, for people)",pronoun,ஒவ்வொருவரும் / ஒவ்வொருவர்,ovvoruvarum / ovvoruvar,,a1
each (one per person/item),pronoun,ஒவ்வொன்றுக்கும் / ஒவ்வொருவருக்கும்,ovvoṉṟukkum / ovvoruvarukkum,,a1
each (per unit),pronoun,ஒன்றுக்கு / ஒவ்வொன்றுக்கும்,oṉṟukku / ovvoṉṟukkum,,a1
each (per unit/for each one),determiner,ஒவ்வொரு / ஒவ்வொன்றுக்கும்,ovvoru / ovvoṉṟukkum,,a1
ear,noun,காது / செவி,kātu / cevi,,a1
early,adverb,சீக்கிரம் / முன்னதாக / விரைவாக,cīkkiram / muṉṉatāka / viraivāka,,a1
"early (historical, primitive)",adjective,ஆரம்பகால / முற்கால / பண்டைய,ārampakāla / muṟkāla / paṇṭaiya,,a1
early (initial or primitive),adjective,ஆரம்பகால / முதல் / முற்கால,ārampakāla / mutal / muṟkāla,,a1
early morning,noun,அதிகாலை / விடியற்காலை,atikālai / viṭiyaṟkālai,,a1
east,noun,கிழக்கு / கீழ்த்திசை,kiḻakku / kīḻtticai,,a1
"east (adverbially, towards)",adverb,கிழக்கே / கிழக்கு நோக்கி,kiḻakkē / kiḻakku nōkki,,a1
