id,english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
26,after (following time or event),preposition,a1,nan,के बाद / उपरांत / पश्चात,के बाद / बाद अज़ / पश्चात्,kē bād / uparāṁt / paścāt,kē bād / bād az / paścāt
27,"after (upon completion, sequence)",preposition,a1,nan,के बाद / उपरांत / पश्चात,के बाद / बाद अज़ / पश्चात्,kē bād / uparāṁt / paścāt,kē bād / bād az / paścāt
28,afternoon,noun,a1,nan,दोपहर (f) / अपराह्न (m),दोपहर (f) / बाद दोपहर (f) / अपराह्न (m),dōpahar (f) / aparāhn (m),dōpahar (f) / bād dōpahar (f) / aparāhn (m)
29,again (one more time),adverb,a1,nan,फिर / दोबारा / पुनः,फिर / दोबारा / दुबारा,phir / dōbārā / punaḥ,phir / dōbārā / dubārā
30,ago,adverb,a1,nan,पहले / पूर्व,पहले / क़ब्ल,pahalē / pūrv,pahalē / qabl
31,air (travel),noun,a1,nan,हवाई यात्रा (f) / वायु यात्रा (f),हवाई सफ़र (m) / हवाई यात्रा (f),havāī yātrā (f) / vāyu yātrā (f),havāī safar (m) / havāī yātrā (f)
32,airport,noun,a1,nan,हवाई अड्डा (m) / विमानपत्तन (m),हवाई अड्डा (m) / फ़रोदगाह (f),havāī aḍḍā (m) / vimānapattan (m),havāī aḍḍā (m) / farōdagāh (f)
33,all (entire duration or quantity),determiner,a1,nan,सारा / पूरा / समस्त,सारा / पूरा / तमाम,sārā / pūrā / samast,sārā / pūrā / tamām
34,all (entire quantity/duration),determiner,a1,nan,सब / सारा / पूरा / समस्त,सब / सारा / पूरा / तमाम,sab / sārā / pūrā / samast,sab / sārā / pūrā / tamām
35,"all (people, everyone)",pronoun,a1,nan,सब / सभी / हर कोई,सब / सभी / हर कोई,sab / sabhī / har kōī,sab / sabhī / har kōī
36,also,adverb,a1,nan,भी / और / इसके अलावा,भी / और / इसके अलावा,bhī / aur / isakē alāvā,bhī / aur / isakē alāvā
37,always (at all times),adverb,a1,nan,हमेशा / सदा / हर वक़्त,हमेशा / सदा / हर वक़्त,hamēśā / sadā / har vaqt,hamēśā / sadā / har vaqt
38,"always (continuous state, stylistic)",adverb,a1,nan,हमेशा / निरंतर / सदैव,हमेशा / लगातार / मुस्तक़िल,hamēśā / niraṁtar / sadaiv,hamēśā / lagātār / mustaqil
39,"amazing (spectacular, awe-inspiring)",adjective,a1,nan,कमाल का / शानदार / अद्भुत / विस्मयकारी,कमाल का / शानदार / हैरत-अंगेज़ / हैरतनाक,kamāl kā / śānadār / adbhut / vismayakārī,kamāl kā / śānadār / hairat-aṁgēz / hairatanāk
40,"amazing (wonderful, great)",adjective,a1,nan,कमाल का / शानदार / अद्भुत / विस्मयकारी,कमाल का / शानदार / हैरत-अंगेज़ / अज़ीम,kamāl kā / śānadār / adbhut / vismayakārī,kamāl kā / śānadār / hairat-aṁgēz / azīm
41,and (general linking),conjunction,a1,nan,और / तथा / एवं,और / व / तथा,aur / tathā / ēvaṁ,aur / v / tathā
42,angrily,adverb,a1,nan,गुस्से से / नाराज़गी से / क्रोधपूर्वक,ग़ुस्से से / नाराज़गी से / बरहमी से,gussē sē / nārāzagī sē / krōdhapūrvak,ġussē sē / nārāzagī sē / barahamī sē
43,"angry (common, annoyed)",adjective,a1,nan,गुस्सा / नाराज़ / क्रोधी / कुपित,ग़ुस्से में / नाराज़ / ख़फ़ा / बरहम,gussā / nārāz / krōdhī / kupit,ġussē mēṁ / nārāz / k͟hafā / baraham
44,another,determiner,a1,nan,एक और / कोई और / दूसरा,एक और / कोई और / दूसरा / दीगर,ēk aur / kōī aur / dūsarā,ēk aur / kōī aur / dūsarā / dīgar
45,another (a different one),pronoun,a1,nan,दूसरा / कोई और / अन्य,दूसरा / कोई और / दीगर,dūsarā / kōī aur / any,dūsarā / kōī aur / dīgar
46,another (one more),pronoun,a1,nan,एक और / अन्य,एक और / दीगर,ēk aur / any,ēk aur / dīgar
47,"another (unspecified thing, item)",determiner,a1,nan,कोई और / दूसरा / अन्य,कोई और / दूसरा / दीगर,kōī aur / dūsarā / any,kōī aur / dūsarā / dīgar
48,answer,noun,a1,nan,जवाब (m) / उत्तर (m) / प्रतिउत्तर (m),जवाब (m) / उत्तर (m) / प्रत्युत्तर (m),javāb (m) / uttar (m) / pratiuttar (m),javāb (m) / uttar (m) / pratyuttar (m)
49,"any (choice, universal)",determiner,a1,nan,कोई भी / कोई / किसी भी,कोई भी / कोई / किसी भी,kōī bhī / kōī / kisī bhī,kōī bhī / kōī / kisī bhī
50,any (general selection),pronoun,a1,nan,कोई / कोई भी / कोई सा,कोई / कोई भी / कोई सा,kōī / kōī bhī / kōī sā,kōī / kōī bhī / kōī sā
51,"any (in questions, negatives)",determiner,a1,nan,कोई / कुछ,कोई / कुछ,kōī / kuch,kōī / kuch
52,any (indefinite quantity),determiner,a1,nan,कुछ / कोई,कुछ / कोई,kuch / kōī,kuch / kōī
53,"any (item, choice)",pronoun,a1,nan,कोई / कोई भी / कोई सा,कोई / कोई भी / कोई सा,kōī / kōī bhī / kōī sā,kōī / kōī bhī / kōī sā
54,"any (some, if)",pronoun,a1,nan,कुछ / कोई,कुछ / कोई,kuch / kōī,kuch / kōī
55,"any (universal choice, usually in context)",determiner,a1,nan,कोई भी / जो कोई / कोई सा भी,कोई भी / जो कोई / कोई सा भी,kōī bhī / jō kōī / kōī sā bhī,kōī bhī / jō kōī / kōī sā bhī
56,any (zero quantity),pronoun,a1,nan,कुछ नहीं / कोई नहीं,कुछ नहीं / कोई नहीं,kuch nahīṁ / kōī nahīṁ,kuch nahīṁ / kōī nahīṁ
57,"any (zero quantity, with negative verb)",pronoun,a1,nan,कोई / कुछ,कोई / कुछ,kōī / kuch,kōī / kuch
58,"anyone (any person, affirmative)",pronoun,a1,nan,कोई भी / हर कोई,कोई भी / हर कोई,kōī bhī / har kōī,kōī bhī / har kōī
59,"anyone (in questions, negatives)",pronoun,a1,nan,कोई / कोई भी,कोई / कोई भी,kōī / kōī bhī,kōī / kōī bhī
60,"anything (thing, object, general indefinite)",pronoun,a1,nan,कुछ / कोई भी चीज़,कुछ / कोई भी चीज़ / कोई शय,kuch / kōī bhī cīz,kuch / kōī bhī cīz / kōī śay
61,anything (whatever the choice),pronoun,a1,nan,कुछ भी / जो कुछ भी,कुछ भी / जो कुछ भी / जो चाहे,kuch bhī / jō kuch bhī,kuch bhī / jō kuch bhī / jō cāhē
62,apartment,noun,a1,nan,फ़्लैट (m) / अपार्टमेंट (m) / आवास (m),फ़्लैट (m) / अपार्टमेंट (m) / शुक़्क़ा (m),flaiṭa (m) / apārṭamēṁṭa (m) / āvās (m),flaiṭa (m) / apārṭamēṁṭa (m) / śuqqā (m)
63,apple,noun,a1,nan,सेब (m),सेब (m),sēb (m),sēb (m)
64,april,noun,a1,nan,अप्रैल (m),अप्रैल (m),aprail (m),aprail (m)
65,area (measurement),noun,a1,nan,रकबा (m) / क्षेत्रफल (m),रकबा (m) / क्षेत्रफल (m) / इलाक़ा (m),rakabā (m) / kṣētraphal (m),rakabā (m) / kṣētraphal (m) / ilāqā (m)
66,around (approximate time or quantity),preposition,a1,nan,लगभग / क़रीब / आस-पास,लगभग / क़रीब / आस-पास,lagabhag / qarīb / ās-pās,lagabhag / qarīb / ās-pās
67,around (approximately),adverb,a1,nan,लगभग / क़रीब-क़रीब / अंदाज़न,लगभग / क़रीब-क़रीब / अंदाज़न,lagabhag / qarīb-qarīb / aṁdāzan,lagabhag / qarīb-qarīb / aṁdāzan
68,"around (movement, periphery)",adverb,a1,nan,चारों ओर / इर्द-गिर्द / आस-पास,चारों ओर / इर्द-गिर्द / आस-पास,cārōṁ ōr / ird-gird / ās-pās,cārōṁ ōr / ird-gird / ās-pās
69,around (nearby or in the vicinity),preposition,a1,nan,आस-पास / क़रीब / नज़दीक,आस-पास / क़रीब / नज़दीक,ās-pās / qarīb / nazadīk,ās-pās / qarīb / nazadīk
70,"around (nearby, in the vicinity)",adverb,a1,nan,आस-पास / क़रीब / इर्द-गिर्द,आस-पास / क़रीब / इर्द-गिर्द,ās-pās / qarīb / ird-gird,ās-pās / qarīb / ird-gird
71,around (surrounding something or moving in a circle),preposition,a1,nan,के आस-पास / चारों ओर / इर्द-गिर्द / के गिर्द,के आस-पास / चारों ओर / इर्द-गिर्द / के गिर्द,kē ās-pās / cārōṁ ōr / ird-gird / kē gird,kē ās-pās / cārōṁ ōr / ird-gird / kē gird
72,arrow (projectile),noun,a1,nan,तीर (m) / बाण (m) / शर (m),तीर (m) / बाण (m) / शर (m),tīr (m) / bāṇa (m) / śar (m),tīr (m) / bāṇa (m) / śar (m)
73,art (skill or technique),noun,a1,nan,कला (f) / हुनर (m) / फ़न (m),हुनर (m) / फ़न (m) / कला (f),kalā (f) / hunar (m) / fan (m),hunar (m) / fan (m) / kalā (f)
74,article (object),noun,a1,nan,चीज़ (f) / वस्तु (f) / सामग्री (f),चीज़ (f) / शय (f) / वस्तु (f),cīz (f) / vastu (f) / sāmagrī (f),cīz (f) / śay (f) / vastu (f)
75,article (writing),noun,a1,nan,लेख (m) / मक़ाला (m) / निबंध (m),मक़ाला (m) / लेख (m) / मज़मून (m),lēkh (m) / maqālā (m) / nibaṁdh (m),maqālā (m) / lēkh (m) / mazamūn (m)
76,"artist (performer, general artiste)",noun,a1,nan,कलाकार (m) / फ़नकार (m),कलाकार (m) / फ़नकार (m),kalākār (m) / fanakār (m),kalākār (m) / fanakār (m)
77,"artist (visual creator, e.g., painter)",noun,a1,nan,चित्रकार (m) / कलाकार (m) / मुसव्विर (m),चित्रकार (m) / मुसव्विर (m) / कलाकार (m),citrakār (m) / kalākār (m) / musavvir (m),citrakār (m) / musavvir (m) / kalākār (m)
78,as (in the role of),preposition,a1,nan,के तौर पर / के रूप में,के तौर पर / की हैसियत से,kē taur par / kē rūp mēṁ,kē taur par / kī haisiyat sē
79,"as (like, in the manner of)",preposition,a1,nan,जैसे / की तरह / समान,जैसे / की तरह / मानिंद,jaisē / kī tarah / samān,jaisē / kī tarah / māniṁd
80,asleep (in slumber),adjective,a1,nan,सोया हुआ / निद्रामग्न,सोया हुआ / नींद में / ख़्वाब-ज़दा,sōyā huā / nidrāmagn,sōyā huā / nīṁd mēṁ / k͟hvāb-zadā
81,"at (target, direction)",preposition,a1,nan,की ओर / की तरफ़ / पर,की तरफ़ / की जानिब / पर,kī ōr / kī taraf / par,kī taraf / kī jānib / par
82,"at (time, moment)",preposition,a1,nan,पर / को / के वक़्त,पर / को / के वक़्त / के लम्हे,par / kō / kē vaqt,par / kō / kē vaqt / kē lamhē
83,august,noun,a1,nan,अगस्त (m),अगस्त (m),agast (m),agast (m)
84,aunt (father's sister),noun,a1,nan,बुआ (f) / पितृष्वसा (f),बुआ (f) / फुप्पी (f),buā (f) / pitr̥ṣvasā (f),buā (f) / phuppī (f)
85,aunt (mother's elder sister),noun,a1,nan,मौसी (f) / मासी (f) / मातृष्वसा (f),मौसी (f) / ख़ाला (f),mausī (f) / māsī (f) / mātr̥ṣvasā (f),mausī (f) / k͟hālā (f)
86,aunt (mother's younger sister),noun,a1,nan,मौसी (f) / मासी (f) / मातृष्वसा (f),मौसी (f) / ख़ाला (f),mausī (f) / māsī (f) / mātr̥ṣvasā (f),mausī (f) / k͟hālā (f)
87,auto (common usage),noun,a1,nan,ऑटो (m) / ऑटो रिक्शा (m),ऑटो (m) / ऑटो रिक्शा (m),ôṭō (m) / ôṭō rikśā (m),ôṭō (m) / ôṭō rikśā (m)
88,autumn,noun,a1,nan,पतझड़ (m) / शरद ऋतु (f) / ख़िज़ाँ (f),ख़िज़ाँ (f) / पतझड़ (m),patajhaṛa (m) / śarad r̥tu (f) / k͟hizām̐ (f),k͟hizām̐ (f) / patajhaṛa (m)
89,away (distance or absence),adverb,a1,nan,दूर / परे,दूर / परे / ग़ायब,dūr / parē,dūr / parē / ġāyab
90,away (into storage or hiding),adverb,a1,nan,हटाकर / छिपाकर / अलग,हटाकर / छिपाकर / पोशीदा,haṭākar / chipākar / alag,haṭākar / chipākar / pōśīdā
91,baby,noun,a1,nan,बच्चा (m) / शिशु (m) / नवजात (m),बच्चा (m) / नन्हा (m) / शिशु (m),baccā (m) / śiśu (m) / navajāt (m),baccā (m) / nanhā (m) / śiśu (m)
92,baby (term of endearment),noun,a1,nan,जान (f) / प्रिय (m/f) / बाबू (m),जान (f) / महबूब (m) / दिलबर (m/f),jān (f) / priy (m/f) / bābū (m),jān (f) / mahabūb (m) / dilabar (m/f)
93,back,adverb,a1,nan,वापस / पीछे,वापस / पीछे / बाज़,vāpas / pīchē,vāpas / pīchē / bāz
94,back (rear side),noun,a1,nan,पीठ (f) / पिछला हिस्सा (m) / पृष्ठभाग (m),पीठ (f) / पुश्त (f),pīṭh (f) / pichalā hissā (m) / pr̥ṣṭhabhāg (m),pīṭh (f) / puśt (f)
95,"bad (sick, unwell)",adjective,a1,nan,बीमार / अस्वस्थ / रुग्ण,बीमार / नासाज़ / अस्वस्थ,bīmār / asvasth / rugṇa,bīmār / nāsāz / asvasth
96,ball,noun,a1,nan,गेंद (f) / कंदुक (m),गेंद (f) / कुर्रा (m),gēṁd (f) / kaṁduk (m),gēṁd (f) / kurrā (m)
97,"banana (unripe, raw)",noun,a1,nan,कच्चा केला (m) / हरित कदली (f),कच्चा केला (m) / ख़ाम केला (m),kaccā kēlā (m) / harit kadalī (f),kaccā kēlā (m) / k͟hām kēlā (m)
98,band (musical group),noun,a1,nan,बैंड (m) / संगीत मंडली (f) / वाद्यवृंद (m),बैंड (m) / संगीत मंडली (f) / मौसीक़ी ग्रुप (m),baiṁḍa (m) / saṁgīt maṁḍalī (f) / vādyavr̥ṁd (m),baiṁḍa (m) / saṁgīt maṁḍalī (f) / mausīqī grup (m)
99,"bank (river, lake)",noun,a1,nan,किनारा (m) / तट (m) / कूल (m),किनारा (m) / साहिल (m) / तट (m),kinārā (m) / taṭa (m) / kūl (m),kinārā (m) / sāhil (m) / taṭa (m)
100,bath,noun,a1,nan,ग़ुसल (m) / स्नान (m),ग़ुसल (m) / स्नान (m),ġusal (m) / snān (m),ġusal (m) / snān (m)
101,beach,noun,a1,nan,बीच (m) / समुद्र तट (m) / किनारा (m),साहिल (m) / समुद्र तट (m) / बीच (m),bīc (m) / samudr taṭa (m) / kinārā (m),sāhil (m) / samudr taṭa (m) / bīc (m)
102,beautiful,adjective,a1,nan,ख़ूबसूरत / सुंदर / हसीन,ख़ूबसूरत / हसीन / ज़ेबा,k͟hūbasūrat / suṁdar / hasīn,k͟hūbasūrat / hasīn / zēbā
103,because (clause connector),conjunction,a1,nan,क्योंकि / चूँकि,क्योंकि / चूँकि,kyōṁki / cūm̐ki,kyōṁki / cūm̐ki
104,"because of (a noun, reason)",conjunction,a1,nan,की वजह से / के कारण / के सबब से,की वजह से / के सबब से / के बाइस,kī vajah sē / kē kāraṇa / kē sabab sē,kī vajah sē / kē sabab sē / kē bāis
105,bed (planting area),noun,a1,nan,क्यारी (f) / मेड़ (f),क्यारी (f) / मेड़ (f),kyārī (f) / mēṛa (f),kyārī (f) / mēṛa (f)
106,bedroom,noun,a1,nan,बेडरूम (m) / सोने का कमरा (m) / शयनकक्ष (m),बेडरूम (m) / सोने का कमरा (m) / ख़्वाबगाह (f),bēḍarūm (m) / sōnē kā kamarā (m) / śayanakakṣa (m),bēḍarūm (m) / sōnē kā kamarā (m) / k͟hvābagāh (f)
107,beer,noun,a1,nan,बीयर (f),बीयर (f),bīyar (f),bīyar (f)
108,before (time),preposition,a1,nan,पहले / से पहले / पूर्व,पहले / से पहले / क़ब्ल,pahalē / sē pahalē / pūrv,pahalē / sē pahalē / qabl
109,behind (at the rear),preposition,a1,nan,पीछे / के पीछे / पश्चात,पीछे / के पीछे / पस,pīchē / kē pīchē / paścāt,pīchē / kē pīchē / pas
110,behind (delayed or late),adverb,a1,nan,देर से / पीछे,देर से / पीछे,dēr sē / pīchē,dēr sē / pīchē
111,behind (remaining or lagging),preposition,a1,nan,पीछे / बाद में,पीछे / बाद में,pīchē / bād mēṁ,pīchē / bād mēṁ
112,below (in a document or list),adverb,a1,nan,नीचे / अधोलिखित,नीचे / ज़ेर-ए-ज़िक्र,nīcē / adhōlikhit,nīcē / zēr-ē-zikr
113,below (less than a standard/value),preposition,a1,nan,से कम / नीचे,से कम / नीचे,sē kam / nīcē,sē kam / nīcē
114,below (less than),preposition,a1,nan,से कम / नीचे,से कम / नीचे,sē kam / nīcē,sē kam / nīcē
115,below (spatially),preposition,a1,nan,नीचे / तले,नीचे / तले,nīcē / talē,nīcē / talē
116,better (in health),adjective,a1,nan,बेहतर / ठीक / अच्छा,बेहतर / ठीक / अच्छा,bēhatar / ṭhīk / acchā,bēhatar / ṭhīk / acchā
117,between,preposition,a1,nan,के बीच / दरमियान,के बीच / दरमियान,kē bīc / daramiyān,kē bīc / daramiyān
118,big,adjective,a1,nan,बड़ा / विशाल / महान,बड़ा / अज़ीम / विशाल,baṛā / viśāl / mahān,baṛā / azīm / viśāl
119,bike (bicycle),noun,a1,nan,साइकिल (f) / द्विचक्रिका (f),साइकिल (f) / दोपहिया (f),sāikil (f) / dvicakrikā (f),sāikil (f) / dōpahiyā (f)
120,bill (bird's beak),noun,a1,nan,चोंच (f),चोंच (f),cōṁc (f),cōṁc (f)
121,bill (invoice),noun,a1,nan,बिल (m) / रसीद (f) / देयक (m),बिल (m) / रसीद (f) / हिसाब (m) / फ़हरिस्त (f),bil (m) / rasīd (f) / dēyak (m),bil (m) / rasīd (f) / hisāb (m) / faharist (f)
122,bird (common),noun,a1,nan,चिड़िया (f),चिड़िया (f),ciṛiyā (f),ciṛiyā (f)
123,"bird (general, formal)",noun,a1,nan,पंछी (m) / पक्षी (m),परिंदा (m) / पंछी (m) / तैयूर (m),paṁchī (m) / pakṣī (m),pariṁdā (m) / paṁchī (m) / taiyūr (m)
124,birthday,noun,a1,nan,जन्मदिन (m) / सालगिरह (f),सालगिरह (f) / यौम-ए-पैदाइश (m),janmadin (m) / sālagirah (f),sālagirah (f) / yaum-ē-paidāiśa (m)
125,black (color),noun,a1,nan,काला रंग (m) / श्याम रंग (m),काला रंग (m) / सियाह रंग (m),kālā raṁg (m) / śyām raṁg (m),kālā raṁg (m) / siyāh raṁg (m)
126,blog,noun,a1,nan,ब्लॉग (m) / चिट्ठा (m),ब्लॉग (m) / मुदव्वना (f),blôg (m) / ciṭṭhā (m),blôg (m) / mudavvanā (f)
127,blonde,adjective,a1,nan,सुनहरे बालों वाला / गोरा,सुनहरे बालों वाला / शकर-रंग,sunaharē bālōṁ vālā / gōrā,sunaharē bālōṁ vālā / śakar-raṁg
128,blue,noun,a1,nan,नीला रंग (m),नीला रंग (m) / अज़्रक़ रंग (m),nīlā raṁg (m),nīlā raṁg (m) / azraq raṁg (m)
129,boat,noun,a1,nan,नाव (f) / किश्ती (f),नाव (f) / किश्ती (f) / बेड़ा (m),nāv (f) / kiśtī (f),nāv (f) / kiśtī (f) / bēṛā (m)
130,body,noun,a1,nan,बदन (m) / शरीर (m) / देह (f) / काया (f),बदन (m) / जिस्म (m) / तन (m),badan (m) / śarīr (m) / dēh (f) / kāyā (f),badan (m) / jism (m) / tan (m)
131,book,noun,a1,nan,किताब (f) / पुस्तक (f) / पोथी (f),किताब (f) / पोथी (f),kitāb (f) / pustak (f) / pōthī (f),kitāb (f) / pōthī (f)
132,boot,noun,a1,nan,बूट (m) / जूता (m),बूट (m) / जूता (m),būṭa (m) / jūtā (m),būṭa (m) / jūtā (m)
133,bored,adjective,a1,nan,ऊबा हुआ / बोर,ऊबा हुआ / बेज़ार,ūbā huā / bōr,ūbā huā / bēzār
134,"boring (tedious, dull)",adjective,a1,nan,उबाऊ / नीरस / बोरिंग,उबाऊ / बेज़ार-कुन,ubāū / nīras / bōriṁg,ubāū / bēzār-kun
135,both (modifying a noun),pronoun,a1,nan,दोनों,दोनों / हर दो,dōnōṁ,dōnōṁ / har dō
136,both (people),determiner,a1,nan,दोनों,दोनों / हर दो,dōnōṁ,dōnōṁ / har dō
137,bottle,noun,a1,nan,बोतल (f) / शीशी (f),बोतल (f) / शीशी (f),bōtal (f) / śīśī (f),bōtal (f) / śīśī (f)
138,box,noun,a1,nan,डिब्बा (m) / बक्सा (m) / पेटी (f),डिब्बा (m) / संदूक़ (m) / बक्सा (m),ḍibbā (m) / baksā (m) / pēṭī (f),ḍibbā (m) / saṁdūq (m) / baksā (m)
139,boy,noun,a1,nan,लड़का (m) / बालक (m) / छोकरा (m),लड़का (m) / बच्चा (m) / फ़रज़ंद (m),laṛakā (m) / bālak (m) / chōkarā (m),laṛakā (m) / baccā (m) / farazaṁd (m)
140,"boyfriend (casual, direct usage)",noun,a1,N/A,बॉयफ्रेंड (m) / प्रेमी (m),बॉयफ्रेंड (m) / दोस्त (m) / प्रेमी (m),bôyaphrēṁḍa (m) / prēmī (m),bôyaphrēṁḍa (m) / dōst (m) / prēmī (m)
141,boyfriend (general),noun,a1,N/A,प्रेमी (m) / बॉयफ्रेंड (m) / प्रियतम (m),प्रेमी (m) / महबूब (m) / आशिक़ (m),prēmī (m) / bôyaphrēṁḍa (m) / priyatam (m),prēmī (m) / mahabūb (m) / āśiq (m)
142,bread,noun,a1,N/A,ब्रेड (f) / पाव (m),ब्रेड (f) / पाव (m),brēḍa (f) / pāv (m),brēḍa (f) / pāv (m)
143,bread (flatbread/roti),noun,a1,N/A,रोटी (f) / चपाती (f) / पराठा (m),रोटी (f) / चपाती (f) / नान (f) / पराठा (m),rōṭī (f) / capātī (f) / parāṭhā (m),rōṭī (f) / capātī (f) / nān (f) / parāṭhā (m)
144,"bread (general flatbread, roti)",noun,a1,N/A,रोटी (f) / चपाती (f) / फुलका (m),रोटी (f) / चपाती (f) / नान (f),rōṭī (f) / capātī (f) / phulakā (m),rōṭī (f) / capātī (f) / nān (f)
145,bread (Western style),noun,a1,N/A,ब्रेड (f) / पाव (m) / डबलरोटी (f),ब्रेड (f) / पाव (m) / डबलरोटी (f),brēḍa (f) / pāv (m) / ḍabalarōṭī (f),brēḍa (f) / pāv (m) / ḍabalarōṭī (f)
146,break (rest period),noun,a1,N/A,ब्रेक (m) / आराम (m) / अवकाश (m),ब्रेक (m) / आराम (m) / वक़्फ़ा (m),brēk (m) / ārām (m) / avakāśa (m),brēk (m) / ārām (m) / vaqfā (m)
147,breakfast (common),noun,a1,N/A,नाश्ता (m) / सुबह का खाना (m),नाश्ता (m) / सुबह का खाना (m),nāśtā (m) / subah kā khānā (m),nāśtā (m) / subah kā khānā (m)
148,breakfast (formal),noun,a1,N/A,प्रात:काल का भोजन (m) / नाश्ता (m),सुबह का नाश्ता (m) / नाश्ता (m),prāt:kāl kā bhōjan (m) / nāśtā (m),subah kā nāśtā (m) / nāśtā (m)
