english_word,word_class,telugu_translation,transliteration,verb_transitivity,level
"day (daytime, light period)",noun,పగలు / దివసం,pagalu / divasaṁ,,a2
"dear (addressing someone in speech, writing)",adjective,ప్రియమైన / ఆత్మీయ,priyamaina / ātmīya,,a2
dear (beloved),adjective,ప్రియమైన / ఇష్టమైన / ఆత్మీయమైన,priyamaina / iṣṭamaina / ātmīyamaina,,a2
december,noun,డిసెంబర్,ḍiseṁbar,,a2
decision (common choice),noun,నిర్ణయం / తీర్మానం,nirṇayaṁ / tīrmānaṁ,,a2
description,noun,వివరణ / వర్ణన,vivaraṇa / varṇana,,a2
"design (pattern, style)",noun,డిజైన్ / నమూనా / శైలి,ḍijain / namūnā / śaili,,a2
"design (plan, structure)",noun,రూపకల్పన / ప్రణాళిక / డిజైన్,rūpakalpana / praṇāḷika / ḍijain,,a2
desk,noun,డెస్క్ / బల్ల,ḍesk / balla,,a2
detail,noun,వివరాలు / అంశం,vivarālu / aṁśaṁ,,a2
"dialogue (script, film)",noun,సంభాషణ / డైలాగ్,saṁbhāṣaṇa / ḍailāg,,a2
dictionary,noun,నిఘంటువు / డిక్షనరీ,nighaṁṭuvu / ḍikṣanarī,,a2
diet (restrictive eating plan),noun,ఆహార నియమాలు / డైట్,āhāra niyamālu / ḍaiṭ,,a2
difference,noun,తేడా / భేదం / వ్యత్యాసం,tēḍā / bhēdaṁ / vyatyāsaṁ,,a2
dinner,noun,రాత్రి భోజనం / డిన్నర్,rātri bhōjanaṁ / ḍinnar,,a2
"dish (plate, container)",noun,పళ్ళెం / ప్లేట్,paḷḷeṁ / plēṭ,,a2
dish (prepared food),noun,వంటకం / కూర / డిష్,vaṁṭakaṁ / kūra / ḍiṣ,,a2
dog,noun,కుక్క / శునకం,kukka / śunakaṁ,,a2
dollar,noun,డాలర్,ḍālar,,a2
door,noun,తలుపు / ద్వారం,talupu / dvāraṁ,,a2
down,preposition,కింద / క్రింద,kiṁda / kriṁda,,a2
"down (emotionally, sad)",adverb,నిరాశగా / బాధగా / దిగులుగా,nirāśagā / bādhagā / digulugā,,a2
downstairs (location),adverb,కిందకు / కింది అంతస్తుకు,kiṁdaku / kiṁdi aṁtastuku,,a2
dress (clothing),noun,దుస్తులు / వస్త్రం / బట్టలు,dustulu / vastraṁ / baṭṭalu,,a2
"dress (clothing, attire)",noun,దుస్తులు / వస్త్రధారణ / బట్టలు,dustulu / vastradhāraṇa / baṭṭalu,,a2
dress (frock or gown),noun,డ్రెస్సు / గౌను / ఫ్రాక్,ḍressu / gaunu / phrāk,,a2
dress (frock),noun,ఫ్రాక్ / డ్రెస్సు,phrāk / ḍressu,,a2
drink (alcoholic beverage),noun,మద్యం / సారాయి / డ్రింక్,madyaṁ / sārāyi / ḍriṁk,,a2
"driver (operator of vehicle, colloquial)",noun,డ్రైవరు / సారథి,ḍraivaru / sārathi,,a2
"driver (operator of vehicle, formal)",noun,డ్రైవరు / సారథి / వాహన చోదకుడు,ḍraivaru / sārathi / vāhana cōdakuḍu,,a2
during (the period of time),preposition,సమయంలో / కాలంలో / మధ్య,samayaṁlō / kālaṁlō / madhya,,a2
dvd,noun,డీవీడీ,ḍīvīḍī,,a2
"each (as a determiner, e.g., each day)",determiner,ప్రతి / ఒక్కొక్క,prati / okkokka,,a2
"each (each one, individually)",adverb,ఒక్కొక్కటిగా / విడివిడిగా,okkokkaṭigā / viḍiviḍigā,,a2
"each (each one, individually, for people)",pronoun,ఒక్కొక్కరు / ప్రతి ఒక్కరు,okkokkaru / prati okkaru,,a2
each (one per person/item),pronoun,ఒక్కొక్కటి / ప్రతి ఒక్కటి,okkokkaṭi / prati okkaṭi,,a2
each (per unit),pronoun,ఒక్కొక్కటి / ప్రతి యూనిట్,okkokkaṭi / prati yūniṭ,,a2
each (per unit/for each one),determiner,ప్రతి / ఒక్కొక్క,prati / okkokka,,a2
ear,noun,చెవి / కర్ణం,cevi / karṇaṁ,,a2
early,adverb,ముందుగా / త్వరగా / ప్రాతఃకాలంలో,muṁdugā / tvaragā / prātaḥkālaṁlō,,a2
"early (historical, primitive)",adjective,ప్రాచీన / తొలి / పూర్వ,prācīna / toli / pūrva,,a2
early (initial or primitive),adjective,తొలి / ప్రాథమిక / ప్రారంభ,toli / prāthamika / prāraṁbha,,a2
early morning,noun,తెల్లవారుజాము / ప్రాతఃకాలం / ఉదయం,tellavārujāmu / prātaḥkālaṁ / udayaṁ,,a2
east,noun,తూర్పు / ప్రాచీదిశ,tūrpu / prācīdiśa,,a2
"east (adverbially, towards)",adverb,తూర్పుగా / తూర్పు దిశగా,tūrpugā / tūrpu diśagā,,a2
east (eastern),adjective,తూర్పు / ప్రాచ్య,tūrpu / prācya,,a2
