english_word,word_class,level,verb_transitivity,translation,transliteration
"anything (thing, object, general indefinite)",pronoun,a2,,कुछ / कोई भी चीज़,kuch / kōī bhī cīz
anything (whatever the choice),pronoun,a2,,कुछ भी / जो कुछ भी,kuch bhī / jō kuch bhī
apartment,noun,a2,,फ़्लैट (m) / अपार्टमेंट (m) / आवास (m),flaiṭa (m) / apārṭamēṁṭa (m) / āvās (m)
apple,noun,a2,,सेब (m),sēb (m)
april,noun,a2,,अप्रैल (m),aprail (m)
area (measurement),noun,a2,,रकबा (m) / क्षेत्रफल (m),rakabā (m) / kṣētraphal (m)
around (approximate time or quantity),preposition,a2,,लगभग / क़रीब / आस-पास,lagabhag / qarīb / ās-pās
around (approximately),adverb,a2,,लगभग / क़रीब-क़रीब / अंदाज़न,lagabhag / qarīb-qarīb / aṁdāzan
"around (movement, periphery)",adverb,a2,,चारों ओर / इर्द-गिर्द / आस-पास,cārōṁ ōr / ird-gird / ās-pās
around (nearby or in the vicinity),preposition,a2,,आस-पास / क़रीब / नज़दीक,ās-pās / qarīb / nazadīk
"around (nearby, in the vicinity)",adverb,a2,,आस-पास / क़रीब / इर्द-गिर्द,ās-pās / qarīb / ird-gird
around (surrounding something or moving in a circle),preposition,a2,,के आस-पास / चारों ओर / इर्द-गिर्द / के गिर्द,kē ās-pās / cārōṁ ōr / ird-gird / kē gird
arrow (projectile),noun,a2,,तीर (m) / बाण (m) / शर (m),tīr (m) / bāṇa (m) / śar (m)
art (skill or technique),noun,a2,,कला (f) / हुनर (m) / फ़न (m),kalā (f) / hunar (m) / fan (m)
article (object),noun,a2,,चीज़ (f) / वस्तु (f) / सामग्री (f),cīz (f) / vastu (f) / sāmagrī (f)
article (writing),noun,a2,,लेख (m) / मक़ाला (m) / निबंध (m),lēkh (m) / maqālā (m) / nibaṁdh (m)
"artist (performer, general artiste)",noun,a2,,कलाकार (m) / फ़नकार (m),kalākār (m) / fanakār (m)
"artist (visual creator, e.g., painter)",noun,a2,,चित्रकार (m) / कलाकार (m) / मुसव्विर (m),citrakār (m) / kalākār (m) / musavvir (m)
as (in the role of),preposition,a2,,के तौर पर / के रूप में,kē taur par / kē rūp mēṁ
"as (like, in the manner of)",preposition,a2,,जैसे / की तरह / समान,jaisē / kī tarah / samān
asleep (in slumber),adjective,a2,,सोया हुआ / निद्रामग्न,sōyā huā / nidrāmagn
"at (target, direction)",preposition,a2,,की ओर / की तरफ़ / पर,kī ōr / kī taraf / par
"at (time, moment)",preposition,a2,,पर / को / के वक़्त,par / kō / kē vaqt
august,noun,a2,,अगस्त (m),agast (m)
aunt (father's sister),noun,a2,,बुआ (f) / पितृष्वसा (f),buā (f) / pitr̥ṣvasā (f)
aunt (mother's elder sister),noun,a2,,मौसी (f) / मासी (f) / मातृष्वसा (f),mausī (f) / māsī (f) / mātr̥ṣvasā (f)
aunt (mother's younger sister),noun,a2,,मौसी (f) / मासी (f) / मातृष्वसा (f),mausī (f) / māsī (f) / mātr̥ṣvasā (f)
auto (common usage),noun,a2,,ऑटो (m) / ऑटो रिक्शा (m),ôṭō (m) / ôṭō rikśā (m)
autumn,noun,a2,,पतझड़ (m) / शरद ऋतु (f) / ख़िज़ाँ (f),patajhaṛa (m) / śarad r̥tu (f) / k͟hizām̐ (f)
away (distance or absence),adverb,a2,,दूर / परे,dūr / parē
away (into storage or hiding),adverb,a2,,हटाकर / छिपाकर / अलग,haṭākar / chipākar / alag
baby,noun,a2,,बच्चा (m) / शिशु (m) / नवजात (m),baccā (m) / śiśu (m) / navajāt (m)
baby (term of endearment),noun,a2,,जान (f) / प्रिय (m/f) / बाबू (m),jān (f) / priy (m/f) / bābū (m)
back,adverb,a2,,वापस / पीछे,vāpas / pīchē
back (rear side),noun,a2,,पीठ (f) / पिछला हिस्सा (m) / पृष्ठभाग (m),pīṭh (f) / pichalā hissā (m) / pr̥ṣṭhabhāg (m)
"bad (sick, unwell)",adjective,a2,,बीमार / अस्वस्थ / रुग्ण,bīmār / asvasth / rugṇa
ball,noun,a2,,गेंद (f) / कंदुक (m),gēṁd (f) / kaṁduk (m)
"banana (unripe, raw)",noun,a2,,कच्चा केला (m) / हरित कदली (f),kaccā kēlā (m) / harit kadalī (f)
band (musical group),noun,a2,,बैंड (m) / संगीत मंडली (f) / वाद्यवृंद (m),baiṁḍa (m) / saṁgīt maṁḍalī (f) / vādyavr̥ṁd (m)
"bank (river, lake)",noun,a2,,किनारा (m) / तट (m) / कूल (m),kinārā (m) / taṭa (m) / kūl (m)
bath,noun,a2,,ग़ुसल (m) / स्नान (m),ġusal (m) / snān (m)
beach,noun,a2,,बीच (m) / समुद्र तट (m) / किनारा (m),bīc (m) / samudr taṭa (m) / kinārā (m)
beautiful,adjective,a2,,ख़ूबसूरत / सुंदर / हसीन,k͟hūbasūrat / suṁdar / hasīn
because (clause connector),conjunction,a2,,क्योंकि / चूँकि,kyōṁki / cūm̐ki
"because of (a noun, reason)",conjunction,a2,,की वजह से / के कारण / के सबब से,kī vajah sē / kē kāraṇa / kē sabab sē
bed (planting area),noun,a2,,क्यारी (f) / मेड़ (f),kyārī (f) / mēṛa (f)
bedroom,noun,a2,,बेडरूम (m) / सोने का कमरा (m) / शयनकक्ष (m),bēḍarūm (m) / sōnē kā kamarā (m) / śayanakakṣa (m)
beer,noun,a2,,बीयर (f),bīyar (f)
before (time),preposition,a2,,पहले / से पहले / पूर्व,pahalē / sē pahalē / pūrv
behind (at the rear),preposition,a2,,पीछे / के पीछे / पश्चात,pīchē / kē pīchē / paścāt
behind (delayed or late),adverb,a2,,देर से / पीछे,dēr sē / pīchē
behind (remaining or lagging),preposition,a2,,पीछे / बाद में,pīchē / bād mēṁ
below (in a document or list),adverb,a2,,नीचे / अधोलिखित,nīcē / adhōlikhit
below (less than a standard/value),preposition,a2,,से कम / नीचे,sē kam / nīcē
below (less than),preposition,a2,,से कम / नीचे,sē kam / nīcē
below (spatially),preposition,a2,,नीचे / तले,nīcē / talē
better (in health),adjective,a2,,बेहतर / ठीक / अच्छा,bēhatar / ṭhīk / acchā
between,preposition,a2,,के बीच / दरमियान,kē bīc / daramiyān
big,adjective,a2,,बड़ा / विशाल / महान,baṛā / viśāl / mahān
bike (bicycle),noun,a2,,साइकिल (f) / द्विचक्रिका (f),sāikil (f) / dvicakrikā (f)
bill (bird's beak),noun,a2,,चोंच (f),cōṁc (f)
bill (invoice),noun,a2,,बिल (m) / रसीद (f) / देयक (m),bil (m) / rasīd (f) / dēyak (m)
bird (common),noun,a2,,चिड़िया (f),ciṛiyā (f)
"bird (general, formal)",noun,a2,,पंछी (m) / पक्षी (m),paṁchī (m) / pakṣī (m)
birthday,noun,a2,,जन्मदिन (m) / सालगिरह (f),janmadin (m) / sālagirah (f)
black (color),noun,a2,,काला रंग (m) / श्याम रंग (m),kālā raṁg (m) / śyām raṁg (m)
blog,noun,a2,,ब्लॉग (m) / चिट्ठा (m),blôg (m) / ciṭṭhā (m)
blonde,adjective,a2,,सुनहरे बालों वाला / गोरा,sunaharē bālōṁ vālā / gōrā
blue,noun,a2,,नीला रंग (m),nīlā raṁg (m)
boat,noun,a2,,नाव (f) / किश्ती (f),nāv (f) / kiśtī (f)
body,noun,a2,,बदन (m) / शरीर (m) / देह (f) / काया (f),badan (m) / śarīr (m) / dēh (f) / kāyā (f)
book,noun,a2,,किताब (f) / पुस्तक (f) / पोथी (f),kitāb (f) / pustak (f) / pōthī (f)
boot,noun,a2,,बूट (m) / जूता (m),būṭa (m) / jūtā (m)
bored,adjective,a2,,ऊबा हुआ / बोर,ūbā huā / bōr
"boring (tedious, dull)",adjective,a2,,उबाऊ / नीरस / बोरिंग,ubāū / nīras / bōriṁg
both (modifying a noun),pronoun,a2,,दोनों,dōnōṁ
both (people),determiner,a2,,दोनों,dōnōṁ
bottle,noun,a2,,बोतल (f) / शीशी (f),bōtal (f) / śīśī (f)
box,noun,a2,,डिब्बा (m) / बक्सा (m) / पेटी (f),ḍibbā (m) / baksā (m) / pēṭī (f)
boy,noun,a2,,लड़का (m) / बालक (m) / छोकरा (m),laṛakā (m) / bālak (m) / chōkarā (m)
"boyfriend (casual, direct usage)",noun,a2,,बॉयफ्रेंड (m) / प्रेमी (m),bôyaphrēṁḍa (m) / prēmī (m)
boyfriend (general),noun,a2,,प्रेमी (m) / बॉयफ्रेंड (m) / प्रियतम (m),prēmī (m) / bôyaphrēṁḍa (m) / priyatam (m)
bread,noun,a2,,ब्रेड (f) / पाव (m),brēḍa (f) / pāv (m)
bread (flatbread/roti),noun,a2,,रोटी (f) / चपाती (f) / पराठा (m),rōṭī (f) / capātī (f) / parāṭhā (m)
"bread (general flatbread, roti)",noun,a2,,रोटी (f) / चपाती (f) / फुलका (m),rōṭī (f) / capātī (f) / phulakā (m)
bread (Western style),noun,a2,,ब्रेड (f) / पाव (m) / डबलरोटी (f),brēḍa (f) / pāv (m) / ḍabalarōṭī (f)
break (rest period),noun,a2,,ब्रेक (m) / आराम (m) / अवकाश (m),brēk (m) / ārām (m) / avakāśa (m)
breakfast (common),noun,a2,,नाश्ता (m) / सुबह का खाना (m),nāśtā (m) / subah kā khānā (m)
breakfast (formal),noun,a2,,प्रात:काल का भोजन (m) / नाश्ता (m),prāt:kāl kā bhōjan (m) / nāśtā (m)
brother (elder),noun,a2,,भैया (m) / बड़े भाई (m) / अग्रज (m),bhaiyā (m) / baṛē bhāī (m) / agraj (m)
brother (younger),noun,a2,,छोटा भाई (m) / भाई (m) / अनुज (m),chōṭā bhāī (m) / bhāī (m) / anuj (m)
brown,noun,a2,,भूरा रंग (m) / बादामी रंग (m) / कत्थई रंग (m),bhūrā raṁg (m) / bādāmī raṁg (m) / katthaī raṁg (m)
brown (adjective),noun,a2,,भूरा / बादामी / कत्थई,bhūrā / bādāmī / katthaī
building,noun,a2,,इमारत (f) / भवन (m) / अट्टालिका (f),imārat (f) / bhavan (m) / aṭṭālikā (f)
bus,noun,a2,,बस (f) / बस गाड़ी (f),bas (f) / bas gāṛī (f)
"business (commercial enterprise, trade)",noun,a2,,कारोबार (m) / व्यापार (m) / व्यवसाय (m),kārōbār (m) / vyāpār (m) / vyavasāy (m)
"busy (crowded, bustling)",adjective,a2,,भीड़-भाड़ वाला / व्यस्त / चहल-पहल वाला,bhīṛa-bhāṛa vālā / vyast / cahal-pahal vālā
busy (telephone line engaged),adjective,a2,,व्यस्त / एंगेज्ड,vyast / ēṁgējḍa
by (deadline),preposition,a2,,तक / से पहले,tak / sē pahalē
by (means of),preposition,a2,,से / द्वारा,sē / dvārā
"by (near, beside)",preposition,a2,,पास / नज़दीक / समीप,pās / nazadīk / samīp
bye (casual),noun,a2,,टाटा (f) / अलविदा (f) / विदाई (f),ṭāṭā (f) / alavidā (f) / vidāī (f)
bye (polite parting),exclamation,a2,,अलविदा / फिर मिलेंगे,alavidā / phir milēṁgē
cafe,noun,a2,,कैफ़े (m) / कॉफ़ी-हाउस (m),kaifē (m) / kôfī-hāus (m)
cake,noun,a2,,केक (m),kēk (m)
"call (shout, cry)",noun,a2,,पुकार (f) / आवाज़ (f) / चीख़ (f),pukār (f) / āvāz (f) / cīk͟h (f)
call (telephone),noun,a2,,फ़ोन (m) / कॉल (f) / दूरभाष (m),fōn (m) / kôl (f) / dūrabhāṣa (m)
camera,noun,a2,,कैमरा (m),kaimarā (m)
can (ability),modal verb,a2,,सकना,sakanā
"can (permission, request)",modal verb,a2,,सकना / इजाज़त होना,sakanā / ijāzat hōnā
"cannot (be allowed to , prohibited)",modal verb,a2,,नहीं कर पाना / मना होना / वर्जित होना,nahīṁ kar pānā / manā hōnā / varjit hōnā
"capital (chief, of the main city)",adjective,a2,,मुख्य / प्रधान / राजधानी का,mukhy / pradhān / rājadhānī kā
capital (city),noun,a2,,राजधानी (f),rājadhānī (f)
capital (financial assets),noun,a2,,पूँजी (f) / निधि (f) / सरमाया (m),pūm̐jī (f) / nidhi (f) / saramāyā (m)
capital (letter),adjective,a2,,बड़ा / वृहत्,baṛā / vr̥hat
car,noun,a2,,गाड़ी (f) / कार (f) / मोटर गाड़ी (f),gāṛī (f) / kār (f) / mōṭar gāṛī (f)
"card (greeting, post)",noun,a2,,कार्ड (m) / शुभकामना पत्र (m) / डाक पत्र (m),kārḍa (m) / śubhakāmanā patr (m) / ḍāk patr (m)
"card (ID, Bank)",noun,a2,,कार्ड (m) / पहचान पत्र (m) / बैंक कार्ड (m),kārḍa (m) / pahacān patr (m) / baiṁk kārḍa (m)
career,noun,a2,,करियर (m) / पेशा (m) / वृत्ति (f) / व्यवसाय (m),kariyar (m) / pēśā (m) / vr̥tti (f) / vyavasāy (m)
carrot,noun,a2,,गाजर (f),gājar (f)
cat,noun,a2,,बिल्ली (f) / मार्जारी (f),billī (f) / mārjārī (f)
cd,noun,a2,,सीडी (f) / कॉम्पैक्ट डिस्क (f),sīḍī (f) / kômpaikṭa ḍisk (f)
cent (unit of land area),noun,a2,,सेंट (m),sēṁṭa (m)
"centre (institution, hub)",noun,a2,,केंद्र (m) / सेंटर (m) / मरकज़ (m),kēṁdr (m) / sēṁṭar (m) / marakaz (m)
century (100 years),noun,a2,,सदी (f) / शताब्दी (f),sadī (f) / śatābdī (f)
century (cricket score),noun,a2,,शतक (m) / सेंचुरी (f),śatak (m) / sēṁcurī (f)
change (alteration),noun,a2,,बदलाव (m) / तब्दीली (f) / परिवर्तन (m),badalāv (m) / tabdīlī (f) / parivartan (m)
change (money remainder),noun,a2,,खुले पैसे (m) / छुट्टा (m) / शेष (m),khulē paisē (m) / chuṭṭā (m) / śēṣa (m)
chart (map for navigation),noun,a2,,चार्ट (m) / नक़्शा (m) / मानचित्र (m),cārṭa (m) / naqśā (m) / mānacitr (m)
cheap (low cost),adjective,a2,,सस्ता / कम दाम का,sastā / kam dām kā
cheap (low quality),adjective,a2,,सस्ता / घटिया / निम्न कोटि का,sastā / ghaṭiyā / nimn kōṭi kā
"cheap (stingy, miserly)",adjective,a2,,कंजूस / मख्खीचूस / कृपण,kaṁjūs / makhkhīcūs / kr̥paṇa
cheese,noun,a2,,चीज़ (f) / पनीर (m),cīz (f) / panīr (m)
chicken (animal),noun,a2,,मुर्गी (f) / मुर्गा (m) / कुक्कुट (m),murgī (f) / murgā (m) / kukkuṭa (m)
chicken (meat),noun,a2,,चिकन (m) / मुर्गे का गोश्त (m) / कुक्कुट मांस (m),cikan (m) / murgē kā gōśt (m) / kukkuṭa māṁs (m)
chocolate,noun,a2,,चॉकलेट (f),côkalēṭa (f)
city,noun,a2,,शहर (m) / नगर (m) / महानगर (m),śahar (m) / nagar (m) / mahānagar (m)
class (category/type),noun,a2,,क़िस्म (f) / प्रकार (m) / वर्ग (m),qism (f) / prakār (m) / varg (m)
class (grade level),noun,a2,,क्लास (f) / कक्षा (f) / जमात (f),klās (f) / kakṣā (f) / jamāt (f)
"class (lesson, session)",noun,a2,,क्लास (f) / कक्षा (f) / पाठ (m),klās (f) / kakṣā (f) / pāṭh (m)
class (social stratum),noun,a2,,तबक़ा (m) / वर्ग (m) / श्रेणी (f),tabaqā (m) / varg (m) / śrēṇī (f)
classroom,noun,a2,,क्लासरूम (m) / क्लास (f) / कक्षा (f),klāsarūm (m) / klās (f) / kakṣā (f)
clock (wall or desk timepiece),noun,a2,,घड़ी (f) / दीवार घड़ी (f),ghaṛī (f) / dīvār ghaṛī (f)
"clothes (garments, apparel)",noun,a2,,कपड़े (m) / वस्त्र (m) / पोशाक (f),kapaṛē (m) / vastr (m) / pōśāk (f)
club (organization),noun,a2,,क्लब (m) / संस्था (f) / मंडल (m),klab (m) / saṁsthā (f) / maṁḍal (m)
club (venue),noun,a2,,क्लब (m),klab (m)
coffee,noun,a2,,कॉफ़ी (f),kôfī (f)
"cold (cool, refreshing)",adjective,a2,,ठंडा / सर्द / शीतल,ṭhaṁḍā / sard / śītal
cold (illness),noun,a2,,सर्दी (f) / ज़ुकाम (m),sardī (f) / zukām (m)
cold (low temperature),noun,a2,,ठंड (f) / सर्दी (f),ṭhaṁḍa (f) / sardī (f)
"cold (temperature, unpleasant)",adjective,a2,,ठंडा / शीतल,ṭhaṁḍā / śītal
college,noun,a2,,कॉलेज (m) / महाविद्यालय (m),kôlēj (m) / mahāvidyālay (m)
colour,noun,a2,,रंग (m) / वर्ण (m),raṁg (m) / varṇa (m)
"common (general, frequent)",adjective,a2,,आम / सामान्य / साधारण,ām / sāmāny / sādhāraṇa
"common (shared, joint)",adjective,a2,,साझा / संयुक्त / उभयनिष्ठ,sājhā / saṁyukt / ubhayaniṣṭh
company (business entity),noun,a2,,कंपनी (f) / निगम (m) / संस्था (f),kaṁpanī (f) / nigam (m) / saṁsthā (f)
"company (companionship, guests)",noun,a2,,संगत (f) / साथ (m) / मेहमान (m),saṁgat (f) / sāth (m) / mēhamān (m)
"complete (total, entire)",adjective,a2,,पूरा / संपूर्ण / मुकम्मल,pūrā / saṁpūrṇa / mukammal
computer,noun,a2,,कंप्यूटर (m) / संगणक (m),kaṁpyūṭar (m) / saṁgaṇak (m)
concert,noun,a2,,कॉन्सर्ट (m) / संगीत समारोह (m),kônsarṭa (m) / saṁgīt samārōh (m)
conversation (casual chat),noun,a2,,बात (f) / बातचीत (f) / वार्तालाप (m),bāt (f) / bātacīt (f) / vārtālāp (m)
cooking,noun,a2,,खाना बनाना (m) / पाक-कला (f),khānā banānā (m) / pāk-kalā (f)
cool (moderately cold),adjective,a2,,ठंडा / शीतल,ṭhaṁḍā / śītal
correct,adjective,a2,,सही / ठीक / शुद्ध,sahī / ṭhīk / śuddh
"cost (expenditure, expense)",noun,a2,,ख़र्च (m) / व्यय (m),k͟harc (m) / vyay (m)
"cost (price, monetary value)",noun,a2,,क़ीमत (f) / दाम (m) / मूल्य (m),qīmat (f) / dām (m) / mūly (m)
could (past ability),modal verb,a2,,सकना,sakanā
could (polite request),modal verb,a2,,सकना / पाना,sakanā / pānā
could (possibility),modal verb,a2,,सकना / होना,sakanā / hōnā
country (nation),noun,a2,,देश (m) / राष्ट्र (m),dēśa (m) / rāṣṭr (m)
country (rural area),noun,a2,,गाँव (m) / देहात (m) / ग्रामीण क्षेत्र (m),gām̐v (m) / dēhāt (m) / grāmīṇa kṣētr (m)
course (meal),noun,a2,,डिश (f) / व्यंजन (m) / पकवान (m),ḍiśa (f) / vyaṁjan (m) / pakavān (m)
course (of study),noun,a2,,कोर्स (m) / पाठ्यक्रम (m) / पाठ्यचर्या (f),kōrs (m) / pāṭhyakram (m) / pāṭhyacaryā (f)
"cousin (female, parallel cousin)",noun,a2,,चचेरी बहन (f) / ममेरी बहन (f),cacērī bahan (f) / mamērī bahan (f)
"cousin (male, parallel cousin)",noun,a2,,चचेरा भाई (m) / ममेरा भाई (m),cacērā bhāī (m) / mamērā bhāī (m)
cow,noun,a2,,गाय (f) / धेनु (f),gāy (f) / dhēnu (f)
cream (lotion or ointment),noun,a2,,क्रीम (f) / मलहम (m) / लेप (m),krīm (f) / malaham (m) / lēp (m)
culture,noun,a2,,संस्कृति (f) / तहज़ीब (f),saṁskr̥ti (f) / tahazīb (f)
cup,noun,a2,,कप (m) / प्याला (m),kap (m) / pyālā (m)
cup (loanword),noun,a2,,कप (m),kap (m)
customer,noun,a2,,ग्राहक (m) / उपभोक्ता (m),grāhak (m) / upabhōktā (m)
cycle (vehicle),noun,a2,,साइकिल (f) / द्विचक्रिका (f),sāikil (f) / dvicakrikā (f)
dad,noun,a2,,पिता (m) / अब्बा (m) / बाबूजी (m),pitā (m) / abbā (m) / bābūjī (m)
dad (common spoken),noun,a2,,पापा (m) / अब्बा (m),pāpā (m) / abbā (m)
dancer (female),noun,a2,,नर्तकी (f) / नृत्यांगना (f),nartakī (f) / nr̥tyāṁganā (f)
dancer (male),noun,a2,,नर्तक (m) / नृत्यांग (m),nartak (m) / nr̥tyāṁg (m)
dancing (general act),noun,a2,,नाचना (m) / नृत्य (m),nācanā (m) / nr̥ty (m)
"dancing (performance, classical)",noun,a2,,नृत्य (m) / शास्त्रीय नृत्य (m),nr̥ty (m) / śāstrīy nr̥ty (m)
dangerous,adjective,a2,,ख़तरनाक / जोखिम भरा,k͟hataranāk / jōkhim bharā
dark (deep in color),adjective,a2,,गहरा / गाढ़ा,gaharā / gāṛhā
date (calendar time),noun,a2,,तारीख़ (f) / दिनांक (f) / तिथि (f),tārīk͟h (f) / dināṁk (f) / tithi (f)
date (fruit),noun,a2,,खजूर (m),khajūr (m)
daughter,noun,a2,,बेटी (f) / पुत्री (f),bēṭī (f) / putrī (f)
day (24-hour period),noun,a2,,दिन (m) / दिवस (m),din (m) / divas (m)
"day (daytime, light period)",noun,a2,,दिन (m) / दिन का वक़्त (m),din (m) / din kā vaqt (m)
"dear (addressing someone in speech, writing)",adjective,a2,,प्रिय / प्यारे / अज़ीज़,priy / pyārē / azīz
dear (beloved),adjective,a2,,प्यारा / प्रिय / महबूब,pyārā / priy / mahabūb
december,noun,a2,,दिसंबर (m),disaṁbar (m)
decision (common choice),noun,a2,,फ़ैसला (m) / निर्णय (m),faisalā (m) / nirṇay (m)
description,noun,a2,,विवरण (m) / तफ़सील (f) / वर्णन (m),vivaraṇa (m) / tafasīl (f) / varṇan (m)
"design (pattern, style)",noun,a2,,डिज़ाइन (m) / नमूना (m) / शैली (f) / आकृति (f),ḍizāin (m) / namūnā (m) / śailī (f) / ākr̥ti (f)
"design (plan, structure)",noun,a2,,योजना (f) / ख़ाका (m) / बनावट (f) / संरचना (f),yōjanā (f) / k͟hākā (m) / banāvaṭa (f) / saṁracanā (f)
desk,noun,a2,,डेस्क (m) / मेज़ (f),ḍēsk (m) / mēz (f)
