english_word,word_class,level,verb_transitivity,translation,transliteration
action (general activity or step),noun,a1,,کَارْیَوَاہِی (f) / قَدَمَ (m),kāryavāhī (f) / qadam (m)
activity (general state of action),noun,a1,,سَرَگَرْمِی (f) / گَتِوِدھِ (f),saragarmī (f) / gatividhi (f)
activity (task or event),noun,a1,,سَرَگَرْمِی (f) / مَشَغَلَا (m) / اَمَلَ (m),saragarmī (f) / maśaġalā (m) / amal (m)
actress,noun,a1,,اَدَاکَارَا (f) / اَیکْٹْریسَ (f) / فَنَکَارَا (f),adākārā (f) / aikṭrēs (f) / fanakārā (f)
"adult (person, polite reference)",noun,a1,,بَالِغَ (m) / سَیَانَا (m) / اَہَلَ-اے-شُؤُرَ (m),bāliġa (m) / sayānā (m) / ahal-ē-śuūr (m)
advice (authoritative guidance),noun,a1,,سَلَاہَ (f) / ہِدَایَتَ (f) / مَشَوَرَا (m),salāh (f) / hidāyat (f) / maśavarā (m)
"advice (guidance, counsel)",noun,a1,,سَلَاہَ (f) / مَشَوَرَا (m) / نَسِیہَتَ (f),salāh (f) / maśavarā (m) / nasīhat (f)
"afraid (apologetic, reluctant)",adjective,a1,,شَرْمِن٘دَا / ہِچَکِچَاتَا ہُءآ / جھِجھَکَتَا ہُءآ,śarmiṁdā / hicakicātā huā / jhijhakatā huā
after (following time or event),preposition,a1,,کے بَادَ / بَادَ اَزَ / پَشْچَاتْ,kē bād / bād az / paścāt
"after (upon completion, sequence)",preposition,a1,,کے بَادَ / بَادَ اَزَ / پَشْچَاتْ,kē bād / bād az / paścāt
afternoon,noun,a1,,دوپَہَرَ (f) / بَادَ دوپَہَرَ (f) / اَپَرَاہْنَ (m),dōpahar (f) / bād dōpahar (f) / aparāhn (m)
again (one more time),adverb,a1,,پھِرَ / دوبَارَا / دُبَارَا,phir / dōbārā / dubārā
ago,adverb,a1,,پَہَلے / قَبْلَ,pahalē / qabl
air (travel),noun,a1,,ہَوَائِی سَفَرَ (m) / ہَوَائِی یَاتْرَا (f),havāī safar (m) / havāī yātrā (f)
airport,noun,a1,,ہَوَائِی اَڈَّا (m) / فَرودَگَاہَ (f),havāī aḍḍā (m) / farōdagāh (f)
all (entire duration or quantity),determiner,a1,,سَارَا / پُورَا / تَمَامَ,sārā / pūrā / tamām
all (entire quantity/duration),determiner,a1,,سَبَ / سَارَا / پُورَا / تَمَامَ,sab / sārā / pūrā / tamām
"all (people, everyone)",pronoun,a1,,سَبَ / سَبھِی / ہَرَ کوئِی,sab / sabhī / har kōī
also,adverb,a1,,بھِی / اَورَ / اِسَکے اَلَاوَا,bhī / aur / isakē alāvā
always (at all times),adverb,a1,,ہَمیشَا / سَدَا / ہَرَ وَقْتَ,hamēśā / sadā / har vaqt
"always (continuous state, stylistic)",adverb,a1,,ہَمیشَا / لَگَاتَارَ / مُسْتَقِلَ,hamēśā / lagātār / mustaqil
"amazing (spectacular, awe-inspiring)",adjective,a1,,کَمَالَ کَا / شَانَدَارَ / ہَیرَتَ-اَن٘گیزَ / ہَیرَتَنَاکَ,kamāl kā / śānadār / hairat-aṁgēz / hairatanāk
"amazing (wonderful, great)",adjective,a1,,کَمَالَ کَا / شَانَدَارَ / ہَیرَتَ-اَن٘گیزَ / اَزِیمَ,kamāl kā / śānadār / hairat-aṁgēz / azīm
and (general linking),conjunction,a1,,اَورَ / وَ / تَتھَا,aur / v / tathā
angrily,adverb,a1,,غُسّے سے / نَارَازَگِی سے / بَرَہَمِی سے,ġussē sē / nārāzagī sē / barahamī sē
"angry (common, annoyed)",adjective,a1,,غُسّے میں / نَارَازَ / خَفَا / بَرَہَمَ,ġussē mēṁ / nārāz / k͟hafā / baraham
another,determiner,a1,,ایکَ اَورَ / کوئِی اَورَ / دُوسَرَا / دِیگَرَ,ēk aur / kōī aur / dūsarā / dīgar
another (a different one),pronoun,a1,,دُوسَرَا / کوئِی اَورَ / دِیگَرَ,dūsarā / kōī aur / dīgar
another (one more),pronoun,a1,,ایکَ اَورَ / دِیگَرَ,ēk aur / dīgar
"another (unspecified thing, item)",determiner,a1,,کوئِی اَورَ / دُوسَرَا / دِیگَرَ,kōī aur / dūsarā / dīgar
answer,noun,a1,,جَوَابَ (m) / اُتَّرَ (m) / پْرَتْیُتَّرَ (m),javāb (m) / uttar (m) / pratyuttar (m)
"any (choice, universal)",determiner,a1,,کوئِی بھِی / کوئِی / کِسِی بھِی,kōī bhī / kōī / kisī bhī
any (general selection),pronoun,a1,,کوئِی / کوئِی بھِی / کوئِی سَا,kōī / kōī bhī / kōī sā
"any (in questions, negatives)",determiner,a1,,کوئِی / کُچھَ,kōī / kuch
any (indefinite quantity),determiner,a1,,کُچھَ / کوئِی,kuch / kōī
"any (item, choice)",pronoun,a1,,کوئِی / کوئِی بھِی / کوئِی سَا,kōī / kōī bhī / kōī sā
"any (some, if)",pronoun,a1,,کُچھَ / کوئِی,kuch / kōī
"any (universal choice, usually in context)",determiner,a1,,کوئِی بھِی / جو کوئِی / کوئِی سَا بھِی,kōī bhī / jō kōī / kōī sā bhī
any (zero quantity),pronoun,a1,,کُچھَ نَہِیں / کوئِی نَہِیں,kuch nahīṁ / kōī nahīṁ
"any (zero quantity, with negative verb)",pronoun,a1,,کوئِی / کُچھَ,kōī / kuch
"anyone (any person, affirmative)",pronoun,a1,,کوئِی بھِی / ہَرَ کوئِی,kōī bhī / har kōī
"anyone (in questions, negatives)",pronoun,a1,,کوئِی / کوئِی بھِی,kōī / kōī bhī
"anything (thing, object, general indefinite)",pronoun,a1,,کُچھَ / کوئِی بھِی چِیزَ / کوئِی شَیَ,kuch / kōī bhī cīz / kōī śay
anything (whatever the choice),pronoun,a1,,کُچھَ بھِی / جو کُچھَ بھِی / جو چَاہے,kuch bhī / jō kuch bhī / jō cāhē
apartment,noun,a1,,فْلَیٹَ (m) / اَپَارْٹَمین٘ٹَ (m) / شُقَّا (m),flaiṭa (m) / apārṭamēṁṭa (m) / śuqqā (m)
apple,noun,a1,,سیبَ (m),sēb (m)
april,noun,a1,,اَپْرَیلَ (m),aprail (m)
area (measurement),noun,a1,,رَکَبَا (m) / کْشیتْرَپھَلَ (m) / اِلَاقَا (m),rakabā (m) / kṣētraphal (m) / ilāqā (m)
around (approximate time or quantity),preposition,a1,,لَگَبھَگَ / قَرِیبَ / آسَ-پَاسَ,lagabhag / qarīb / ās-pās
around (approximately),adverb,a1,,لَگَبھَگَ / قَرِیبَ-قَرِیبَ / اَن٘دَازَنَ,lagabhag / qarīb-qarīb / aṁdāzan
"around (movement, periphery)",adverb,a1,,چَاروں اورَ / اِرْدَ-گِرْدَ / آسَ-پَاسَ,cārōṁ ōr / ird-gird / ās-pās
around (nearby or in the vicinity),preposition,a1,,آسَ-پَاسَ / قَرِیبَ / نَزَدِیکَ,ās-pās / qarīb / nazadīk
"around (nearby, in the vicinity)",adverb,a1,,آسَ-پَاسَ / قَرِیبَ / اِرْدَ-گِرْدَ,ās-pās / qarīb / ird-gird
around (surrounding something or moving in a circle),preposition,a1,,کے آسَ-پَاسَ / چَاروں اورَ / اِرْدَ-گِرْدَ / کے گِرْدَ,kē ās-pās / cārōṁ ōr / ird-gird / kē gird
arrow (projectile),noun,a1,,تِیرَ (m) / بَانَ (m) / شَرَ (m),tīr (m) / bāṇa (m) / śar (m)
art (skill or technique),noun,a1,,ہُنَرَ (m) / فَنَ (m) / کَلَا (f),hunar (m) / fan (m) / kalā (f)
article (object),noun,a1,,چِیزَ (f) / شَیَ (f) / وَسْتُ (f),cīz (f) / śay (f) / vastu (f)
article (writing),noun,a1,,مَقَالَا (m) / لیکھَ (m) / مَزَمُونَ (m),maqālā (m) / lēkh (m) / mazamūn (m)
"artist (performer, general artiste)",noun,a1,,کَلَاکَارَ (m) / فَنَکَارَ (m),kalākār (m) / fanakār (m)
"artist (visual creator, e.g., painter)",noun,a1,,چِتْرَکَارَ (m) / مُسَوِّرَ (m) / کَلَاکَارَ (m),citrakār (m) / musavvir (m) / kalākār (m)
as (in the role of),preposition,a1,,کے تَورَ پَرَ / کِی ہَیسِیَتَ سے,kē taur par / kī haisiyat sē
"as (like, in the manner of)",preposition,a1,,جَیسے / کِی تَرَہَ / مَانِن٘دَ,jaisē / kī tarah / māniṁd
asleep (in slumber),adjective,a1,,سویَا ہُءآ / نِین٘دَ میں / خْوَابَ-زَدَا,sōyā huā / nīṁd mēṁ / k͟hvāb-zadā
"at (target, direction)",preposition,a1,,کِی تَرَفَ / کِی جَانِبَ / پَرَ,kī taraf / kī jānib / par
"at (time, moment)",preposition,a1,,پَرَ / کو / کے وَقْتَ / کے لَمْہے,par / kō / kē vaqt / kē lamhē
august,noun,a1,,اَگَسْتَ (m),agast (m)
aunt (father's sister),noun,a1,,بُءآ (f) / پھُپِّی (f),buā (f) / phuppī (f)
aunt (mother's elder sister),noun,a1,,مَوسِی (f) / خَالَا (f),mausī (f) / k͟hālā (f)
aunt (mother's younger sister),noun,a1,,مَوسِی (f) / خَالَا (f),mausī (f) / k͟hālā (f)
auto (common usage),noun,a1,,آٹو (m) / آٹو رِکْشَا (m),ôṭō (m) / ôṭō rikśā (m)
autumn,noun,a1,,خِزَاں (f) / پَتَجھَڑَ (m),k͟hizām̐ (f) / patajhaṛa (m)
away (distance or absence),adverb,a1,,دُورَ / پَرے / غَایَبَ,dūr / parē / ġāyab
away (into storage or hiding),adverb,a1,,ہَٹَاکَرَ / چھِپَاکَرَ / پوشِیدَا,haṭākar / chipākar / pōśīdā
baby,noun,a1,,بَچَّا (m) / نَنْہَا (m) / شِشُ (m),baccā (m) / nanhā (m) / śiśu (m)
baby (term of endearment),noun,a1,,جَانَ (f) / مَہَبُوبَ (m) / دِلَبَرَ (m/f),jān (f) / mahabūb (m) / dilabar (m/f)
back,adverb,a1,,وَاپَسَ / پِیچھے / بَازَ,vāpas / pīchē / bāz
back (rear side),noun,a1,,پِیٹھَ (f) / پُشْتَ (f),pīṭh (f) / puśt (f)
"bad (sick, unwell)",adjective,a1,,بِیمَارَ / نَاسَازَ / اَسْوَسْتھَ,bīmār / nāsāz / asvasth
ball,noun,a1,,گین٘دَ (f) / کُرَّا (m),gēṁd (f) / kurrā (m)
"banana (unripe, raw)",noun,a1,,کَچَّا کیلَا (m) / خَامَ کیلَا (m),kaccā kēlā (m) / k͟hām kēlā (m)
band (musical group),noun,a1,,بَین٘ڈَ (m) / سَن٘گِیتَ مَن٘ڈَلِی (f) / مَوسِیقِی گْرُپَ (m),baiṁḍa (m) / saṁgīt maṁḍalī (f) / mausīqī grup (m)
"bank (river, lake)",noun,a1,,کِنَارَا (m) / سَاہِلَ (m) / تَٹَ (m),kinārā (m) / sāhil (m) / taṭa (m)
bath,noun,a1,,غُسَلَ (m) / سْنَانَ (m),ġusal (m) / snān (m)
beach,noun,a1,,سَاہِلَ (m) / سَمُدْرَ تَٹَ (m) / بِیچَ (m),sāhil (m) / samudr taṭa (m) / bīc (m)
beautiful,adjective,a1,,خُوبَسُورَتَ / ہَسِینَ / زیبَا,k͟hūbasūrat / hasīn / zēbā
because (clause connector),conjunction,a1,,کْیون٘کِ / چُون٘کِ,kyōṁki / cūm̐ki
"because of (a noun, reason)",conjunction,a1,,کِی وَجَہَ سے / کے سَبَبَ سے / کے بَائِسَ,kī vajah sē / kē sabab sē / kē bāis
bed (planting area),noun,a1,,کْیَارِی (f) / میڑَ (f),kyārī (f) / mēṛa (f)
bedroom,noun,a1,,بیڈَرُومَ (m) / سونے کَا کَمَرَا (m) / خْوَابَگَاہَ (f),bēḍarūm (m) / sōnē kā kamarā (m) / k͟hvābagāh (f)
beer,noun,a1,,بِییَرَ (f),bīyar (f)
before (time),preposition,a1,,پَہَلے / سے پَہَلے / قَبْلَ,pahalē / sē pahalē / qabl
behind (at the rear),preposition,a1,,پِیچھے / کے پِیچھے / پَسَ,pīchē / kē pīchē / pas
behind (delayed or late),adverb,a1,,دیرَ سے / پِیچھے,dēr sē / pīchē
behind (remaining or lagging),preposition,a1,,پِیچھے / بَادَ میں,pīchē / bād mēṁ
below (in a document or list),adverb,a1,,نِیچے / زیرَ-اے-زِکْرَ,nīcē / zēr-ē-zikr
below (less than a standard/value),preposition,a1,,سے کَمَ / نِیچے,sē kam / nīcē
below (less than),preposition,a1,,سے کَمَ / نِیچے,sē kam / nīcē
below (spatially),preposition,a1,,نِیچے / تَلے,nīcē / talē
better (in health),adjective,a1,,بیہَتَرَ / ٹھِیکَ / اَچھَّا,bēhatar / ṭhīk / acchā
between,preposition,a1,,کے بِیچَ / دَرَمِیَانَ,kē bīc / daramiyān
big,adjective,a1,,بَڑَا / اَزِیمَ / وِشَالَ,baṛā / azīm / viśāl
bike (bicycle),noun,a1,,سَائِکِلَ (f) / دوپَہِیَا (f),sāikil (f) / dōpahiyā (f)
bill (bird's beak),noun,a1,,چون٘چَ (f),cōṁc (f)
bill (invoice),noun,a1,,بِلَ (m) / رَسِیدَ (f) / ہِسَابَ (m) / فَہَرِسْتَ (f),bil (m) / rasīd (f) / hisāb (m) / faharist (f)
bird (common),noun,a1,,چِڑِیَا (f),ciṛiyā (f)
"bird (general, formal)",noun,a1,,پَرِن٘دَا (m) / پَن٘چھِی (m) / تَییُورَ (m),pariṁdā (m) / paṁchī (m) / taiyūr (m)
birthday,noun,a1,,سَالَگِرَہَ (f) / یَومَ-اے-پَیدَائِشَ (m),sālagirah (f) / yaum-ē-paidāiśa (m)
black (color),noun,a1,,کَالَا رَن٘گَ (m) / سِیَاہَ رَن٘گَ (m),kālā raṁg (m) / siyāh raṁg (m)
blog,noun,a1,,بْلَاگَ (m) / مُدَوَّنَا (f),blôg (m) / mudavvanā (f)
blonde,adjective,a1,,سُنَہَرے بَالوں وَالَا / شَکَرَ-رَن٘گَ,sunaharē bālōṁ vālā / śakar-raṁg
blue,noun,a1,,نِیلَا رَن٘گَ (m) / اَزْرَقَ رَن٘گَ (m),nīlā raṁg (m) / azraq raṁg (m)
boat,noun,a1,,نَاوَ (f) / کِشْتِی (f) / بیڑَا (m),nāv (f) / kiśtī (f) / bēṛā (m)
body,noun,a1,,بَدَنَ (m) / جِسْمَ (m) / تَنَ (m),badan (m) / jism (m) / tan (m)
book,noun,a1,,کِتَابَ (f) / پوتھِی (f),kitāb (f) / pōthī (f)
boot,noun,a1,,بُوٹَ (m) / جُوتَا (m),būṭa (m) / jūtā (m)
bored,adjective,a1,,اُوبَا ہُءآ / بیزَارَ,ūbā huā / bēzār
"boring (tedious, dull)",adjective,a1,,اُبَاؤُ / بیزَارَ-کُنَ,ubāū / bēzār-kun
both (modifying a noun),pronoun,a1,,دونوں / ہَرَ دو,dōnōṁ / har dō
both (people),determiner,a1,,دونوں / ہَرَ دو,dōnōṁ / har dō
bottle,noun,a1,,بوتَلَ (f) / شِیشِی (f),bōtal (f) / śīśī (f)
box,noun,a1,,ڈِبَّا (m) / سَن٘دُوقَ (m) / بَکْسَا (m),ḍibbā (m) / saṁdūq (m) / baksā (m)
boy,noun,a1,,لَڑَکَا (m) / بَچَّا (m) / فَرَزَن٘دَ (m),laṛakā (m) / baccā (m) / farazaṁd (m)
"boyfriend (casual, direct usage)",noun,a1,,بَایَپھْرین٘ڈَ (m) / دوسْتَ (m) / پْریمِی (m),bôyaphrēṁḍa (m) / dōst (m) / prēmī (m)
boyfriend (general),noun,a1,,پْریمِی (m) / مَہَبُوبَ (m) / آشِقَ (m),prēmī (m) / mahabūb (m) / āśiq (m)
bread,noun,a1,,بْریڈَ (f) / پَاوَ (m),brēḍa (f) / pāv (m)
bread (flatbread/roti),noun,a1,,روٹِی (f) / چَپَاتِی (f) / نَانَ (f) / پَرَاٹھَا (m),rōṭī (f) / capātī (f) / nān (f) / parāṭhā (m)
"bread (general flatbread, roti)",noun,a1,,روٹِی (f) / چَپَاتِی (f) / نَانَ (f),rōṭī (f) / capātī (f) / nān (f)
bread (Western style),noun,a1,,بْریڈَ (f) / پَاوَ (m) / ڈَبَلَروٹِی (f),brēḍa (f) / pāv (m) / ḍabalarōṭī (f)
break (rest period),noun,a1,,بْریکَ (m) / آرَامَ (m) / وَقْفَا (m),brēk (m) / ārām (m) / vaqfā (m)
breakfast (common),noun,a1,,نَاشْتَا (m) / سُبَہَ کَا کھَانَا (m),nāśtā (m) / subah kā khānā (m)
breakfast (formal),noun,a1,,سُبَہَ کَا نَاشْتَا (m) / نَاشْتَا (m),subah kā nāśtā (m) / nāśtā (m)
brother (elder),noun,a1,,بھَائِی جَانَ (m) / بَڑے بھَائِی (m) / بھَائِی (m),bhāī jān (m) / baṛē bhāī (m) / bhāī (m)
brother (younger),noun,a1,,چھوٹَا بھَائِی (m) / بھَائِی (m) / بَرَّادَرَ-اے-خُرْدَ (m),chōṭā bhāī (m) / bhāī (m) / barrādar-ē-k͟hurd (m)
brown,noun,a1,,بھُورَا رَن٘گَ (m) / بَادَامِی رَن٘گَ (m) / کَتھَّئِی رَن٘گَ (m) / خَاکِی رَن٘گَ (m),bhūrā raṁg (m) / bādāmī raṁg (m) / katthaī raṁg (m) / k͟hākī raṁg (m)
brown (adjective),noun,a1,,بھُورَا / بَادَامِی / کَتھَّئِی / خَاکِی,bhūrā / bādāmī / katthaī / k͟hākī
building,noun,a1,,اِمَارَتَ (f) / بِلْڈِن٘گَ (f) / مَکَاں (m),imārat (f) / bilḍiṁg (f) / makām̐ (m)
bus,noun,a1,,بَسَ (f) / بَسَ گَاڑِی (f),bas (f) / bas gāṛī (f)
"business (commercial enterprise, trade)",noun,a1,,کَاروبَارَ (m) / بِزَنیسَ (m) / تِجَارَتَ (f),kārōbār (m) / bizanēs (m) / tijārat (f)
"busy (crowded, bustling)",adjective,a1,,بھِیڑَ-بھَاڑَ وَالَا / مَسَرُوفَ / چَہَلَ-پَہَلَ وَالَا,bhīṛa-bhāṛa vālā / masarūf / cahal-pahal vālā
busy (telephone line engaged),adjective,a1,,مَسَرُوفَ / این٘گیجْڈَ,masarūf / ēṁgējḍa
by (deadline),preposition,a1,,تَکَ / سے پَہَلے,tak / sē pahalē
by (means of),preposition,a1,,سے / کے زَرِئے,sē / kē zariē
"by (near, beside)",preposition,a1,,پَاسَ / نَزَدِیکَ / قَرِیبَ,pās / nazadīk / qarīb
bye (casual),noun,a1,,ٹَاٹَا (f) / اَلَوِدَا (f) / رُخْسَتَ (f),ṭāṭā (f) / alavidā (f) / ruk͟hsat (f)
bye (polite parting),exclamation,a1,,اَلَوِدَا / خُدَا ہَافِزَ / اَلَّا ہَافِزَ,alavidā / k͟hudā hāfiz / allā hāfiz
cafe,noun,a1,,کَیفے (m) / کَافِی-ہَاؤُسَ (m),kaifē (m) / kôfī-hāus (m)
cake,noun,a1,,کیکَ (m),kēk (m)
"call (shout, cry)",noun,a1,,پُکَارَ (f) / آوَازَ (f) / چِیخَ (f) / سَدَا (f),pukār (f) / āvāz (f) / cīk͟h (f) / sadā (f)
call (telephone),noun,a1,,فونَ (m) / کَالَ (f) / ٹیلِیفونَ (m),fōn (m) / kôl (f) / ṭēlīfōn (m)
camera,noun,a1,,کَیمَرَا (m),kaimarā (m)
can (ability),modal verb,a1,,سَکَنَا,sakanā
"can (permission, request)",modal verb,a1,,سَکَنَا / اِجَازَتَ ہونَا,sakanā / ijāzat hōnā
"cannot (be allowed to , prohibited)",modal verb,a1,,نَہِیں کَرَ پَانَا / مَنَا ہونَا / مَمْنُوءاَ ہونَا,nahīṁ kar pānā / manā hōnā / mamnūa hōnā
"capital (chief, of the main city)",adjective,a1,,مُکھْیَ / اَہَمَ / دَارُلَ-ہُکُومَتَ کَا,mukhy / aham / dārul-hukūmat kā
capital (city),noun,a1,,رَاجَدھَانِی (f) / دَارُلَ-ہُکُومَتَ (m) / پَایَ-اے-تَخْتَ (m),rājadhānī (f) / dārul-hukūmat (m) / pāy-ē-tak͟ht (m)
capital (financial assets),noun,a1,,پُون٘جِی (f) / سَرَمَایَا (m) / رَاسُلَ-مَالَ (m),pūm̐jī (f) / saramāyā (m) / rāsul-māl (m)
capital (letter),adjective,a1,,بَڑَا / کَبِیرَ,baṛā / kabīr
car,noun,a1,,گَاڑِی (f) / کَارَ (f) / موٹَرَ گَاڑِی (f),gāṛī (f) / kār (f) / mōṭar gāṛī (f)
"card (greeting, post)",noun,a1,,کَارْڈَ (m) / مُبَارَکَبَادِی کَارْڈَ (m) / پوسْٹَ کَارْڈَ (m),kārḍa (m) / mubārakabādī kārḍa (m) / pōsṭa kārḍa (m)
"card (ID, Bank)",noun,a1,,کَارْڈَ (m) / شَنَاخْتِی کَارْڈَ (m) / بَین٘کَ کَارْڈَ (m),kārḍa (m) / śanāk͟htī kārḍa (m) / baiṁk kārḍa (m)
career,noun,a1,,کَرِیَرَ (m) / پیشَا (m) / روزَگَارَ (m) / مُلَازَمَتَ (f),kariyar (m) / pēśā (m) / rōzagār (m) / mulāzamat (f)
carrot,noun,a1,,گَاجَرَ (f),gājar (f)
cat,noun,a1,,بِلِّی (f) / قِتَّا (m),billī (f) / qittā (m)
cd,noun,a1,,سِیڈِی (f) / کَامْپَیکْٹَ ڈِسْکَ (f),sīḍī (f) / kômpaikṭa ḍisk (f)
cent (unit of land area),noun,a1,,سین٘ٹَ (m),sēṁṭa (m)
"centre (institution, hub)",noun,a1,,مَرَکَزَ (m) / سین٘ٹَرَ (m) / کین٘دْرَ (m),marakaz (m) / sēṁṭar (m) / kēṁdr (m)
century (100 years),noun,a1,,سَدِی (f) / قَرْنَ (m),sadī (f) / qarn (m)
century (cricket score),noun,a1,,شَتَکَ (m) / سین٘چُرِی (f),śatak (m) / sēṁcurī (f)
change (alteration),noun,a1,,تَبْدِیلِی (f) / بَدَلَاوَ (m) / پَرِوَرْتَنَ (m),tabdīlī (f) / badalāv (m) / parivartan (m)
change (money remainder),noun,a1,,کھُلے پَیسے (m) / چھُٹَّا (m) / بَاقِی (m),khulē paisē (m) / chuṭṭā (m) / bāqī (m)
chart (map for navigation),noun,a1,,نَقْشَا (m) / چَارْٹَ (m) / خَرِیتَا (m),naqśā (m) / cārṭa (m) / k͟harītā (m)
cheap (low cost),adjective,a1,,سَسْتَا / اَرْزَاں,sastā / arzām̐
cheap (low quality),adjective,a1,,سَسْتَا / گھَٹِیَا / کَمَ-زورَ / اَدَنَا,sastā / ghaṭiyā / kam-zōr / adanā
"cheap (stingy, miserly)",adjective,a1,,کَن٘جُوسَ / بَخِیلَ / تَن٘گَ-دِلَ,kaṁjūs / bak͟hīl / taṁg-dil
cheese,noun,a1,,چِیزَ (f) / پَنِیرَ (m),cīz (f) / panīr (m)
chicken (animal),noun,a1,,مُرْگِی (f) / مُرْگَا (m) / کُکُّٹَ (m),murgī (f) / murgā (m) / kukkuṭa (m)
chicken (meat),noun,a1,,چِکَنَ (m) / مُرْگے کَا گوشْتَ (m) / کُکُّٹَ مَان٘سَ (m),cikan (m) / murgē kā gōśt (m) / kukkuṭa māṁs (m)
chocolate,noun,a1,,چَاکَلیٹَ (f),côkalēṭa (f)
city,noun,a1,,شَہَرَ (m) / قَسْبَا (m) / نَگَرَ (m),śahar (m) / qasbā (m) / nagar (m)
class (category/type),noun,a1,,قِسْمَ (f) / نَوئِیَتَ (f) / وَرْگَ (m),qism (f) / nauiyat (f) / varg (m)
class (grade level),noun,a1,,کْلَاسَ (f) / جَمَاتَ (f) / دَرْجَا (m),klās (f) / jamāt (f) / darjā (m)
"class (lesson, session)",noun,a1,,کْلَاسَ (f) / جَمَاتَ (f) / سَبَقَ (m),klās (f) / jamāt (f) / sabaq (m)
class (social stratum),noun,a1,,تَبَقَا (m) / دَرْجَا (m) / زَاتَ (f),tabaqā (m) / darjā (m) / zāt (f)
classroom,noun,a1,,کْلَاسَرُومَ (m) / دَرَسَگَاہَ (f) / جَمَاءاَتَ-خَانَا (m),klāsarūm (m) / darasagāh (f) / jamāat-k͟hānā (m)
clock (wall or desk timepiece),noun,a1,,گھَڑِی (f) / سَاءاَتَ-نُمَا (m),ghaṛī (f) / sāat-numā (m)
"clothes (garments, apparel)",noun,a1,,کَپَڑے (m) / لِبَاسَ (m) / پوشَاکَ (f),kapaṛē (m) / libās (m) / pōśāk (f)
club (organization),noun,a1,,کْلَبَ (m) / اَن٘جُمَنَ (f) / اِدَارَا (m),klab (m) / aṁjuman (f) / idārā (m)
club (venue),noun,a1,,کْلَبَ (m) / مَہَفِلَ-خَانَا (m),klab (m) / mahafil-k͟hānā (m)
coffee,noun,a1,,کَافِی (f) / قَہَوَا (m),kôfī (f) / qahavā (m)
"cold (cool, refreshing)",adjective,a1,,ٹھَن٘ڈَا / سَرْدَ / خُشَگَوَارَ,ṭhaṁḍā / sard / k͟huśagavār
cold (illness),noun,a1,,زُکَامَ (m) / نَزَلَا (m) / سَرْدِی (f),zukām (m) / nazalā (m) / sardī (f)
cold (low temperature),noun,a1,,ٹھَن٘ڈَ (f) / سَرْدِی (f),ṭhaṁḍa (f) / sardī (f)
"cold (temperature, unpleasant)",adjective,a1,,ٹھَن٘ڈَا / سَرْدَ,ṭhaṁḍā / sard
college,noun,a1,,کَالیجَ (m) / دَارُلَ-اُلُومَ (m),kôlēj (m) / dārul-ulūm (m)
colour,noun,a1,,رَن٘گَ (m) / لَونَ (m),raṁg (m) / laun (m)
"common (general, frequent)",adjective,a1,,آمَ / مَامُولَ کَا / سَادھَارَنَ,ām / māmūl kā / sādhāraṇa
"common (shared, joint)",adjective,a1,,سَاجھَا / مُشْتَرَکَ / سَن٘یُکْتَ,sājhā / muśtarak / saṁyukt
company (business entity),noun,a1,,کَن٘پَنِی (f) / شِرْکَتَ (f) / اِدَارَا (m),kaṁpanī (f) / śirkat (f) / idārā (m)
