id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
101,canal (anatomical channel),noun,b2,nan,நாளம் / கால்வாய் / குழாய்,nāḷam / kālvāy / kuḻāy
102,Cancer (zodiac sign),noun,b2,nan,கடகம்,kaṭakam
103,candle,noun,b2,nan,மெழுகுவர்த்தி,meḻukuvartti
104,capable,adjective,b2,nan,திறமையான / ஆற்றல்மிக்க / வல்லமைமிக்க,tiṟamaiyāṉa / āṟṟalmikka / vallamaimikka
105,specimen (representative instance),noun,c1,nan,மாதிரி / எடுத்துக்காட்டு,mātiri / eṭuttukkāṭṭu
106,specimen (scientific sample),noun,c1,nan,மாதிரி / கூறு / ஆய்வுப்பொருள்,mātiri / kūṟu / āyvupporuḷ
107,spectacle (embarrassing public scene),noun,c1,nan,கேலிக்கூத்து / கூத்து,kēlikkūttu / kūttu
108,spectacle (grand visual display),noun,c1,nan,கண்கவர் காட்சி / காட்சி / விழாக்கோலம்,kaṇkavar kāṭci / kāṭci / viḻākkōlam
109,spectacles (eyeglasses),noun,c1,nan,கண்ணாடி / மூக்குக்கண்ணாடி,kaṇṇāṭi / mūkkukkaṇṇāṭi
110,spectrum (range),noun,c1,nan,வீச்சு / பரப்பு / களம்,vīccu / parappu / kaḷam
111,spectrum (scientific),noun,c1,nan,நிறமாலை / அலைக்கற்றை,niṟamālai / alaikkaṟṟai
112,spell (magic),noun,c1,nan,மந்திரம் / சூனியம் / ஏவல்,mantiram / cūṉiyam / ēval
113,spell (period of time),noun,c1,nan,காலம் / நேரம்,kālam / nēram
114,sphere (domain of influence),noun,c1,nan,களம் / புலம் / செல்வாக்கு மண்டலம்,kaḷam / pulam / celvākku maṇṭalam
115,sphere (geometric shape),noun,c1,nan,கோளம் / உருண்டை,kōḷam / uruṇṭai
116,spin (bias or interpretation),noun,c1,nan,திரிபு / சார்பு / கோணம்,tiripu / cārpu / kōṇam
117,spine (of a book),noun,c1,nan,புத்தகத்தின் முதுகு / அட்டைப்பகுதி,puttakattiṉ mutuku / aṭṭaippakuti
118,spine (sharp projection),noun,c1,nan,முள் / கூர்முள்,muḷ / kūrmuḷ
119,"spotlight (attention, focus)",noun,c1,nan,கவனம் / மையக் கவனம் / வெளிச்சம்,kavaṉam / maiyak kavaṉam / veḷiccam
120,spotlight (physical lamp),noun,c1,nan,ஸ்பாட்லைட் / தேடுவிளக்கு / ஒளிவிளக்கு,spāṭlaiṭ / tēṭuviḷakku / oḷiviḷakku
121,spouse (husband),noun,c1,nan,கணவர் / துணைவர் / பர்த்தா,kaṇavar / tuṇaivar / parttā
122,spouse (wife),noun,c1,nan,மனைவி / துணைவி / பத்தினி,maṉaivi / tuṇaivi / pattiṉi
123,spy,noun,c1,nan,ஒற்றன் / உளவாளி / வேவுகாரன்,oṟṟaṉ / uḷavāḷi / vēvukāraṉ
124,"squad (military, police unit)",noun,c1,nan,படைப்பிரிவு / குழு / அணி,paṭaippirivu / kuḻu / aṇi
125,squad (sports team),noun,c1,nan,அணி / குழு,aṇi / kuḻu
126,stability,noun,c1,nan,நிலைத்தன்மை / ஸ்திரத்தன்மை / உறுதி,nilaittaṉmai / stirattaṉmai / uṟuti
127,stake (financial interest or share),noun,c1,nan,பங்கு / முதலீடு / ஈடுபாடு,paṅku / mutalīṭu / īṭupāṭu
128,stake (wooden post),noun,c1,nan,ஆப்பு / முளை / குச்சி,āppu / muḷai / kucci
129,standing (permanent),adjective,c1,nan,நிரந்தரமான / நிலையான / நிலைத்த,nirantaramāṉa / nilaiyāṉa / nilaitta
130,"to merge (companies, organizations)",verb,c1,nan,ஒன்றிணை / ஒருங்கிணை / இணை,oṉṟiṇai / oruṅkiṇai / iṇai
131,to minimize,verb,c1,nan,குறை / சுருக்கு / சிறுமைப்படுத்து,kuṟai / curukku / ciṟumaippaṭuttu
