id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
98,band (musical group),noun,a1,nan,బ్యాండ్ / బృందం,byāṁḍ / br̥ṁdaṁ
99,"bank (river, lake)",noun,a1,nan,గట్టు / ఒడ్డు / తీరం,gaṭṭu / oḍḍu / tīraṁ
100,bath,noun,a1,nan,స్నానం / తలస్నానం,snānaṁ / talasnānaṁ
101,beach,noun,a1,nan,బీచ్ / సముద్రతీరం / సముద్రపు ఒడ్డు,bīc / samudratīraṁ / samudrapu oḍḍu
102,beautiful,adjective,a1,nan,అందమైన / సుందరమైన / రమ్యమైన,aṁdamaina / suṁdaramaina / ramyamaina
103,because (clause connector),conjunction,a1,nan,ఎందుకంటే / కాబట్టి,eṁdukaṁṭē / kābaṭṭi
104,"because of (a noun, reason)",conjunction,a1,nan,వల్ల / కారణంగా,valla / kāraṇaṁgā
105,bed (planting area),noun,a1,nan,మడి,maḍi
106,bedroom,noun,a1,nan,పడకగది / శయనగది,paḍakagadi / śayanagadi
107,beer,noun,a1,nan,బీరు,bīru
108,before (time),preposition,a1,nan,ముందు / పూర్వం,muṁdu / pūrvaṁ
109,behind (at the rear),preposition,a1,nan,వెనుక,venuka
110,behind (delayed or late),adverb,a1,nan,ఆలస్యంగా,ālasyaṁgā
111,behind (remaining or lagging),preposition,a1,nan,వెనుకబడి / మిగిలి,venukabaḍi / migili
112,below (in a document or list),adverb,a1,nan,కింద / దిగువన,kiṁda / diguvana
113,below (less than a standard/value),preposition,a1,nan,కింద / తక్కువ,kiṁda / takkuva
114,below (less than),preposition,a1,nan,కంటే తక్కువ / కింద,kaṁṭē takkuva / kiṁda
115,below (spatially),preposition,a1,nan,కింద,kiṁda
116,better (in health),adjective,a1,nan,బాగుంది / నయం,bāguṁdi / nayaṁ
117,between,preposition,a1,nan,మధ్య,madhya
118,big,adjective,a1,nan,పెద్ద / గొప్ప / బృహత్,pedda / goppa / br̥hat
119,bike (bicycle),noun,a1,nan,సైకిల్,saikil
120,bill (bird's beak),noun,a1,nan,ముక్కు,mukku
121,bill (invoice),noun,a1,nan,బిల్లు / రసీదు / పట్టీ,billu / rasīdu / paṭṭī
122,bird (common),noun,a1,nan,పిట్ట,piṭṭa
123,"bird (general, formal)",noun,a1,nan,పక్షి,pakṣi
124,birthday,noun,a1,nan,పుట్టినరోజు / జన్మదినం,puṭṭinarōju / janmadinaṁ
125,black (color),noun,a1,nan,నలుపు / కృష్ణ,nalupu / kr̥ṣṇa
126,blog,noun,a1,nan,బ్లాగు,blāgu
127,blonde,adjective,a1,nan,లేత రంగు జుట్టు గల / బ్లౌండ్,lēta raṁgu juṭṭu gala / blauṁḍ
128,blue,noun,a1,nan,నీలం / నీలము,nīlaṁ / nīlamu
129,boat,noun,a1,nan,పడవ / నావ / ఓడ,paḍava / nāva / ōḍa
130,body,noun,a1,nan,శరీరం / దేహం / కాయం,śarīraṁ / dēhaṁ / kāyaṁ
131,book,noun,a1,nan,పుస్తకం / గ్రంథం / కితాబు,pustakaṁ / graṁthaṁ / kitābu
132,boot,noun,a1,nan,బూటు,būṭu
133,bored,adjective,a1,nan,విసుగు చెందిన / విసుగుగా ఉన్న,visugu ceṁdina / visugugā unna
134,"boring (tedious, dull)",adjective,a1,nan,విసుగు పుట్టించే / నీరసమైన / బోరింగ్,visugu puṭṭiṁcē / nīrasamaina / bōriṁg
135,both (modifying a noun),pronoun,a1,nan,రెండూ / ఇద్దరూ,reṁḍū / iddarū
136,both (people),determiner,a1,nan,ఇద్దరు,iddaru
137,bottle,noun,a1,nan,సీసా / బాటిల్,sīsā / bāṭil
138,box,noun,a1,nan,పెట్టె / బాక్స్,peṭṭe / bāks
139,boy,noun,a1,nan,అబ్బాయి / బాలుడు,abbāyi / bāluḍu
140,"boyfriend (casual, direct usage)",noun,a1,nan,బాయ్‌ఫ్రెండ్,bāyphreṁḍ
141,boyfriend (general),noun,a1,nan,బాయ్‌ఫ్రెండ్ / ప్రియుడు,bāyphreṁḍ / priyuḍu
142,bread,noun,a1,nan,రొట్టె / బ్రెడ్,roṭṭe / breḍ
143,bread (flatbread/roti),noun,a1,nan,రొట్టె,roṭṭe
144,"bread (general flatbread, roti)",noun,a1,nan,రొట్టె,roṭṭe
145,bread (Western style),noun,a1,nan,బ్రెడ్,breḍ
146,break (rest period),noun,a1,nan,విరామం / బ్రేక్,virāmaṁ / brēk
147,breakfast (common),noun,a1,nan,అల్పాహారం / బ్రేక్‌ఫాస్ట్,alpāhāraṁ / brēkphāsṭ
148,breakfast (formal),noun,a1,nan,అల్పాహారం,alpāhāraṁ
149,brother (elder),noun,a1,nan,అన్నయ్య / అన్న,annayya / anna
150,brother (younger),noun,a1,nan,తమ్ముడు / అనుజుడు,tammuḍu / anujuḍu
151,brown,noun,a1,nan,గోధుమ రంగు / కాఫీ రంగు / కపిల వర్ణం,gōdhuma raṁgu / kāphī raṁgu / kapila varṇaṁ
152,brown (adjective),noun,a1,nan,గోధుమ రంగు / కాఫీ రంగు / కపిల వర్ణం,gōdhuma raṁgu / kāphī raṁgu / kapila varṇaṁ
153,building,noun,a1,nan,భవనం / కట్టడం / భవంతి,bhavanaṁ / kaṭṭaḍaṁ / bhavaṁti
154,bus,noun,a1,nan,బస్సు,bassu
155,"business (commercial enterprise, trade)",noun,a1,nan,వ్యాపారం / వర్తకం / బిజినెస్,vyāpāraṁ / vartakaṁ / bijines
156,"busy (crowded, bustling)",adjective,a1,nan,రద్దీగా ఉన్న / జనసమ్మర్దంగా ఉన్న,raddīgā unna / janasammardaṁgā unna
157,busy (telephone line engaged),adjective,a1,nan,బిజీ / లైన్ బిజీ,bijī / lain bijī
158,by (deadline),preposition,a1,nan,లోపు / కల్లా,lōpu / kallā
159,by (means of),preposition,a1,nan,ద్వారా / చేత,dvārā / cēta
160,"by (near, beside)",preposition,a1,nan,పక్కన / దగ్గర / సమీపంలో,pakkana / daggara / samīpaṁlō
161,bye (casual),noun,a1,nan,బై / వెళ్ళొస్తాను,bai / veḷḷostānu
162,bye (polite parting),exclamation,a1,nan,నమస్కారం / సెలవు / వెళ్ళొస్తాను,namaskāraṁ / selavu / veḷḷostānu
163,cafe,noun,a1,nan,కేఫ్ / కాఫీ షాప్,kēph / kāphī ṣāp
164,cake,noun,a1,nan,కేక్,kēk
165,"call (shout, cry)",noun,a1,nan,కేక / అరుపు / పిలుపు,kēka / arupu / pilupu
166,call (telephone),noun,a1,nan,కాల్ / ఫోన్ కాల్,kāl / phōn kāl
167,camera,noun,a1,nan,కెమెరా / ఛాయాగ్రహణి,kemerā / chāyāgrahaṇi
168,can (ability),modal verb,a1,nan,చేయగలుగు,cēyagalugu
169,"can (permission, request)",modal verb,a1,nan,అనుమతించు,anumatiṁcu
170,"cannot (be allowed to , prohibited)",modal verb,a1,nan,అనుమతించకు / వద్దు,anumatiṁcaku / vaddu
171,"capital (chief, of the main city)",adjective,a1,nan,ప్రధాన / ముఖ్య,pradhāna / mukhya
172,capital (city),noun,a1,nan,రాజధాని,rājadhāni
173,capital (financial assets),noun,a1,nan,మూలధనం / పెట్టుబడి,mūladhanaṁ / peṭṭubaḍi
174,capital (letter),adjective,a1,nan,పెద్ద / క్యాపిటల్,pedda / kyāpiṭal
175,car,noun,a1,nan,కారు,kāru
176,"card (greeting, post)",noun,a1,nan,కార్డు / శుభాకాంక్షల కార్డు,kārḍu / śubhākāṁkṣala kārḍu
177,"card (ID, Bank)",noun,a1,nan,కార్డు / గుర్తింపు కార్డు,kārḍu / gurtiṁpu kārḍu
178,career,noun,a1,nan,కెరీర్ / వృత్తి / ఉద్యోగం,kerīr / vr̥tti / udyōgaṁ
179,carrot,noun,a1,nan,క్యారెట్,kyāreṭ
180,cat,noun,a1,nan,పిల్లి,pilli
181,cd,noun,a1,nan,సీడీ,sīḍī
182,cent (unit of land area),noun,a1,nan,సెంట్,seṁṭ
183,"centre (institution, hub)",noun,a1,nan,కేంద్రం / సెంటర్,kēṁdraṁ / seṁṭar
184,century (100 years),noun,a1,nan,శతాబ్దం,śatābdaṁ
185,century (cricket score),noun,a1,nan,సెంచరీ,seṁcarī
186,change (alteration),noun,a1,nan,మార్పు / పరివర్తన,mārpu / parivartana
187,change (money remainder),noun,a1,nan,చిల్లర,cillara
188,chart (map for navigation),noun,a1,nan,చార్ట్ / పటం,cārṭ / paṭaṁ
189,cheap (low cost),adjective,a1,nan,చవకైన / తక్కువ ధర గల,cavakaina / takkuva dhara gala
190,cheap (low quality),adjective,a1,nan,నాసిరకం / తక్కువ నాణ్యత గల,nāsirakaṁ / takkuva nāṇyata gala
191,"cheap (stingy, miserly)",adjective,a1,nan,పిసినారి / లోభి,pisināri / lōbhi
192,cheese,noun,a1,nan,చీజ్,cīj
193,chicken (animal),noun,a1,nan,కోడి,kōḍi
194,chicken (meat),noun,a1,nan,చికెన్ / కోడి మాంసం,ciken / kōḍi māṁsaṁ
195,chocolate,noun,a1,nan,చాక్లెట్,cākleṭ
196,city,noun,a1,nan,నగరం / పట్టణం,nagaraṁ / paṭṭaṇaṁ
197,class (category/type),noun,a1,nan,వర్గం / రకం,vargaṁ / rakaṁ
198,class (grade level),noun,a1,nan,తరగతి / క్లాస్,taragati / klās
199,"class (lesson, session)",noun,a1,nan,క్లాస్ / పాఠం,klās / pāṭhaṁ
200,class (social stratum),noun,a1,nan,వర్గం / శ్రేణి,vargaṁ / śrēṇi
201,classroom,noun,a1,nan,తరగతి గది / క్లాస్‌రూమ్,taragati gadi / klāsrūm
202,clock (wall or desk timepiece),noun,a1,nan,గడియారం / క్లాక్,gaḍiyāraṁ / klāk
203,"clothes (garments, apparel)",noun,a1,nan,బట్టలు / దుస్తులు / వస్త్రాలు,baṭṭalu / dustulu / vastrālu
204,club (organization),noun,a1,nan,క్లబ్ / సంఘం,klab / saṁghaṁ
205,club (venue),noun,a1,nan,క్లబ్,klab
206,coffee,noun,a1,nan,కాఫీ,kāphī
207,"cold (cool, refreshing)",adjective,a1,nan,చల్లని / శీతలమైన,callani / śītalamaina
208,cold (illness),noun,a1,nan,జలుబు / పడిశం,jalubu / paḍiśaṁ
209,cold (low temperature),noun,a1,nan,చలి / శీతలం,cali / śītalaṁ
210,"cold (temperature, unpleasant)",adjective,a1,nan,చల్లని / శీతలమైన,callani / śītalamaina
211,college,noun,a1,nan,కాలేజీ / కళాశాల,kālējī / kaḷāśāla
212,colour,noun,a1,nan,రంగు / వర్ణం,raṁgu / varṇaṁ
213,"common (general, frequent)",adjective,a1,nan,సాధారణ / సామాన్య / మామూలు,sādhāraṇa / sāmānya / māmūlu
214,"common (shared, joint)",adjective,a1,nan,ఉమ్మడి / సామాన్య,ummaḍi / sāmānya
215,company (business entity),noun,a1,nan,కంపెనీ / సంస్థ,kaṁpenī / saṁstha
216,"company (companionship, guests)",noun,a1,nan,సాంగత్యం / తోడు,sāṁgatyaṁ / tōḍu
217,"complete (total, entire)",adjective,a1,nan,పూర్తి / మొత్తం / సంపూర్ణ,pūrti / mottaṁ / saṁpūrṇa
218,computer,noun,a1,nan,కంప్యూటర్,kaṁpyūṭar
219,concert,noun,a1,nan,కాన్సర్ట్ / కచేరీ / సంగీత కచేరీ,kānsarṭ / kacērī / saṁgīta kacērī
220,conversation (casual chat),noun,a1,nan,సంభాషణ / ముచ్చట్లు / మాటలు,saṁbhāṣaṇa / muccaṭlu / māṭalu
221,cooking,noun,a1,nan,వంట / పాకశాస్త్రం,vaṁṭa / pākaśāstraṁ
222,cool (moderately cold),adjective,a1,nan,చల్లని / శీతలమైన,callani / śītalamaina
223,correct,adjective,a1,nan,సరైన / ఖచ్చితమైన / సక్రమమైన,saraina / khaccitamaina / sakramamaina
224,"cost (expenditure, expense)",noun,a1,nan,ఖర్చు / ధర / వ్యయం,kharcu / dhara / vyayaṁ
225,"cost (price, monetary value)",noun,a1,nan,ధర / ఖరీదు / వెల / మూల్యం,dhara / kharīdu / vela / mūlyaṁ
226,could (past ability),modal verb,a1,nan,గలిగె / సాధ్యమయ్యె,galige / sādhyamayye
227,could (polite request),modal verb,a1,nan,దయచేసి / గలరా,dayacēsi / galarā
228,could (possibility),modal verb,a1,nan,వచ్చు / కావచ్చు,vaccu / kāvaccu
229,country (nation),noun,a1,nan,దేశం / రాష్ట్రం,dēśaṁ / rāṣṭraṁ
230,country (rural area),noun,a1,nan,పల్లెటూరు / గ్రామీణ ప్రాంతం / పల్లె,palleṭūru / grāmīṇa prāṁtaṁ / palle
231,course (meal),noun,a1,nan,వంటకం / భాగం,vaṁṭakaṁ / bhāgaṁ
232,course (of study),noun,a1,nan,కోర్సు / పాఠ్య ప్రణాళిక / శిక్షణా కార్యక్రమం,kōrsu / pāṭhya praṇāḷika / śikṣaṇā kāryakramaṁ
233,"cousin (female, parallel cousin)",noun,a1,nan,అక్క / చెల్లి / కజిన్,akka / celli / kajin
234,"cousin (male, parallel cousin)",noun,a1,nan,అన్నయ్య / తమ్ముడు / కజిన్,annayya / tammuḍu / kajin
235,cow,noun,a1,nan,ఆవు / గోవు,āvu / gōvu
236,cream (lotion or ointment),noun,a1,nan,క్రీమ్ / లేపనం / మందు,krīm / lēpanaṁ / maṁdu
237,culture,noun,a1,nan,సంస్కృతి / ఆచారం,saṁskr̥ti / ācāraṁ
238,cup,noun,a1,nan,కప్పు / గిన్నె / పాత్ర,kappu / ginne / pātra
239,cup (loanword),noun,a1,nan,కప్పు,kappu
240,customer,noun,a1,nan,కస్టమర్ / వినియోగదారుడు / కొనుగోలుదారుడు,kasṭamar / viniyōgadāruḍu / konugōludāruḍu
241,cycle (vehicle),noun,a1,nan,సైకిల్ / ద్విచక్ర వాహనం,saikil / dvicakra vāhanaṁ
242,dad,noun,a1,nan,నాన్న / తండ్రి,nānna / taṁḍri
243,dad (common spoken),noun,a1,nan,నాన్న,nānna
244,dancer (female),noun,a1,nan,నర్తకి / నాట్యకారిణి / డ్యాన్సర్,nartaki / nāṭyakāriṇi / ḍyānsar
245,dancer (male),noun,a1,nan,నర్తకుడు / నాట్యకారుడు / డ్యాన్సర్,nartakuḍu / nāṭyakāruḍu / ḍyānsar
246,dancing (general act),noun,a1,nan,డ్యాన్స్ / నాట్యం / నృత్యం,ḍyāns / nāṭyaṁ / nr̥tyaṁ
247,"dancing (performance, classical)",noun,a1,nan,నాట్యం / నృత్యం,nāṭyaṁ / nr̥tyaṁ
248,dangerous,adjective,a1,nan,ప్రమాదకరమైన / భయంకరమైన / డేంజరస్,pramādakaramaina / bhayaṁkaramaina / ḍēṁjaras
249,dark (deep in color),adjective,a1,nan,ముదురు / నలుపు / గాఢమైన,muduru / nalupu / gāḍhamaina
250,date (calendar time),noun,a1,nan,తేదీ / దినాంకం,tēdī / dināṁkaṁ
251,date (fruit),noun,a1,nan,ఖర్జూరం,kharjūraṁ
252,daughter,noun,a1,nan,కూతురు / కుమార్తె / పుత్రిక,kūturu / kumārte / putrika
253,day (24-hour period),noun,a1,nan,రోజు / దినం,rōju / dinaṁ
254,"day (daytime, light period)",noun,a1,nan,పగలు / దివసం,pagalu / divasaṁ
255,"dear (addressing someone in speech, writing)",adjective,a1,nan,ప్రియమైన / ఆత్మీయ,priyamaina / ātmīya
256,dear (beloved),adjective,a1,nan,ప్రియమైన / ఇష్టమైన / ఆత్మీయమైన,priyamaina / iṣṭamaina / ātmīyamaina
257,december,noun,a1,nan,డిసెంబర్,ḍiseṁbar
258,decision (common choice),noun,a1,nan,నిర్ణయం / తీర్మానం,nirṇayaṁ / tīrmānaṁ
259,description,noun,a1,nan,వివరణ / వర్ణన,vivaraṇa / varṇana
260,"design (pattern, style)",noun,a1,nan,డిజైన్ / నమూనా / శైలి,ḍijain / namūnā / śaili
261,"design (plan, structure)",noun,a1,nan,రూపకల్పన / ప్రణాళిక / డిజైన్,rūpakalpana / praṇāḷika / ḍijain
262,desk,noun,a1,nan,డెస్క్ / బల్ల,ḍesk / balla
263,detail,noun,a1,nan,వివరాలు / అంశం,vivarālu / aṁśaṁ
264,"dialogue (script, film)",noun,a1,nan,సంభాషణ / డైలాగ్,saṁbhāṣaṇa / ḍailāg
265,dictionary,noun,a1,nan,నిఘంటువు / డిక్షనరీ,nighaṁṭuvu / ḍikṣanarī
266,diet (restrictive eating plan),noun,a1,nan,ఆహార నియమాలు / డైట్,āhāra niyamālu / ḍaiṭ
267,difference,noun,a1,nan,తేడా / భేదం / వ్యత్యాసం,tēḍā / bhēdaṁ / vyatyāsaṁ
268,dinner,noun,a1,nan,రాత్రి భోజనం / డిన్నర్,rātri bhōjanaṁ / ḍinnar
269,"dish (plate, container)",noun,a1,nan,పళ్ళెం / ప్లేట్,paḷḷeṁ / plēṭ
270,dish (prepared food),noun,a1,nan,వంటకం / కూర / డిష్,vaṁṭakaṁ / kūra / ḍiṣ
271,dog,noun,a1,nan,కుక్క / శునకం,kukka / śunakaṁ
272,dollar,noun,a1,nan,డాలర్,ḍālar
273,door,noun,a1,nan,తలుపు / ద్వారం,talupu / dvāraṁ
274,down,preposition,a1,nan,కింద / క్రింద,kiṁda / kriṁda
275,"down (emotionally, sad)",adverb,a1,nan,నిరాశగా / బాధగా / దిగులుగా,nirāśagā / bādhagā / digulugā
276,downstairs (location),adverb,a1,nan,కిందకు / కింది అంతస్తుకు,kiṁdaku / kiṁdi aṁtastuku
277,dress (clothing),noun,a1,nan,దుస్తులు / వస్త్రం / బట్టలు,dustulu / vastraṁ / baṭṭalu
278,"dress (clothing, attire)",noun,a1,nan,దుస్తులు / వస్త్రధారణ / బట్టలు,dustulu / vastradhāraṇa / baṭṭalu
