id,english_word,word_class,level,verb_transitivity,kannada_translation,transliteration
12,calm,noun,b1,N/A,ಶಾಂತಿ / ನೆಮ್ಮದಿ / ಸಮಾಧಾನ / ಪ್ರಶಾಂತತೆ,śāṁti / nemmadi / samādhāna / praśāṁtate
13,"to calm (someone, something)",verb,b1,transitive,ಶಾಂತಗೊಳಿಸು / ಸಮಾಧಾನ ಮಾಡು / ಸಮಾಧಾನ ಪಡಿಸು,śāṁtagoḷisu / samādhāna māḍu / samādhāna paḍisu
14,"to calm down (oneself, a situation)",verb,b1,intransitive,ಶಾಂತವಾಗು / ಸಮಾಧಾನಪಡು / ನೆಮ್ಮದಿಪಡು,śāṁtavāgu / samādhānapaḍu / nemmadipaḍu
15,camera,noun,a1,N/A,ಕ್ಯಾಮೆರಾ,kyāmerā
16,camp,noun,a2,N/A,ಶಿಬಿರ / ಕ್ಯಾಂಪ್ / ಪಾಳ್ಯ,śibira / kyāṁp / pāḷya
17,to camp,verb,a2,N/A,ಶಿಬಿರ ಹಾಕು / ಕ್ಯಾಂಪ್ ಮಾಡು / ಶಿಬಿರ ಮಾಡು,śibira hāku / kyāṁp māḍu / śibira māḍu
18,campaign (military),noun,b1,N/A,ದಂಡಯಾತ್ರೆ / ಯುದ್ಧಾಭಿಯಾನ / ಸಮರ,daṁḍayātre / yuddhābhiyāna / samara
19,"campaign (political, advertising)",noun,b1,N/A,ಪ್ರಚಾರ / ಅಭಿಯಾನ / ಪ್ರಚಾರಾಂದೋಲನ,pracāra / abhiyāna / pracārāṁdōlana
20,to campaign (politically),verb,b1,intransitive,ಮತ ಪ್ರಚಾರ ಮಾಡು / ಪ್ರಚಾರ ಮಾಡು,mata pracāra māḍu / pracāra māḍu
21,to campaign (for a cause),verb,b1,intransitive,ಅಭಿಯಾನ ಮಾಡು / ಹೋರಾಟ ಮಾಡು / ಪ್ರಚಾರ ಮಾಡು,abhiyāna māḍu / hōrāṭa māḍu / pracāra māḍu
22,camping,noun,a2,N/A,ಕ್ಯಾಂಪಿಂಗ್ / ಶಿಬಿರ ವಾಸ,kyāṁpiṁg / śibira vāsa
23,campus,noun,b1,N/A,ಕ್ಯಾಂಪಸ್ / ಆವರಣ / ಪರಿಸರ,kyāṁpas / āvaraṇa / parisara
24,can (for rubbish),noun,a2,N/A,ಕಸದ ತೊಟ್ಟಿ / ಕಸದ ಬುಟ್ಟಿ,kasada toṭṭi / kasada buṭṭi
25,can (ability),modal verb,a1,N/A,ಸಾಧ್ಯವಾಗು,sādhyavāgu
26,"can (permission, request)",modal verb,a1,N/A,ಅನುಮತಿ ಕೊಡು / ಅವಕಾಶ ಕೊಡು,anumati koḍu / avakāśa koḍu
27,canal (anatomical channel),noun,b2,N/A,ನಾಳ / ಮಾರ್ಗ,nāḷa / mārga
28,to cancel,verb,b2,transitive,ರದ್ದು ಮಾಡು / ನಿಷೇಧಿಸು,raddu māḍu / niṣēdhisu
29,Cancer (zodiac sign),noun,b2,N/A,ಕರ್ಕಾಟಕ,karkāṭaka
30,candidate (examinee),noun,b1,N/A,ಪರೀಕ್ಷಾರ್ಥಿ / ಅಭ್ಯರ್ಥಿ,parīkṣārthi / abhyarthi
31,candle,noun,b2,N/A,ಮೇಣದ ಬತ್ತಿ,mēṇada batti
32,"cannot (be allowed to , prohibited)",modal verb,a1,N/A,ಅನುಮತಿ ಇಲ್ಲ / ನಿಷಿದ್ಧ,anumati illa / niṣiddha
33,"canvas (for painting, art)",noun,c1,N/A,ಕ್ಯಾನ್ವಾಸ್ / ಚಿತ್ರಪಟ,kyānvās / citrapaṭa
34,"canvas (metaphorical framework, scope)",noun,c1,N/A,ವ್ಯಾಪ್ತಿ / ಚೌಕಟ್ಟು / ಕ್ಷೇತ್ರ,vyāpti / caukaṭṭu / kṣētra
35,cap (headwear),noun,b1,N/A,ಟೋಪಿ / ಕ್ಯಾಪ್,ṭōpi / kyāp
36,cap (lid for a container),noun,b1,N/A,ಮುಚ್ಚಳ / ಬಾಯಿ ಮುಚ್ಚಳ,muccaḷa / bāyi muccaḷa
37,capability (strategic resource or function),noun,c1,N/A,ಸಾಮರ್ಥ್ಯ / ಶಕ್ತಿ / ಸಾಧಿಸುವಿಕೆ,sāmarthya / śakti / sādhisuvike
38,capable,adjective,b2,N/A,ಸಮರ್ಥ / ಶಕ್ತ / ಸಾಮರ್ಥ್ಯವುಳ್ಳ,samartha / śakta / sāmarthyavuḷḷa
39,"capacity (role, function)",noun,b2,N/A,ಪಾತ್ರ / ಸ್ಥಾನ / ಹೊಣೆಗಾರಿಕೆ,pātra / sthāna / hoṇegārike
40,"capital (chief, of the main city)",adjective,a1,N/A,ರಾಜಧಾನಿಯ / ಮುಖ್ಯ / ಪ್ರಧಾನ,rājadhāniya / mukhya / pradhāna
41,capital (letter),adjective,a1,N/A,ದೊಡ್ಡ / ಕ್ಯಾಪಿಟಲ್,doḍḍa / kyāpiṭal
42,capital (city),noun,a1,N/A,ರಾಜಧಾನಿ / ರಾಜ್ಯಧಾನಿ,rājadhāni / rājyadhāni
43,capital (financial assets),noun,a1,N/A,ಬಂಡವಾಳ / ಮೂಲಧನ,baṁḍavāḷa / mūladhana
44,capitalism,noun,c1,N/A,ಬಂಡವಾಳಶಾಹಿತ್ವ / ಬಂಡವಾಳಶಾಹಿ ಪದ್ಧತಿ,baṁḍavāḷaśāhitva / baṁḍavāḷaśāhi paddhati
45,capitalist,adjective,c1,N/A,ಬಂಡವಾಳಶಾಹಿ,baṁḍavāḷaśāhi
46,captain (sports team leader),noun,b1,N/A,ನಾಯಕ / ಕ್ಯಾಪ್ಟನ್,nāyaka / kyāpṭan
47,captain (female sports team leader),noun,b1,N/A,ನಾಯಕಿ / ಕ್ಯಾಪ್ಟನ್,nāyaki / kyāpṭan
48,captain (ship or military rank),noun,b1,N/A,ಕ್ಯಾಪ್ಟನ್ / ಸೇನಾನಿ,kyāpṭan / sēnāni
49,capture (seizure or arrest),noun,b2,N/A,ಸೆರೆಹಿಡಿಯುವಿಕೆ / ಬಂಧನ / ವಶಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ,serehiḍiyuvike / baṁdhana / vaśapaḍisikoḷḷuvike
50,capture (recording or depiction),noun,b2,N/A,ದಾಖಲೆ / ದಾಖಲೀಕರಣ / ಚಿತ್ರೀಕರಣ,dākhale / dākhalīkaraṇa / citrīkaraṇa
51,to capture (person or location),verb,b2,transitive,ಸೆರೆಹಿಡಿ / ವಶಪಡಿಸಿಕೊ / ಬಂಧಿಸು / ಹಿಡಿ,serehiḍi / vaśapaḍisiko / baṁdhisu / hiḍi
52,to capture (image or data),verb,b2,transitive,ದಾಖಲಿಸು / ಸೆರೆಹಿಡಿ / ಚಿತ್ರೀಕರಿಸು / ಸಂಗ್ರಹಿಸು,dākhalisu / serehiḍi / citrīkarisu / saṁgrahisu
53,car,noun,a1,N/A,ಕಾರು / ವಾಹನ / ಮೋಟಾರು ಗಾಡಿ,kāru / vāhana / mōṭāru gāḍi
54,carbon,noun,b2,N/A,ಇಂಗಾಲ,iṁgāla
55,"card (ID, Bank)",noun,a1,N/A,ಕಾರ್ಡ್ / ಗುರುತು ಚೀಟಿ,kārḍ / gurutu cīṭi
56,"card (greeting, post)",noun,a1,N/A,ಕಾರ್ಡ್,kārḍ
57,greeting card,noun,a1,N/A,ಶುಭಾಶಯ ಪತ್ರ / ಗ್ರೀಟಿಂಗ್ ಕಾರ್ಡ್,śubhāśaya patra / grīṭiṁg kārḍ
58,care (caution),noun,a2,N/A,ಜಾಗರೂಕತೆ / ಎಚ್ಚರಿಕೆ / ಎಚ್ಚರ,jāgarūkate / eccarike / eccara
59,care (upkeep),noun,a2,N/A,ಪಾಲನೆ / ಆರೈಕೆ / ನಿರ್ವಹಣೆ / ಪೋಷಣೆ,pālane / āraike / nirvahaṇe / pōṣaṇe
60,"to care (about something, someone)",verb,a2,intransitive,ಕಾಳಜಿ ಮಾಡು / ಗಮನಿಸು / ಚಿಂತಿಸು,kāḷaji māḍu / gamanisu / ciṁtisu
61,"to care (for, to look after)",verb,a2,transitive,ನೋಡಿಕೋ / ಆರೈಕೆ ಮಾಡು / ಪಾಲಿಸು / ಪೋಷಿಸು,nōḍikō / āraike māḍu / pālisu / pōṣisu
62,career,noun,a1,N/A,ವೃತ್ತಿ / ಉದ್ಯೋಗ / ಕೆಲಸ,vr̥tti / udyōga / kelasa
63,"careful (diligent, detailed)",adjective,a2,N/A,ಜಾಗರೂಕ / ಎಚ್ಚರಿಕೆಯ / ಸೂಕ್ಷ್ಮ / ನಿಖರ,jāgarūka / eccarikeya / sūkṣma / nikhara
64,carefully (meticulously),adverb,a2,N/A,ಜಾಗರೂಕತೆಯಿಂದ / ಎಚ್ಚರಿಕೆಯಿಂದ / ಸೂಕ್ಷ್ಮವಾಗಿ / ನಿಖರವಾಗಿ,jāgarūkateyiṁda / eccarikeyiṁda / sūkṣmavāgi / nikharavāgi
65,"careless (indifferent, apathetic)",adjective,b1,N/A,ನಿರ್ಲಕ್ಷ್ಯದ / ಅಸಡ್ಡೆಯ / ಬೇಜವಾಬ್ದಾರಿಯ,nirlakṣyada / asaḍḍeya / bējavābdāriya
66,cargo,noun,c1,N/A,ಸರಕು / ಸಾಮಾನು / ಹೊರೆ,saraku / sāmānu / hore
67,carpet,noun,a2,N/A,ಕಾರ್ಪೆಟ್ / ರತ್ನಗಂಬಳಿ / ನೆಲಹಾಸು,kārpeṭ / ratnagaṁbaḷi / nelahāsu
68,carriage (bearing or posture),noun,c1,N/A,ನಿಲುವು / ಭಂಗಿ / ನಡೆ,niluvu / bhaṁgi / naḍe
69,carriage (train coach),noun,c1,N/A,ಬೋಗಿ / ರೈಲು ಬೋಗಿ / ಡಬ್ಬಿ,bōgi / railu bōgi / ḍabbi
70,carrot,noun,a1,N/A,ಗಜ್ಜರಿ,gajjari
71,to carry (on the head),verb,a1,transitive,ಹೊರು / ಹೊತ್ತುಕೊಂಡು ಹೋಗು,horu / hottukoṁḍu hōgu
72,to carry (a child),verb,a1,transitive,ಹೊತ್ತುಕೊ / ಎತ್ತಿಕೊ / ಕೊಂಡೊಯ್ಯಿ,hottuko / ettiko / koṁḍoyyi
73,cartoon (satirical drawing),noun,b1,N/A,ವ್ಯಂಗ್ಯಚಿತ್ರ / ಕಾರ್ಟೂನ್,vyaṁgyacitra / kārṭūn
74,"to carve (to sculpt, engrave)",verb,c1,transitive,ಕೆತ್ತು / ಕೊರೆ / ಶಿಲ್ಪ ಕೆತ್ತು,kettu / kore / śilpa kettu
75,to carve (to slice cooked meat),verb,c1,transitive,ಕತ್ತರಿಸು / ಸೀಳು / ತುಂಡು ಮಾಡು,kattarisu / sīḷu / tuṁḍu māḍu
76,case (situation or instance),noun,a2,N/A,ಸಂದರ್ಭ / ಪರಿಸ್ಥಿತಿ / ಪ್ರಸಂಗ,saṁdarbha / paristhiti / prasaṁga
77,case (legal matter),noun,a2,N/A,ಮೊಕದ್ದಮೆ / ಕೇಸು / ವ್ಯಾಜ್ಯ,mokaddame / kēsu / vyājya
78,case (container or covering),noun,a2,N/A,ಪೆಟ್ಟಿಗೆ / ಕವಚ / ಡಬ್ಬಿ / ಆವರಣ,peṭṭige / kavaca / ḍabbi / āvaraṇa
79,"cash (loanword, commerce)",noun,a2,N/A,ನಗದು / ಕ್ಯಾಶ್ / ಹಣ,nagadu / kyāś / haṇa
80,casino,noun,c1,N/A,ಜೂಜಾಟದ ಮನೆ / ಕ್ಯಾಸಿನೋ,jūjāṭada mane / kyāsinō
81,cast (medical),noun,b2,N/A,ಪ್ಲಾಸ್ಟರ್,plāsṭar
82,cast (actors),noun,b2,N/A,ಪಾತ್ರವರ್ಗ / ನಟವರ್ಗ / ಕಲಾವಿದರು,pātravarga / naṭavarga / kalāvidaru
83,to cast (a fishing line or net),verb,b2,transitive,ಬೀಸು / ಎಸೆ / ಬಲೆ ಬೀಸು,bīsu / ese / bale bīsu
84,to cast (a shadow or light),verb,b2,transitive,ಚೆಲ್ಲು / ಹರಡು / ಬೀಳು,cellu / haraḍu / bīḷu
85,to cast (molten metal or a sculpture),verb,b2,transitive,ಎರಕ ಹೊಯ್ / ಎರಕ ಹಾಕು / ಅಚ್ಚು ಹಾಕು,eraka hoy / eraka hāku / accu hāku
86,to cast (an actor in a role),verb,b2,transitive,ಆಯ್ಕೆ ಮಾಡು / ಪಾತ್ರಕ್ಕೆ ಆಯ್ಕೆ ಮಾಡು / ನೇಮಿಸು,āyke māḍu / pātrakke āyke māḍu / nēmisu
87,to cast (a vote),verb,b2,transitive,ಮತ ಹಾಕು / ಮತ ಚಲಾಯಿಸು,mata hāku / mata calāyisu
88,castle (chess piece),noun,b1,N/A,ರುಕ್ / ಕೋಟೆ,ruk / kōṭe
89,"casual (informal, relaxed)",adjective,b2,N/A,ಅನೌಪಚಾರಿಕ / ಸಾಧಾರಣ / ಸರಳ,anaupacārika / sādhāraṇa / saraḷa
90,"casual (accidental, chance)",adjective,b2,N/A,ಆಕಸ್ಮಿಕ / ಅನಿರೀಕ್ಷಿತ / ಯಾದೃಚ್ಛಿಕ,ākasmika / anirīkṣita / yādr̥cchika
91,"casual (temporary, non-permanent)",adjective,b2,N/A,ತಾತ್ಕಾಲಿಕ / ಅಲ್ಪಾವಧಿ / ಹಂಗಾಮಿ,tātkālika / alpāvadhi / haṁgāmi
92,casualty (person injured or killed),noun,c1,N/A,ಸಾವು-ನೋವು / ಬಲಿಯಾದವರು / ಗಾಯಾಳು / ಮೃತರು,sāvu-nōvu / baliyādavaru / gāyāḷu / mr̥taru
93,casualty (loss or damage),noun,c1,N/A,ನಷ್ಟ / ಹಾನಿ / ಹಾನಿಯಾದದ್ದು,naṣṭa / hāni / hāniyādaddu
94,cat,noun,a1,N/A,ಬೆಕ್ಕು,bekku
95,to catalogue,verb,c1,transitive,ಪಟ್ಟಿಮಾಡು / ವರ್ಗೀಕರಿಸು / ದಾಖಲಿಸು,paṭṭimāḍu / vargīkarisu / dākhalisu
96,"catch (fastener, latch)",noun,b2,N/A,ಚಿಲಕ / ಕೊಂಡಿ,cilaka / koṁḍi
97,"catch (hidden problem, stipulation)",noun,b2,N/A,ತೊಂದರೆ / ಅಡಚಣೆ / ಷರತ್ತು,toṁdare / aḍacaṇe / ṣarattu
98,to catch (an illness),verb,a2,transitive,ಸೋಂಕು ತಗುಲು / ರೋಗ ತಗುಲು / ಬೇನೆ ಬರು,sōṁku tagulu / rōga tagulu / bēne baru
99,to catch (transportation),verb,a2,transitive,ಹಿಡಿ / ಹತ್ತು / ತಲುಪು,hiḍi / hattu / talupu
100,to check (to verify or examine),verb,a1,transitive,ಪರಿಶೀಲಿಸು / ಪರೀಕ್ಷಿಸು / ದೃಢೀಕರಿಸು,pariśīlisu / parīkṣisu / dr̥ḍhīkarisu
101,to check (to tick or mark an item),verb,a1,transitive,ಗುರುತು ಮಾಡು / ಗುರುತಿಸು,gurutu māḍu / gurutisu
102,to check (to control or limit),verb,a2,transitive,ನಿಯಂತ್ರಿಸು / ಹತೋಟಿಗೆ ತರು / ತಡೆ,niyaṁtrisu / hatōṭige taru / taḍe
103,cheek (impudence),noun,b2,N/A,ಧೃಷ್ಟತೆ / ಅಹಂಕಾರ / ಉದ್ಧಟತನ,dhr̥ṣṭate / ahaṁkāra / uddhaṭatana
104,cheer (shout of approval),noun,b2,N/A,ಉತ್ಸಾಹ ಧ್ವನಿ / ಜಯಘೋಷ / ಹರ್ಷೋದ್ಗಾರ,utsāha dhvani / jayaghōṣa / harṣōdgāra
105,"cheer (good spirits, happiness)",noun,b2,N/A,ಸಂತೋಷ / ಹರ್ಷ / ಉಲ್ಲಾಸ,saṁtōṣa / harṣa / ullāsa
106,to cheer (to make happy; lift spirits),verb,b2,transitive,ಉಲ್ಲಾಸಗೊಳಿಸು / ಸಂತೋಷಪಡಿಸು / ಹರ್ಷಗೊಳಿಸು,ullāsagoḷisu / saṁtōṣapaḍisu / harṣagoḷisu
107,"cheerful (place, atmosphere)",adjective,b1,N/A,ಉಲ್ಲಾಸಕರ / ಹರ್ಷದಾಯಕ / ಸಂತೋಷಕರ,ullāsakara / harṣadāyaka / saṁtōṣakara
108,cheese,noun,a1,N/A,ಚೀಸ್,cīs
109,"chef (professional, head cook)",noun,a2,N/A,ಶೆಫ್ / ಪ್ರಧಾನ ಅಡುಗೆದಾರ / ಮುಖ್ಯ ಅಡುಗೆಯವರು,śeph / pradhāna aḍugedāra / mukhya aḍugeyavaru
110,chef,noun,a2,N/A,ಪ್ರಧಾನ ಅಡುಗೆದಾರ / ಮುಖ್ಯ ಅಡುಗೆಯವರು / ಶೆಫ್,pradhāna aḍugedāra / mukhya aḍugeyavaru / śeph
111,cook (general occupation),noun,a2,N/A,ಅಡುಗೆದಾರ / ಅಡುಗೆಯವರು / ಪಾಚಕ,aḍugedāra / aḍugeyavaru / pācaka
112,chemical,adjective,b1,N/A,ರಾಸಾಯನಿಕ,rāsāyanika
113,chemical,noun,b1,N/A,ರಾಸಾಯನಿಕ ವಸ್ತು / ರಾಸಾಯನಿಕ,rāsāyanika vastu / rāsāyanika
114,chemistry (science subject),noun,a2,N/A,ರಸಾಯನ ಶಾಸ್ತ್ರ,rasāyana śāstra
115,chemistry (relationship connection),noun,b1,N/A,ಪರಸ್ಪರ ಆಕರ್ಷಣೆ / ಹೊಂದಾಣಿಕೆ / ಬಾಂಧವ್ಯ,paraspara ākarṣaṇe / hoṁdāṇike / bāṁdhavya
116,chest (body part),noun,b1,N/A,ಎದೆ / ವಕ್ಷಸ್ಥಳ,ede / vakṣasthaḷa
117,chest (storage box),noun,b1,N/A,ಪೆಟ್ಟಿಗೆ / ಮಂಜೂಷ / ಸಂಪುಟ,peṭṭige / maṁjūṣa / saṁpuṭa
118,chicken (animal),noun,a1,N/A,ಕೋಳಿ,kōḷi
119,chicken (meat),noun,a1,N/A,ಕೋಳಿ ಮಾಂಸ,kōḷi māṁsa
120,"chief (main, principal)",adjective,b2,N/A,ಮುಖ್ಯ / ಪ್ರಧಾನ / ಪ್ರಮುಖ,mukhya / pradhāna / pramukha
121,chief (highest in rank),adjective,b2,N/A,ಪ್ರಧಾನ / ಮುಖ್ಯ / ಅಗ್ರಗಣ್ಯ,pradhāna / mukhya / agragaṇya
122,chief,noun,b2,N/A,ಮುಖ್ಯಸ್ಥ / ಪ್ರಮುಖ / ನಾಯಕ / ಅಧಿಪತಿ,mukhyastha / pramukha / nāyaka / adhipati
123,baby,noun,a1,N/A,ಮಗು / ಕೂಸು / ಕಂದ,magu / kūsu / kaṁda
124,childhood,noun,b1,N/A,ಬಾಲ್ಯ / ಬಾಲಾವಸ್ಥೆ,bālya / bālāvasthe
125,chip (fragment),noun,a2,N/A,ಚೂರು / ತುಂಡು / ಸೀಳು,cūru / tuṁḍu / sīḷu
126,"chip (food, snack)",noun,a2,N/A,ಚಿಪ್ಸ್,cips
127,chip (electronic component),noun,a2,N/A,ಚಿಪ್,cip
128,chocolate,noun,a1,N/A,ಚಾಕೊಲೇಟ್,cākolēṭ
129,choice,noun,a2,N/A,ಆಯ್ಕೆ / ಆಯ್ದುಕೊಳ್ಳುವಿಕೆ / ನಿರ್ಧಾರ,āyke / āydukoḷḷuvike / nirdhāra
130,choir (architectural section),noun,b2,N/A,ಗಾಯಕರ ಪ್ರದೇಶ / ಗಾಯನ ವಿಭಾಗ,gāyakara pradēśa / gāyana vibhāga
131,to choose,verb,a1,transitive,ಆರಿಸು / ಆಯ್ಕೆ ಮಾಡು / ಆಯ್ದುಕೊಳ್ಳು,ārisu / āyke māḍu / āydukoḷḷu
132,to chop (wood or large items),verb,b2,transitive,ಕಡಿಯು / ಸೀಳು / ಕೊಚ್ಚು,kaḍiyu / sīḷu / koccu
133,to chop (vegetables or food),verb,b2,transitive,ಹೆಚ್ಚು / ಕತ್ತರಿಸು / ತುಂಡು ಮಾಡು,heccu / kattarisu / tuṁḍu māḍu
134,chronic (illness or condition),adjective,c1,N/A,ದೀರ್ಘಕಾಲದ / ದೀರ್ಘಕಾಲಿಕ,dīrghakālada / dīrghakālika
135,"chronic (habitual, inveterate)",adjective,c1,N/A,ರೂಢಿಯಾದ / ತೀವ್ರವಾದ / ಚಿರಕಾಲದ / ನಿರಂತರ,rūḍhiyāda / tīvravāda / cirakālada / niraṁtara
136,chunk (piece of material),noun,c1,N/A,ದೊಡ್ಡ ತುಂಡು / ಬೃಹತ್ ತುಂಡು / ಗಂಟು,doḍḍa tuṁḍu / br̥hat tuṁḍu / gaṁṭu
137,"chunk (large amount, portion)",noun,c1,N/A,ಬಹುಪಾಲು / ದೊಡ್ಡ ಭಾಗ / ಸಿಂಹಪಾಲು,bahupālu / doḍḍa bhāga / siṁhapālu
138,church,noun,a2,N/A,ಚರ್ಚ್ / ಕ್ರೈಸ್ತಮಂದಿರ,carc / kraistamaṁdira
139,cigarette,noun,a2,N/A,ಸಿಗರೇಟ್,sigarēṭ
140,movie theatre,noun,a1,N/A,ಸಿನಿಮಾ ಮಂದಿರ / ಟಾಕೀಸ್ / ಚಿತ್ರಮಂದಿರ,sinimā maṁdira / ṭākīs / citramaṁdira
141,circle (social group),noun,a2,N/A,ವಲಯ / ಬಳಗ / ಗುಂಪು / ಸಮುದಾಯ,valaya / baḷaga / guṁpu / samudāya
142,to circle (move around),verb,a2,intransitive,ಸುತ್ತು / ಪರಿಭ್ರಮಿಸು / ಪ್ರದಕ್ಷಿಣೆ ಹಾಕು,suttu / paribhramisu / pradakṣiṇe hāku
143,to circle (draw a ring around),verb,a2,transitive,ವೃತ್ತ ಹಾಕು / ಸುತ್ತು ಹಾಕು / ಗುರುತಿಸು,vr̥tta hāku / suttu hāku / gurutisu
144,circuit (electrical),noun,b2,N/A,ವಿದ್ಯುನ್ಮಂಡಲ / ಸರ್ಕ್ಯೂಟ್,vidyunmaṁḍala / sarkyūṭ
145,"circuit (route, tour)",noun,b2,N/A,ಆವರ್ತ / ಸುತ್ತು / ಪ್ರವಾಸ,āvarta / suttu / pravāsa
146,to circulate (information or rumors),verb,c1,intransitive,ಹರಡು / ಪ್ರಚುರಪಡಿಸು / ಪ್ರಸಾರ ಮಾಡು,haraḍu / pracurapaḍisu / prasāra māḍu
147,"to circulate (physically, like blood or air)",verb,c1,intransitive,ಸಂಚರಿಸು / ಹರಿಯು / ಚಲಿಸು,saṁcarisu / hariyu / calisu
148,to circulate (money or currency),verb,c1,intransitive,ಚಲಾವಣೆಯಲ್ಲಿರು / ಚಲಾವಣೆಯಾಗು,calāvaṇeyalliru / calāvaṇeyāgu
149,"circulation (movement, flow)",noun,c1,N/A,ಸಂಚಾರ / ಪ್ರಸರಣೆ / ಹರಿವು / ಚಲನೆ,saṁcāra / prasaraṇe / harivu / calane
150,circulation (blood/fluid movement),noun,c1,N/A,ಪರಿಚಲನೆ / ಸಂಚಾರ,paricalane / saṁcāra
152,to cite (summon to court),verb,b2,transitive,ಕೋರ್ಟಿಗೆ ಕರೆಸು / ಸಮನ್ಸ್ ನೀಡು,kōrṭige karesu / samans nīḍu
153,citizen (national of a country),noun,b2,N/A,ನಾಗರಿಕ / ಪ್ರಜೆ,nāgarika / praje
171,clash (violent confrontation),noun,c1,N/A,ಸಂಘರ್ಷ / ಘರ್ಷಣೆ / ಕಾದಾಟ,saṁgharṣa / gharṣaṇe / kādāṭa
173,class (social stratum),noun,a1,N/A,ವರ್ಗ / ಶ್ರೇಣಿ,varga / śrēṇi
174,class (category/type),noun,a1,N/A,ವರ್ಗ / ವಿಧ / ಪ್ರಕಾರ,varga / vidha / prakāra
190,to clear (to pass an obstacle/hurdle),verb,b1,transitive,ದಾಟು / ನಿವಾರಿಸು,dāṭu / nivārisu
196,"clever (intelligent, skillful)",adjective,a2,N/A,ಬುದ್ಧಿವಂತ / ಚುರುಕು / ಜಾಣ,buddhivaṁta / curuku / jāṇa
200,"client (computing, software)",noun,b1,N/A,ಕ್ಲೈಂಟ್ / ಸೇವಾಕಾಂಕ್ಷಿ,klaiṁṭ / sēvākāṁkṣi
201,cliff,noun,b2,N/A,ಕಡಿದಾದ ಬಂಡೆ / ಪ್ರಪಾತ,kaḍidāda baṁḍe / prapāta
202,climate (atmosphere or environment),noun,b1,N/A,ಹವಾಗುಣ / ವಾತಾವರಣ,havāguṇa / vātāvaraṇa
203,"climate (mood, environment)",noun,b1,N/A,ವಾತಾವರಣ / ಪರಿಸ್ಥಿತಿ,vātāvaraṇa / paristhiti
204,climb (act of ascending),noun,b1,N/A,ಏರಿಕೆ / ಹತ್ತುವಿಕೆ / ಆರೋಹಣ,ērike / hattuvike / ārōhaṇa
205,climb (steep section of road),noun,b1,N/A,ಏರು / ಕಡಿದಾದ ಹಾದಿ,ēru / kaḍidāda hādi
206,to climb,verb,a1,transitive,ಏರು / ಹತ್ತು,ēru / hattu
207,to cling (to hold on tightly),verb,c1,intransitive,ಅಂಟಿಕೊ / ಬಿಗಿಯಾಗಿ ಹಿಡಿದುಕೊಳ್ಳು,aṁṭiko / bigiyāgi hiḍidukoḷḷu
208,to cling (to an idea or belief),verb,c1,intransitive,ಅಂಟಿಕೊ / ಪಟ್ಟು ಹಿಡಿ,aṁṭiko / paṭṭu hiḍi
209,clinic,noun,b2,N/A,ಕ್ಲಿನಿಕ್ / ಚಿಕಿತ್ಸಾಲಯ / ವೈದ್ಯಕೀಯ ಕೇಂದ್ರ,klinik / cikitsālaya / vaidyakīya kēṁdra
210,clinical (medical),adjective,c1,N/A,ವೈದ್ಯಕೀಯ,vaidyakīya
