id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
28,afternoon,noun,a1,N/A,பிற்பகல் / மாலை,piṟpakal / mālai
29,again (one more time),adverb,a1,N/A,மீண்டும் / மறுபடியும் / திரும்பவும்,mīṇṭum / maṟupaṭiyum / tirumpavum
30,ago,adverb,a1,N/A,முன் / முன்பு,muṉ / muṉpu
31,air (travel),noun,a1,N/A,விமானம் / வான்வழி,vimāṉam / vāṉvaḻi
32,airport,noun,a1,N/A,விமான நிலையம் / விமானத்தளம்,vimāṉa nilaiyam / vimāṉattaḷam
33,all (entire duration or quantity),determiner,a1,N/A,எல்லா / முழு,ellā / muḻu
34,all (entire quantity/duration),determiner,a1,N/A,எல்லா / முழு,ellā / muḻu
35,"all (people, everyone)",pronoun,a1,N/A,எல்லோரும் / அனைவரும்,ellōrum / aṉaivarum
36,also,adverb,a1,N/A,மேலும் / கூட / அத்துடன்,mēlum / kūṭa / attuṭaṉ
37,always (at all times),adverb,a1,N/A,எப்போதும் / எப்பொழுதும் / சதா,eppōtum / eppoḻutum / catā
38,"always (continuous state, stylistic)",adverb,a1,N/A,எப்போதும் / எப்பொழுதும் / சதா,eppōtum / eppoḻutum / catā
39,"amazing (spectacular, awe-inspiring)",adjective,a1,N/A,வியக்கத்தக்க / பிரமிக்கத்தக்க / அற்புதமான,viyakkattakka / piramikkattakka / aṟputamāṉa
40,"amazing (wonderful, great)",adjective,a1,N/A,அருமையான / அற்புதமான / சிறப்பான,arumaiyāṉa / aṟputamāṉa / ciṟappāṉa
41,and (general linking),conjunction,a1,N/A,மற்றும் / உம் / அதோடு,maṟṟum / um / atōṭu
42,angrily,adverb,a1,N/A,கோபமாக / சினத்துடன் / ஆத்திரமாக,kōpamāka / ciṉattuṭaṉ / āttiramāka
43,"angry (common, annoyed)",adjective,a1,N/A,கோபமான / சினங்கொண்ட / ஆத்திரமான,kōpamāṉa / ciṉaṅkoṇṭa / āttiramāṉa
44,another,determiner,a1,N/A,மற்றொரு / வேறு ஒரு,maṟṟoru / vēṟu oru
45,another (a different one),pronoun,a1,N/A,வேறொன்று / மற்றொருவர்,vēṟoṉṟu / maṟṟoruvar
46,another (one more),pronoun,a1,N/A,இன்னொன்று / இன்னொருவர்,iṉṉoṉṟu / iṉṉoruvar
47,"another (unspecified thing, item)",determiner,a1,N/A,மற்றொரு / வேறு ஒரு,maṟṟoru / vēṟu oru
48,answer,noun,a1,N/A,பதில் / விடை,patil / viṭai
49,"any (choice, universal)",determiner,a1,N/A,எந்த / ஏதாவது,enta / ētāvatu
50,any (general selection),pronoun,a1,nan,எதாவது ஒன்று / எதுவேண்டுமானாலும்,etāvatu oṉṟu / etuvēṇṭumāṉālum
51,"any (in questions, negatives)",determiner,a1,nan,எந்த / ஒரு,enta / oru
52,any (indefinite quantity),determiner,a1,nan,எந்த அளவு / எவ்வளவு,enta aḷavu / evvaḷavu
53,"any (item, choice)",pronoun,a1,nan,எதுவாக இருந்தாலும் / எதுவேண்டுமானாலும்,etuvāka iruntālum / etuvēṇṭumāṉālum
54,"any (some, if)",pronoun,a1,nan,ஏதாவது / ஏதேனும்,ētāvatu / ētēṉum
55,"any (universal choice, usually in context)",determiner,a1,nan,எந்த ஒரு / எந்த,enta oru / enta
56,any (zero quantity),pronoun,a1,nan,எதுவும் இல்லை / ஒன்றுமில்லை,etuvum illai / oṉṟumillai
57,"any (zero quantity, with negative verb)",pronoun,a1,nan,எதுவும் / ஒன்றுமில்லை,etuvum / oṉṟumillai
58,"anyone (any person, affirmative)",pronoun,a1,nan,யார் வேண்டுமானாலும் / எவரும்,yār vēṇṭumāṉālum / evarum
59,"anyone (in questions, negatives)",pronoun,a1,nan,யாராவது / எவரும்,yārāvatu / evarum
60,"anything (thing, object, general indefinite)",pronoun,a1,nan,ஏதாவது / ஏதேனும்,ētāvatu / ētēṉum
61,anything (whatever the choice),pronoun,a1,nan,எதுவாக இருந்தாலும் / எதுவேண்டுமானாலும்,etuvāka iruntālum / etuvēṇṭumāṉālum
62,apartment,noun,a1,nan,அடுக்குமாடி குடியிருப்பு / பிளாட் / அபார்ட்மெண்ட்,aṭukkumāṭi kuṭiyiruppu / piḷāṭ / apārṭmeṇṭ
63,apple,noun,a1,nan,ஆப்பிள்,āppiḷ
64,april,noun,a1,nan,ஏப்ரல்,ēpral
65,area (measurement),noun,a1,nan,பரப்பு / பரப்பளவு / பகுதி,parappu / parappaḷavu / pakuti
66,around (approximate time or quantity),preposition,a1,nan,சுமார் / ஏறத்தாழ,cumār / ēṟattāḻa
67,around (approximately),adverb,a1,nan,ஏறக்குறைய / சுமார்,ēṟakkuṟaiya / cumār
68,"around (movement, periphery)",adverb,a1,nan,சுற்றிலும் / சுற்றி,cuṟṟilum / cuṟṟi
69,around (nearby or in the vicinity),preposition,a1,nan,அருகில் / சுற்றிலும்,arukil / cuṟṟilum
70,"around (nearby, in the vicinity)",adverb,a1,nan,அருகில் / சுற்றிலும்,arukil / cuṟṟilum
71,around (surrounding something or moving in a circle),preposition,a1,nan,சுற்றி / சுற்றிலும்,cuṟṟi / cuṟṟilum
72,arrow (projectile),noun,a1,nan,அம்பு / கணை,ampu / kaṇai
73,art (skill or technique),noun,a1,nan,கலை / நுட்பம் / திறன்,kalai / nuṭpam / tiṟaṉ
74,article (object),noun,a1,nan,பொருள் / பண்டம்,poruḷ / paṇṭam
75,article (writing),noun,a1,nan,கட்டுரை / ஆக்கம் / படைப்பு,kaṭṭurai / ākkam / paṭaippu
76,"artist (performer, general artiste)",noun,a1,nan,கலைஞர்,kalaiñar
77,"artist (visual creator, e.g., painter)",noun,a1,nan,ஓவியர் / கலைஞர்,ōviyar / kalaiñar
78,as (in the role of),preposition,a1,nan,ஆக,āka
79,"as (like, in the manner of)",preposition,a1,nan,போல / மாதிரி / போன்று,pōla / mātiri / pōṉṟu
80,asleep (in slumber),adjective,a1,nan,தூங்கும் / உறங்கும்,tūṅkum / uṟaṅkum
81,"at (target, direction)",preposition,a1,nan,-இல் / -க்கு,-il / -kku
82,"at (time, moment)",preposition,a1,nan,-இல் / -க்கு / -போது,-il / -kku / -pōtu
83,august,noun,a1,nan,ஆகஸ்ட்,ākasṭ
84,aunt (father's sister),noun,a1,nan,அத்தை,attai
85,aunt (mother's elder sister),noun,a1,nan,பெரியம்மா,periyammā
86,aunt (mother's younger sister),noun,a1,nan,சித்தி,citti
87,auto (common usage),noun,a1,nan,ஆட்டோ,āṭṭō
88,autumn,noun,a1,nan,இலையுதிர் காலம்,ilaiyutir kālam
89,away (distance or absence),adverb,a1,nan,தொலைவில் / தூரத்தில்,tolaivil / tūrattil
90,away (into storage or hiding),adverb,a1,nan,மறைவாக / சேமித்து,maṟaivāka / cēmittu
91,baby,noun,a1,nan,குழந்தை,kuḻantai
92,baby (term of endearment),noun,a1,nan,செல்லம் / கண்ணே / அன்பே,cellam / kaṇṇē / aṉpē
93,back,adverb,a1,nan,மீண்டும் / திரும்பி,mīṇṭum / tirumpi
94,back (rear side),noun,a1,nan,பின்னால் / முதுகு,piṉṉāl / mutuku
95,"bad (sick, unwell)",adjective,a1,nan,நோயுற்ற / உடல்நலமில்லாத,nōyuṟṟa / uṭalnalamillāta
96,ball,noun,a1,nan,பந்து,pantu
97,"banana (unripe, raw)",noun,a1,nan,வாழைக்காய்,vāḻaikkāy
98,band (musical group),noun,a1,nan,இசைக்குழு / பேண்ட்,icaikkuḻu / pēṇṭ
99,"bank (river, lake)",noun,a1,nan,கரை / நதிக்கரை / ஏரிக்கரை,karai / natikkarai / ērikkarai
100,bath,noun,a1,nan,குளியல் / நீராடல்,kuḷiyal / nīrāṭal
101,beach,noun,a1,nan,கடற்கரை,kaṭaṟkarai
102,beautiful,adjective,a1,nan,அழகான / எழிலான / வனப்பான,aḻakāṉa / eḻilāṉa / vaṉappāṉa
103,because (clause connector),conjunction,a1,nan,ஏனெனில் / ஆகையால்,ēṉeṉil / ākaiyāl
104,"because of (a noun, reason)",conjunction,a1,nan,காரணமாக / நிமித்தமாக,kāraṇamāka / nimittamāka
105,bed (planting area),noun,a1,nan,பாத்தி,pātti
106,bedroom,noun,a1,nan,படுக்கையறை,paṭukkaiyaṟai
107,beer,noun,a1,nan,பீர்,pīr
108,before (time),preposition,a1,nan,முன் / முன்பு / முன்னர்,muṉ / muṉpu / muṉṉar
109,behind (at the rear),preposition,a1,nan,பின்னால் / பின்புறம்,piṉṉāl / piṉpuṟam
110,behind (delayed or late),adverb,a1,nan,தாமதமாக,tāmatamāka
111,behind (remaining or lagging),preposition,a1,nan,பின்தங்கி,piṉtaṅki
112,below (in a document or list),adverb,a1,nan,கீழே / அடியில்,kīḻē / aṭiyil
113,below (less than a standard/value),preposition,a1,nan,கீழே / குறைவாக,kīḻē / kuṟaivāka
114,below (less than),preposition,a1,nan,குறைவாக / கீழ்,kuṟaivāka / kīḻ
115,below (spatially),preposition,a1,nan,கீழே / அடியில்,kīḻē / aṭiyil
116,better (in health),adjective,a1,nan,நலமான / தேறிய,nalamāṉa / tēṟiya
117,between,preposition,a1,nan,இடையில் / நடுவில்,iṭaiyil / naṭuvil
118,big,adjective,a1,nan,பெரிய / பெரும் / மாபெரும்,periya / perum / māperum
119,bike (bicycle),noun,a1,nan,சைக்கிள் / மிதிவண்டி,caikkiḷ / mitivaṇṭi
120,bill (bird's beak),noun,a1,nan,அலகு,alaku
121,bill (invoice),noun,a1,nan,பில் / பட்டியல் / ரசீது,pil / paṭṭiyal / racītu
122,bird (common),noun,a1,nan,குருவி,kuruvi
123,"bird (general, formal)",noun,a1,nan,பறவை,paṟavai
124,birthday,noun,a1,nan,பிறந்தநாள்,piṟantanāḷ
125,black (color),noun,a1,nan,கருப்பு / கறுப்பு / கார்,karuppu / kaṟuppu / kār
126,blog,noun,a1,nan,வலைப்பதிவு / பிளாக்,valaippativu / piḷāk
127,blonde,adjective,a1,nan,பொன்னிறமான / வெளிர் நிறமான,poṉṉiṟamāṉa / veḷir niṟamāṉa
128,blue,noun,a1,nan,நீலம்,nīlam
129,boat,noun,a1,nan,படகு / தோணி,paṭaku / tōṇi
130,body,noun,a1,nan,உடல் / தேகம் / மெய்,uṭal / tēkam / mey
131,book,noun,a1,nan,புத்தகம் / நூல் / ஏடு,puttakam / nūl / ēṭu
132,boot,noun,a1,nan,பூட் / காலணி,pūṭ / kālaṇi
133,bored,adjective,a1,nan,சலிப்படைந்த / சலிப்புற்ற,calippaṭainta / calippuṟṟa
134,"boring (tedious, dull)",adjective,a1,nan,சலிப்பான / அலுப்பான / சுவாரஸ்யமற்ற,calippāṉa / aluppāṉa / cuvārasyamaṟṟa
135,both (modifying a noun),pronoun,a1,nan,இரண்டுமே / இரண்டு,iraṇṭumē / iraṇṭu
136,both (people),determiner,a1,nan,இருவர் / இருவரும்,iruvar / iruvarum
137,bottle,noun,a1,nan,பாட்டில் / புட்டி,pāṭṭil / puṭṭi
138,box,noun,a1,nan,பெட்டி / டப்பா,peṭṭi / ṭappā
139,boy,noun,a1,nan,பையன் / சிறுவன் / பாலகன்,paiyaṉ / ciṟuvaṉ / pālakaṉ
140,"boyfriend (casual, direct usage)",noun,a1,nan,பாய்ஃபிரண்ட் / காதலன்,pāyfiraṇṭ / kātalaṉ
141,boyfriend (general),noun,a1,nan,காதலன் / பாய்ஃபிரண்ட்,kātalaṉ / pāyfiraṇṭ
142,bread,noun,a1,nan,ரொட்டி / பிரட்,roṭṭi / piraṭ
143,bread (flatbread/roti),noun,a1,nan,ரொட்டி / சப்பாத்தி,roṭṭi / cappātti
144,"bread (general flatbread, roti)",noun,a1,nan,ரொட்டி / சப்பாத்தி,roṭṭi / cappātti
145,bread (Western style),noun,a1,nan,பிரட் / வெதுப்பி,piraṭ / vetuppi
146,break (rest period),noun,a1,nan,இடைவேளை / ஓய்வு,iṭaivēḷai / ōyvu
147,breakfast (common),noun,a1,nan,காலை உணவு / சிற்றுண்டி,kālai uṇavu / ciṟṟuṇṭi
148,breakfast (formal),noun,a1,nan,காலை உணவு / சிற்றுண்டி,kālai uṇavu / ciṟṟuṇṭi
149,brother (elder),noun,a1,nan,அண்ணன் / தமையன்,aṇṇaṉ / tamaiyaṉ
150,brother (younger),noun,a1,nan,தம்பி / இளவல்,tampi / iḷaval
151,brown,noun,a1,nan,பழுப்பு / பழுப்பு நிறம்,paḻuppu / paḻuppu niṟam
152,brown (adjective),noun,a1,nan,பழுப்பு நிறமான / பழுப்பு,paḻuppu niṟamāṉa / paḻuppu
153,building,noun,a1,nan,கட்டிடம் / கட்டடம் / கட்டுமானம்,kaṭṭiṭam / kaṭṭaṭam / kaṭṭumāṉam
154,bus,noun,a1,nan,பஸ் / பேருந்து,pas / pēruntu
155,"business (commercial enterprise, trade)",noun,a1,nan,வணிகம் / தொழில் / வியாபாரம்,vaṇikam / toḻil / viyāpāram
156,"busy (crowded, bustling)",adjective,a1,nan,பரபரப்பான / சுறுசுறுப்பான,paraparappāṉa / cuṟucuṟuppāṉa
157,busy (telephone line engaged),adjective,a1,nan,பிஸியாக / இணைப்பில் உள்ளது,pisiyāka / iṇaippil uḷḷatu
158,by (deadline),preposition,a1,nan,முன் / உள்ளாக,muṉ / uḷḷāka
159,by (means of),preposition,a1,nan,மூலம் / வழியாக,mūlam / vaḻiyāka
160,"by (near, beside)",preposition,a1,nan,அருகில் / அருகே / பக்கத்தில்,arukil / arukē / pakkattil
161,bye (casual),noun,a1,nan,பை / போய் வருகிறேன்,pai / pōy varukiṟēṉ
162,bye (polite parting),exclamation,a1,nan,போய் வருகிறேன் / வணக்கம் / விடைபெறுகிறேன்,pōy varukiṟēṉ / vaṇakkam / viṭaipeṟukiṟēṉ
163,cafe,noun,a1,nan,காபி கடை / கஃபே,kāpi kaṭai / kafē
164,cake,noun,a1,nan,கேக் / அப்பம்,kēk / appam
165,"call (shout, cry)",noun,a1,nan,கூச்சல் / அழைப்பு / குரல்,kūccal / aḻaippu / kural
166,call (telephone),noun,a1,nan,அழைப்பு / போன் கால்,aḻaippu / pōṉ kāl
167,camera,noun,a1,nan,கேமரா / நிழற்படக்கருவி,kēmarā / niḻaṟpaṭakkaruvi
168,can (ability),modal verb,a1,nan,முடியும் / இயலும்,muṭiyum / iyalum
169,"can (permission, request)",modal verb,a1,nan,செய்யலாம் / அனுமதிக்கலாம்,ceyyalām / aṉumatikkalām
170,"cannot (be allowed to , prohibited)",modal verb,a1,nan,கூடாது / முடியாது,kūṭātu / muṭiyātu
171,"capital (chief, of the main city)",adjective,a1,nan,முதன்மையான / தலைநகர்,mutaṉmaiyāṉa / talainakar
172,capital (city),noun,a1,nan,தலைநகரம் / தலைநகர்,talainakaram / talainakar
173,capital (financial assets),noun,a1,nan,மூலதனம் / நிதி,mūlataṉam / niti
174,capital (letter),adjective,a1,nan,பெரிய எழுத்து,periya eḻuttu
175,car,noun,a1,nan,கார் / மகிழுந்து,kār / makiḻuntu
176,"card (greeting, post)",noun,a1,nan,அட்டை / வாழ்த்து அட்டை / அஞ்சல் அட்டை,aṭṭai / vāḻttu aṭṭai / añcal aṭṭai
177,"card (ID, Bank)",noun,a1,nan,அட்டை / அடையாள அட்டை / வங்கி அட்டை,aṭṭai / aṭaiyāḷa aṭṭai / vaṅki aṭṭai
178,career,noun,a1,nan,தொழில் / பணி / பணி வாழ்வு,toḻil / paṇi / paṇi vāḻvu
179,carrot,noun,a1,nan,கேரட்,kēraṭ
180,cat,noun,a1,nan,பூனை,pūṉai
181,cd,noun,a1,nan,சிடி,ciṭi
182,cent (unit of land area),noun,a1,nan,சென்ட்,ceṉṭ
183,"centre (institution, hub)",noun,a1,nan,மையம் / நடுவம்,maiyam / naṭuvam
184,century (100 years),noun,a1,nan,நூற்றாண்டு,nūṟṟāṇṭu
185,century (cricket score),noun,a1,nan,சதம் / நூறு ஓட்டங்கள்,catam / nūṟu ōṭṭaṅkaḷ
186,change (alteration),noun,a1,nan,மாற்றம் / மாறுதல்,māṟṟam / māṟutal
187,change (money remainder),noun,a1,nan,சில்லறை,cillaṟai
188,chart (map for navigation),noun,a1,nan,வரைபடம் / விளக்கப்படம்,varaipaṭam / viḷakkappaṭam
189,cheap (low cost),adjective,a1,nan,மலிவான / குறைந்த விலை,malivāṉa / kuṟainta vilai
190,cheap (low quality),adjective,a1,nan,தரமற்ற / மலிவான,taramaṟṟa / malivāṉa
191,"cheap (stingy, miserly)",adjective,a1,nan,கஞ்சத்தனமான / உலோபத்தனமான,kañcattaṉamāṉa / ulōpattaṉamāṉa
192,cheese,noun,a1,nan,சீஸ்,cīs
193,chicken (animal),noun,a1,nan,கோழி,kōḻi
194,chicken (meat),noun,a1,nan,கோழி இறைச்சி / சிக்கன்,kōḻi iṟaicci / cikkaṉ
195,chocolate,noun,a1,nan,சாக்லேட்,cāklēṭ
196,city,noun,a1,nan,நகரம் / மாநகரம்,nakaram / mānakaram
197,class (category/type),noun,a1,nan,வகை / பிரிவு,vakai / pirivu
198,class (grade level),noun,a1,nan,வகுப்பு / தரம்,vakuppu / taram
199,"class (lesson, session)",noun,a1,nan,வகுப்பு / பாடம்,vakuppu / pāṭam
200,class (social stratum),noun,a1,N/A,வர்க்கம் / வகுப்பு / சமூக அடுக்கு,varkkam / vakuppu / camūka aṭukku
201,classroom,noun,a1,N/A,வகுப்பறை,vakuppaṟai
202,clock (wall or desk timepiece),noun,a1,N/A,கடிகாரம்,kaṭikāram
203,"clothes (garments, apparel)",noun,a1,N/A,உடை / ஆடை / உடைகள்,uṭai / āṭai / uṭaikaḷ
204,club (organization),noun,a1,N/A,சங்கம் / மன்றம் / கழகம்,caṅkam / maṉṟam / kaḻakam
205,club (venue),noun,a1,N/A,கிளப் / கேளிக்கை விடுதி,kiḷap / kēḷikkai viṭuti
206,coffee,noun,a1,N/A,காபி / குழம்பி,kāpi / kuḻampi
207,"cold (cool, refreshing)",adjective,a1,N/A,குளிர்ச்சியான / இதமான குளிர்,kuḷircciyāṉa / itamāṉa kuḷir
208,cold (illness),noun,a1,N/A,சளி,caḷi
209,cold (low temperature),noun,a1,N/A,குளிர் / குளிர்ச்சி,kuḷir / kuḷircci
210,"cold (temperature, unpleasant)",adjective,a1,N/A,குளிர்ந்த / கடும் குளிர்,kuḷirnta / kaṭum kuḷir
211,college,noun,a1,N/A,கல்லூரி,kallūri
212,colour,noun,a1,N/A,நிறம் / வண்ணம்,niṟam / vaṇṇam
213,"common (general, frequent)",adjective,a1,N/A,பொதுவான / சாதாரண / வழக்கமான,potuvāṉa / cātāraṇa / vaḻakkamāṉa
214,"common (shared, joint)",adjective,a1,N/A,பொதுவான / கூட்டு / பகிரப்பட்ட,potuvāṉa / kūṭṭu / pakirappaṭṭa
215,company (business entity),noun,a1,N/A,நிறுவனம் / கம்பெனி,niṟuvaṉam / kampeṉi
216,"company (companionship, guests)",noun,a1,N/A,துணை / விருந்தினர்கள் / கூடல்,tuṇai / viruntiṉarkaḷ / kūṭal
217,"complete (total, entire)",adjective,a1,N/A,முழுமையான / பூரணமான / மொத்த,muḻumaiyāṉa / pūraṇamāṉa / motta
218,computer,noun,a1,N/A,கணினி / கம்ப்யூட்டர்,kaṇiṉi / kampyūṭṭar
219,concert,noun,a1,N/A,இசை நிகழ்ச்சி / கச்சேரி / கன்சர்ட்,icai nikaḻcci / kaccēri / kaṉcarṭ
220,conversation (casual chat),noun,a1,N/A,உரையாடல் / பேச்சு / சம்பாஷணை,uraiyāṭal / pēccu / campāṣaṇai
221,cooking,noun,a1,N/A,சமையல்,camaiyal
222,cool (moderately cold),adjective,a1,N/A,குளிர்ச்சியான / இதமான,kuḷircciyāṉa / itamāṉa
223,correct,adjective,a1,N/A,சரியான / சரி / பிழையற்ற,cariyāṉa / cari / piḻaiyaṟṟa
224,"cost (expenditure, expense)",noun,a1,N/A,செலவு / விலை / கட்டணம்,celavu / vilai / kaṭṭaṇam
225,"cost (price, monetary value)",noun,a1,N/A,விலை / செலவு,vilai / celavu
226,could (past ability),modal verb,a1,N/A,முடி,muṭi
227,could (polite request),modal verb,a1,N/A,முடி,muṭi
228,could (possibility),modal verb,a1,N/A,கூடு / இரு,kūṭu / iru
229,country (nation),noun,a1,N/A,நாடு / தேசம்,nāṭu / tēcam
230,country (rural area),noun,a1,N/A,கிராமம் / நாட்டுப்புறம்,kirāmam / nāṭṭuppuṟam
231,course (meal),noun,a1,N/A,உணவுப் பகுதி / வகை,uṇavup pakuti / vakai
232,course (of study),noun,a1,N/A,பாடத்திட்டம் / படிப்பு,pāṭattiṭṭam / paṭippu
233,"cousin (female, parallel cousin)",noun,a1,N/A,அத்தை மகள் / மாமி மகள்,attai makaḷ / māmi makaḷ
234,"cousin (male, parallel cousin)",noun,a1,N/A,அத்தை மகன் / மாமி மகன்,attai makaṉ / māmi makaṉ
235,cow,noun,a1,N/A,பசு / மாடு,pacu / māṭu
236,cream (lotion or ointment),noun,a1,N/A,க்ரீம் / களிம்பு / பூச்சு,krīm / kaḷimpu / pūccu
237,culture,noun,a1,N/A,கலாச்சாரம் / பண்பாடு,kalāccāram / paṇpāṭu
238,cup,noun,a1,N/A,கோப்பை / கிண்ணம்,kōppai / kiṇṇam
239,cup (loanword),noun,a1,N/A,கப்,kap
240,customer,noun,a1,N/A,வாடிக்கையாளர் / நுகர்வோர்,vāṭikkaiyāḷar / nukarvōr
241,cycle (vehicle),noun,a1,N/A,சைக்கிள் / மிதிவண்டி,caikkiḷ / mitivaṇṭi
242,dad,noun,a1,N/A,தந்தை / அப்பா,tantai / appā
243,dad (common spoken),noun,a1,N/A,அப்பா,appā
244,dancer (female),noun,a1,N/A,நடனக் கலைஞர் / நர்த்தகி,naṭaṉak kalaiñar / narttaki
245,dancer (male),noun,a1,N/A,நடனக் கலைஞர் / நர்த்தகர்,naṭaṉak kalaiñar / narttakar
246,dancing (general act),noun,a1,N/A,நடனம் / ஆட்டம்,naṭaṉam / āṭṭam
247,"dancing (performance, classical)",noun,a1,N/A,நாட்டியம் / நடனம்,nāṭṭiyam / naṭaṉam
248,dangerous,adjective,a1,N/A,ஆபத்தான / அபாயகரமான,āpattāṉa / apāyakaramāṉa
249,dark (deep in color),adjective,a1,N/A,கருமையான / அடர்,karumaiyāṉa / aṭar
250,date (calendar time),noun,a1,N/A,தேதி / நாள்,tēti / nāḷ
251,date (fruit),noun,a1,N/A,பேரீச்சம்பழம்,pērīccampaḻam
252,daughter,noun,a1,N/A,மகள் / புதல்வி,makaḷ / putalvi
253,day (24-hour period),noun,a1,N/A,நாள்,nāḷ
254,"day (daytime, light period)",noun,a1,N/A,பகல் / பொழுது,pakal / poḻutu
255,"dear (addressing someone in speech, writing)",adjective,a1,N/A,அன்புள்ள / பிரியமுள்ள,aṉpuḷḷa / piriyamuḷḷa
256,dear (beloved),adjective,a1,N/A,அன்பான / பிரியமான / அருமை,aṉpāṉa / piriyamāṉa / arumai
257,december,noun,a1,N/A,டிசம்பர்,ṭicampar
258,decision (common choice),noun,a1,N/A,முடிவு / தீர்மானம்,muṭivu / tīrmāṉam
259,description,noun,a1,N/A,விளக்கம் / வர்ணனை,viḷakkam / varṇaṉai
260,"design (pattern, style)",noun,a1,N/A,வடிவமைப்பு / டிசைன்,vaṭivamaippu / ṭicaiṉ
261,"design (plan, structure)",noun,a1,N/A,திட்டம் / அமைப்பு / வடிவமைப்பு,tiṭṭam / amaippu / vaṭivamaippu
262,desk,noun,a1,N/A,மேசை,mēcai
263,detail,noun,a1,N/A,விவரம் / நுணுக்கம்,vivaram / nuṇukkam
264,"dialogue (script, film)",noun,a1,N/A,வசனம் / உரையாடல்,vacaṉam / uraiyāṭal
265,dictionary,noun,a1,N/A,அகராதி,akarāti
266,diet (restrictive eating plan),noun,a1,N/A,உணவுக்கட்டுப்பாடு / டயட்,uṇavukkaṭṭuppāṭu / ṭayaṭ
267,difference,noun,a1,N/A,வேறுபாடு / வித்தியாசம்,vēṟupāṭu / vittiyācam
268,dinner,noun,a1,N/A,இரவு உணவு / டின்னர்,iravu uṇavu / ṭiṉṉar
269,"dish (plate, container)",noun,a1,N/A,தட்டு / பாத்திரம்,taṭṭu / pāttiram
270,dish (prepared food),noun,a1,N/A,உணவு / பதார்த்தம் / டிஷ்,uṇavu / patārttam / ṭiṣ
271,dog,noun,a1,N/A,நாய்,nāy
272,dollar,noun,a1,N/A,டாலர்,ṭālar
273,door,noun,a1,N/A,கதவு,katavu
274,down,preposition,a1,N/A,கீழே,kīḻē
275,"down (emotionally, sad)",adverb,a1,nan,மன வருத்தம் / சோகம் / மனச்சோர்வு,maṉa varuttam / cōkam / maṉaccōrvu
276,downstairs (location),adverb,a1,nan,கீழே / கீழ் தளம்,kīḻē / kīḻ taḷam
