id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
61,useless (without benefit),adjective,b1,nan,ഉപയോഗശൂന്യം / പ്രയോജനമില്ലാത്ത / നിരർത്ഥകമായ,upayōgaśūnyaṁ / prayōjanamillātta / nirartthakamāya
62,valuable (important),adjective,b1,nan,വിലപ്പെട്ട / പ്രധാനപ്പെട്ട / അമൂല്യമായ,vilappeṭṭa / pradhānappeṭṭa / amūlyamāya
63,value (importance),noun,b1,nan,പ്രാധാന്യം / വില / മഹത്വം,prādhānyaṁ / vila / mahatvaṁ
64,value (moral principle),noun,b1,nan,മൂല്യം / തത്വം,mūlyaṁ / tatvaṁ
65,"value (worth, price)",noun,b1,nan,വില / മൂല്യം / നിരക്ക്,vila / mūlyaṁ / nirakk
66,various,adjective,b1,nan,വിവിധ / പലതരം / വ്യത്യസ്തമായ,vividha / palataraṁ / vyatyastamāya
67,"version (account, story)",noun,b1,nan,പതിപ്പ് / വിവരണം / രൂപം,patipp / vivaraṇaṁ / rūpaṁ
68,"version (of software, product)",noun,b1,nan,പതിപ്പ് / വേർഷൻ,patipp / vērṣan
69,"victim (affected by disaster, tragedy)",noun,b1,nan,ഇര / ദുരിതബാധിതൻ,ira / duritabādhitan
70,"victim (scapegoat, sacrificial)",noun,b1,nan,ബലിമൃഗം / ഇര / ബലി,balimr̥gaṁ / ira / bali
71,"viewer (media, audience)",noun,b1,nan,പ്രേക്ഷകൻ / കാണികൾ,prēkṣakan / kāṇikaḷ
72,viewer (observer),noun,b1,nan,നിരീക്ഷകൻ / കാണുന്നയാൾ,nirīkṣakan / kāṇunnayāḷ
73,villager (informal),noun,b1,nan,നാട്ടുകാരൻ / ഗ്രാമീണൻ / ഗ്രാമവാസി,nāṭṭukāran / grāmīṇan / grāmavāsi
74,"violent (aggressive, forceful)",adjective,b1,nan,അക്രമാസക്തമായ / അതിശക്തമായ / ക്രൂരമായ,akramāsaktamāya / atiśaktamāya / krūramāya
75,"violent (intense, severe)",adjective,b1,nan,തീവ്രമായ / അതിരൂക്ഷമായ / കഠിനമായ,tīvramāya / atirūkṣamāya / kaṭhinamāya
76,"voice (opinion, influence)",noun,b1,nan,അഭിപ്രായം / സ്വാധീനം / ശബ്ദം,abhiprāyaṁ / svādhīnaṁ / śabdaṁ
77,volume (loudness),noun,b1,nan,ശബ്ദതീവ്രത / ഉച്ചത / വോളിയം,śabdatīvrata / uccata / vōḷiyaṁ
78,volunteer,noun,b1,nan,സന്നദ്ധപ്രവർത്തകൻ / സന്നദ്ധസേവകൻ / വോളണ്ടിയർ,sannaddhapravarttakan / sannaddhasēvakan / vōḷaṇṭiyar
79,"to merge (companies, organizations)",verb,c1,nan,ലയിപ്പിക്കുക / ലയിക്കുക / സംയോജിപ്പിക്കുക / ഒന്നിപ്പിക്കുക,layippikkuka / layikkuka / saṁyōjippikkuka / onnippikkuka
80,to minimize,verb,c1,transitive,കുറയ്ക്കുക / ചുരുക്കുക / ലഘൂകരിക്കുക,kuṟaykkuka / curukkuka / laghūkarikkuka
