english_word,word_class,telugu_translation,transliteration,verb_transitivity,level
another (one more),pronoun,ఇంకొకటి / ఇంకొకరు,iṁkokaṭi / iṁkokaru,,a1
"another (unspecified thing, item)",determiner,ఇంకో / వేరే,iṁkō / vērē,,a1
answer,noun,జవాబు / సమాధానం / బదులు,javābu / samādhānaṁ / badulu,,a1
"any (choice, universal)",determiner,ఏ / ఏదైనా,ē / ēdainā,,a1
any (general selection),pronoun,ఏదైనా / ఏది / ఏదేని,ēdainā / ēdi / ēdēni,,a1
"any (in questions, negatives)",determiner,ఏ,ē,,a1
any (indefinite quantity),determiner,కొంత / ఏమైనా,koṁta / ēmainā,,a1
"any (item, choice)",pronoun,ఏదైనా / ఏది / ఏదేని,ēdainā / ēdi / ēdēni,,a1
"any (some, if)",pronoun,ఏమైనా / కొంత,ēmainā / koṁta,,a1
"any (universal choice, usually in context)",determiner,ఏ / ప్రతి,ē / prati,,a1
any (zero quantity),pronoun,ఏమీ / ఏది,ēmī / ēdi,,a1
"any (zero quantity, with negative verb)",pronoun,ఏమీ / ఏది,ēmī / ēdi,,a1
"anyone (any person, affirmative)",pronoun,ఎవరైనా / ఎవరేని,evarainā / evarēni,,a1
"anyone (in questions, negatives)",pronoun,ఎవరైనా / ఎవరూ,evarainā / evarū,,a1
"anything (thing, object, general indefinite)",pronoun,ఏదైనా / ఏది / ఏమైనా,ēdainā / ēdi / ēmainā,,a1
anything (whatever the choice),pronoun,ఏదైనా / ఏది / ఏమైనా,ēdainā / ēdi / ēmainā,,a1
apartment,noun,అపార్ట్‌మెంట్ / ఫ్లాట్ / గృహం,apārṭmeṁṭ / phlāṭ / gr̥haṁ,,a1
apple,noun,ఆపిల్ / సేబు,āpil / sēbu,,a1
april,noun,ఏప్రిల్,ēpril,,a1
area (measurement),noun,విస్తీర్ణం / వైశాల్యం / ప్రాంతం,vistīrṇaṁ / vaiśālyaṁ / prāṁtaṁ,,a1
around (approximate time or quantity),preposition,సుమారు / దాదాపు / ఇంచుమించు,sumāru / dādāpu / iṁcumiṁcu,,a1
around (approximately),adverb,సుమారుగా / దాదాపుగా / ఇంచుమించుగా,sumārugā / dādāpugā / iṁcumiṁcugā,,a1
"around (movement, periphery)",adverb,చుట్టూ / నలువైపులా,cuṭṭū / naluvaipulā,,a1
around (nearby or in the vicinity),preposition,చుట్టూ / దగ్గర / పరిసరాల్లో,cuṭṭū / daggara / parisarāllō,,a1
"around (nearby, in the vicinity)",adverb,చుట్టూ / దగ్గరలో / పరిసరాల్లో,cuṭṭū / daggaralō / parisarāllō,,a1
around (surrounding something or moving in a circle),preposition,చుట్టూ / చుట్టుపక్కల,cuṭṭū / cuṭṭupakkala,,a1
arrow (projectile),noun,బాణం / శరం / అమ్ము,bāṇaṁ / śaraṁ / ammu,,a1
art (skill or technique),noun,కళ / నైపుణ్యం,kaḷa / naipuṇyaṁ,,a1
article (object),noun,వస్తువు / సరుకు,vastuvu / saruku,,a1
article (writing),noun,వ్యాసం / ఆర్టికల్ / లేఖనం,vyāsaṁ / ārṭikal / lēkhanaṁ,,a1
"artist (performer, general artiste)",noun,కళాకారుడు / ఆర్టిస్ట్,kaḷākāruḍu / ārṭisṭ,,a1
"artist (visual creator, e.g., painter)",noun,చిత్రకారుడు / కళాకారుడు / ఆర్టిస్ట్,citrakāruḍu / kaḷākāruḍu / ārṭisṭ,,a1
as (in the role of),preposition,గా,gā,,a1
"as (like, in the manner of)",preposition,వలె / లాగా,vale / lāgā,,a1
asleep (in slumber),adjective,నిద్రలో / నిద్రపోతున్న,nidralō / nidrapōtunna,,a1
"at (target, direction)",preposition,వద్ద / కు / పై,vadda / ku / pai,,a1
"at (time, moment)",preposition,కు / న,ku / na,,a1
august,noun,ఆగస్టు,āgasṭu,,a1
aunt (father's sister),noun,మేనత్త / అత్త,mēnatta / atta,,a1
aunt (mother's elder sister),noun,పెద్దమ్మ,peddamma,,a1
aunt (mother's younger sister),noun,పిన్ని,pinni,,a1
auto (common usage),noun,ఆటో,āṭō,,a1
autumn,noun,ఆకురాలు కాలం / శరత్కాలం,ākurālu kālaṁ / śaratkālaṁ,,a1
away (distance or absence),adverb,దూరంగా / దూరం,dūraṁgā / dūraṁ,,a1
away (into storage or hiding),adverb,దాచి / పక్కన,dāci / pakkana,,a1
baby,noun,పసిపాప / బిడ్డ / శిశువు,pasipāpa / biḍḍa / śiśuvu,,a1
baby (term of endearment),noun,బంగారం / బుజ్జి / నాన్న,baṁgāraṁ / bujji / nānna,,a1
back,adverb,వెనక్కి / తిరిగి,venakki / tirigi,,a1
back (rear side),noun,వెనుక / వీపు,venuka / vīpu,,a1
"bad (sick, unwell)",adjective,జబ్బుగా ఉన్న / అనారోగ్యంగా ఉన్న,jabbugā unna / anārōgyaṁgā unna,,a1
ball,noun,బంతి / బాల్ / గోళం,baṁti / bāl / gōḷaṁ,,a1
"banana (unripe, raw)",noun,అరటికాయ / పచ్చి అరటిపండు,araṭikāya / pacci araṭipaṁḍu,,a1
band (musical group),noun,బ్యాండ్ / బృందం,byāṁḍ / br̥ṁdaṁ,,a1
"bank (river, lake)",noun,గట్టు / ఒడ్డు / తీరం,gaṭṭu / oḍḍu / tīraṁ,,a1
bath,noun,స్నానం / తలస్నానం,snānaṁ / talasnānaṁ,,a1
beach,noun,బీచ్ / సముద్రతీరం / సముద్రపు ఒడ్డు,bīc / samudratīraṁ / samudrapu oḍḍu,,a1
beautiful,adjective,అందమైన / సుందరమైన / రమ్యమైన,aṁdamaina / suṁdaramaina / ramyamaina,,a1
because (clause connector),conjunction,ఎందుకంటే / కాబట్టి,eṁdukaṁṭē / kābaṭṭi,,a1
"because of (a noun, reason)",conjunction,వల్ల / కారణంగా,valla / kāraṇaṁgā,,a1
bed (planting area),noun,మడి,maḍi,,a1
bedroom,noun,పడకగది / శయనగది,paḍakagadi / śayanagadi,,a1
beer,noun,బీరు,bīru,,a1
before (time),preposition,ముందు / పూర్వం,muṁdu / pūrvaṁ,,a1
behind (at the rear),preposition,వెనుక,venuka,,a1
behind (delayed or late),adverb,ఆలస్యంగా,ālasyaṁgā,,a1
behind (remaining or lagging),preposition,వెనుకబడి / మిగిలి,venukabaḍi / migili,,a1
below (in a document or list),adverb,కింద / దిగువన,kiṁda / diguvana,,a1
below (less than a standard/value),preposition,కింద / తక్కువ,kiṁda / takkuva,,a1
below (less than),preposition,కంటే తక్కువ / కింద,kaṁṭē takkuva / kiṁda,,a1
below (spatially),preposition,కింద,kiṁda,,a1
better (in health),adjective,బాగుంది / నయం,bāguṁdi / nayaṁ,,a1
between,preposition,మధ్య,madhya,,a1
big,adjective,పెద్ద / గొప్ప / బృహత్,pedda / goppa / br̥hat,,a1
bike (bicycle),noun,సైకిల్,saikil,,a1
bill (bird's beak),noun,ముక్కు,mukku,,a1
bill (invoice),noun,బిల్లు / రసీదు / పట్టీ,billu / rasīdu / paṭṭī,,a1
bird (common),noun,పిట్ట,piṭṭa,,a1
"bird (general, formal)",noun,పక్షి,pakṣi,,a1
birthday,noun,పుట్టినరోజు / జన్మదినం,puṭṭinarōju / janmadinaṁ,,a1
black (color),noun,నలుపు / కృష్ణ,nalupu / kr̥ṣṇa,,a1
blog,noun,బ్లాగు,blāgu,,a1
blonde,adjective,లేత రంగు జుట్టు గల / బ్లౌండ్,lēta raṁgu juṭṭu gala / blauṁḍ,,a1
blue,noun,నీలం / నీలము,nīlaṁ / nīlamu,,a1
boat,noun,పడవ / నావ / ఓడ,paḍava / nāva / ōḍa,,a1
body,noun,శరీరం / దేహం / కాయం,śarīraṁ / dēhaṁ / kāyaṁ,,a1
book,noun,పుస్తకం / గ్రంథం / కితాబు,pustakaṁ / graṁthaṁ / kitābu,,a1
boot,noun,బూటు,būṭu,,a1
bored,adjective,విసుగు చెందిన / విసుగుగా ఉన్న,visugu ceṁdina / visugugā unna,,a1
"boring (tedious, dull)",adjective,విసుగు పుట్టించే / నీరసమైన / బోరింగ్,visugu puṭṭiṁcē / nīrasamaina / bōriṁg,,a1
both (modifying a noun),pronoun,రెండూ / ఇద్దరూ,reṁḍū / iddarū,,a1
both (people),determiner,ఇద్దరు,iddaru,,a1
bottle,noun,సీసా / బాటిల్,sīsā / bāṭil,,a1
box,noun,పెట్టె / బాక్స్,peṭṭe / bāks,,a1
boy,noun,అబ్బాయి / బాలుడు,abbāyi / bāluḍu,,a1
"boyfriend (casual, direct usage)",noun,బాయ్‌ఫ్రెండ్,bāyphreṁḍ,,a1
boyfriend (general),noun,బాయ్‌ఫ్రెండ్ / ప్రియుడు,bāyphreṁḍ / priyuḍu,,a1
bread,noun,రొట్టె / బ్రెడ్,roṭṭe / breḍ,,a1
bread (flatbread/roti),noun,రొట్టె,roṭṭe,,a1
"bread (general flatbread, roti)",noun,రొట్టె,roṭṭe,,a1
bread (Western style),noun,బ్రెడ్,breḍ,,a1
break (rest period),noun,విరామం / బ్రేక్,virāmaṁ / brēk,,a1
breakfast (common),noun,అల్పాహారం / బ్రేక్‌ఫాస్ట్,alpāhāraṁ / brēkphāsṭ,,a1
breakfast (formal),noun,అల్పాహారం,alpāhāraṁ,,a1
brother (elder),noun,అన్నయ్య / అన్న,annayya / anna,,a1
brother (younger),noun,తమ్ముడు / అనుజుడు,tammuḍu / anujuḍu,,a1
brown,noun,గోధుమ రంగు / కాఫీ రంగు / కపిల వర్ణం,gōdhuma raṁgu / kāphī raṁgu / kapila varṇaṁ,,a1
brown (adjective),noun,గోధుమ రంగు / కాఫీ రంగు / కపిల వర్ణం,gōdhuma raṁgu / kāphī raṁgu / kapila varṇaṁ,,a1
building,noun,భవనం / కట్టడం / భవంతి,bhavanaṁ / kaṭṭaḍaṁ / bhavaṁti,,a1
bus,noun,బస్సు,bassu,,a1
"business (commercial enterprise, trade)",noun,వ్యాపారం / వర్తకం / బిజినెస్,vyāpāraṁ / vartakaṁ / bijines,,a1
"busy (crowded, bustling)",adjective,రద్దీగా ఉన్న / జనసమ్మర్దంగా ఉన్న,raddīgā unna / janasammardaṁgā unna,,a1
busy (telephone line engaged),adjective,బిజీ / లైన్ బిజీ,bijī / lain bijī,,a1
by (deadline),preposition,లోపు / కల్లా,lōpu / kallā,,a1
by (means of),preposition,ద్వారా / చేత,dvārā / cēta,,a1
"by (near, beside)",preposition,పక్కన / దగ్గర / సమీపంలో,pakkana / daggara / samīpaṁlō,,a1
bye (casual),noun,బై / వెళ్ళొస్తాను,bai / veḷḷostānu,,a1
bye (polite parting),exclamation,నమస్కారం / సెలవు / వెళ్ళొస్తాను,namaskāraṁ / selavu / veḷḷostānu,,a1
cafe,noun,కేఫ్ / కాఫీ షాప్,kēph / kāphī ṣāp,,a1
cake,noun,కేక్,kēk,,a1
"call (shout, cry)",noun,కేక / అరుపు / పిలుపు,kēka / arupu / pilupu,,a1
call (telephone),noun,కాల్ / ఫోన్ కాల్,kāl / phōn kāl,,a1
camera,noun,కెమెరా / ఛాయాగ్రహణి,kemerā / chāyāgrahaṇi,,a1
can (ability),modal verb,చేయగలుగు,cēyagalugu,,a1
"can (permission, request)",modal verb,అనుమతించు,anumatiṁcu,,a1
"cannot (be allowed to , prohibited)",modal verb,అనుమతించకు / వద్దు,anumatiṁcaku / vaddu,,a1
"capital (chief, of the main city)",adjective,ప్రధాన / ముఖ్య,pradhāna / mukhya,,a1
capital (city),noun,రాజధాని,rājadhāni,,a1
capital (financial assets),noun,మూలధనం / పెట్టుబడి,mūladhanaṁ / peṭṭubaḍi,,a1
capital (letter),adjective,పెద్ద / క్యాపిటల్,pedda / kyāpiṭal,,a1
car,noun,కారు,kāru,,a1
"card (greeting, post)",noun,కార్డు / శుభాకాంక్షల కార్డు,kārḍu / śubhākāṁkṣala kārḍu,,a1
"card (ID, Bank)",noun,కార్డు / గుర్తింపు కార్డు,kārḍu / gurtiṁpu kārḍu,,a1
career,noun,కెరీర్ / వృత్తి / ఉద్యోగం,kerīr / vr̥tti / udyōgaṁ,,a1
carrot,noun,క్యారెట్,kyāreṭ,,a1
cat,noun,పిల్లి,pilli,,a1
cd,noun,సీడీ,sīḍī,,a1
cent (unit of land area),noun,సెంట్,seṁṭ,,a1
"centre (institution, hub)",noun,కేంద్రం / సెంటర్,kēṁdraṁ / seṁṭar,,a1
century (100 years),noun,శతాబ్దం,śatābdaṁ,,a1
century (cricket score),noun,సెంచరీ,seṁcarī,,a1
change (alteration),noun,మార్పు / పరివర్తన,mārpu / parivartana,,a1
change (money remainder),noun,చిల్లర,cillara,,a1
chart (map for navigation),noun,చార్ట్ / పటం,cārṭ / paṭaṁ,,a1
cheap (low cost),adjective,చవకైన / తక్కువ ధర గల,cavakaina / takkuva dhara gala,,a1
cheap (low quality),adjective,నాసిరకం / తక్కువ నాణ్యత గల,nāsirakaṁ / takkuva nāṇyata gala,,a1
"cheap (stingy, miserly)",adjective,పిసినారి / లోభి,pisināri / lōbhi,,a1
cheese,noun,చీజ్,cīj,,a1
chicken (animal),noun,కోడి,kōḍi,,a1
chicken (meat),noun,చికెన్ / కోడి మాంసం,ciken / kōḍi māṁsaṁ,,a1
chocolate,noun,చాక్లెట్,cākleṭ,,a1
city,noun,నగరం / పట్టణం,nagaraṁ / paṭṭaṇaṁ,,a1
class (category/type),noun,వర్గం / రకం,vargaṁ / rakaṁ,,a1
class (grade level),noun,తరగతి / క్లాస్,taragati / klās,,a1
"class (lesson, session)",noun,క్లాస్ / పాఠం,klās / pāṭhaṁ,,a1
class (social stratum),noun,వర్గం / శ్రేణి,vargaṁ / śrēṇi,,a1
classroom,noun,తరగతి గది / క్లాస్‌రూమ్,taragati gadi / klāsrūm,,a1
clock (wall or desk timepiece),noun,గడియారం / క్లాక్,gaḍiyāraṁ / klāk,,a1
"clothes (garments, apparel)",noun,బట్టలు / దుస్తులు / వస్త్రాలు,baṭṭalu / dustulu / vastrālu,,a1
club (organization),noun,క్లబ్ / సంఘం,klab / saṁghaṁ,,a1
club (venue),noun,క్లబ్,klab,,a1
coffee,noun,కాఫీ,kāphī,,a1
"cold (cool, refreshing)",adjective,చల్లని / శీతలమైన,callani / śītalamaina,,a1
cold (illness),noun,జలుబు / పడిశం,jalubu / paḍiśaṁ,,a1
cold (low temperature),noun,చలి / శీతలం,cali / śītalaṁ,,a1
"cold (temperature, unpleasant)",adjective,చల్లని / శీతలమైన,callani / śītalamaina,,a1
college,noun,కాలేజీ / కళాశాల,kālējī / kaḷāśāla,,a1
colour,noun,రంగు / వర్ణం,raṁgu / varṇaṁ,,a1
"common (general, frequent)",adjective,సాధారణ / సామాన్య / మామూలు,sādhāraṇa / sāmānya / māmūlu,,a1
"common (shared, joint)",adjective,ఉమ్మడి / సామాన్య,ummaḍi / sāmānya,,a1
company (business entity),noun,కంపెనీ / సంస్థ,kaṁpenī / saṁstha,,a1
"company (companionship, guests)",noun,సాంగత్యం / తోడు,sāṁgatyaṁ / tōḍu,,a1
"complete (total, entire)",adjective,పూర్తి / మొత్తం / సంపూర్ణ,pūrti / mottaṁ / saṁpūrṇa,,a1
computer,noun,కంప్యూటర్,kaṁpyūṭar,,a1
concert,noun,కాన్సర్ట్ / కచేరీ / సంగీత కచేరీ,kānsarṭ / kacērī / saṁgīta kacērī,,a1
conversation (casual chat),noun,సంభాషణ / ముచ్చట్లు / మాటలు,saṁbhāṣaṇa / muccaṭlu / māṭalu,,a1
cooking,noun,వంట / పాకశాస్త్రం,vaṁṭa / pākaśāstraṁ,,a1
cool (moderately cold),adjective,చల్లని / శీతలమైన,callani / śītalamaina,,a1
correct,adjective,సరైన / ఖచ్చితమైన / సక్రమమైన,saraina / khaccitamaina / sakramamaina,,a1
"cost (expenditure, expense)",noun,ఖర్చు / ధర / వ్యయం,kharcu / dhara / vyayaṁ,,a1
"cost (price, monetary value)",noun,ధర / ఖరీదు / వెల / మూల్యం,dhara / kharīdu / vela / mūlyaṁ,,a1
could (past ability),modal verb,గలిగె / సాధ్యమయ్యె,galige / sādhyamayye,,a1
could (polite request),modal verb,దయచేసి / గలరా,dayacēsi / galarā,,a1
could (possibility),modal verb,వచ్చు / కావచ్చు,vaccu / kāvaccu,,a1
country (nation),noun,దేశం / రాష్ట్రం,dēśaṁ / rāṣṭraṁ,,a1
country (rural area),noun,పల్లెటూరు / గ్రామీణ ప్రాంతం / పల్లె,palleṭūru / grāmīṇa prāṁtaṁ / palle,,a1
course (meal),noun,వంటకం / భాగం,vaṁṭakaṁ / bhāgaṁ,,a1
course (of study),noun,కోర్సు / పాఠ్య ప్రణాళిక / శిక్షణా కార్యక్రమం,kōrsu / pāṭhya praṇāḷika / śikṣaṇā kāryakramaṁ,,a1
"cousin (female, parallel cousin)",noun,అక్క / చెల్లి / కజిన్,akka / celli / kajin,,a1
"cousin (male, parallel cousin)",noun,అన్నయ్య / తమ్ముడు / కజిన్,annayya / tammuḍu / kajin,,a1
cow,noun,ఆవు / గోవు,āvu / gōvu,,a1
cream (lotion or ointment),noun,క్రీమ్ / లేపనం / మందు,krīm / lēpanaṁ / maṁdu,,a1
culture,noun,సంస్కృతి / ఆచారం,saṁskr̥ti / ācāraṁ,,a1
cup,noun,కప్పు / గిన్నె / పాత్ర,kappu / ginne / pātra,,a1
cup (loanword),noun,కప్పు,kappu,,a1
customer,noun,కస్టమర్ / వినియోగదారుడు / కొనుగోలుదారుడు,kasṭamar / viniyōgadāruḍu / konugōludāruḍu,,a1
cycle (vehicle),noun,సైకిల్ / ద్విచక్ర వాహనం,saikil / dvicakra vāhanaṁ,,a1
dad,noun,నాన్న / తండ్రి,nānna / taṁḍri,,a1
dad (common spoken),noun,నాన్న,nānna,,a1
dancer (female),noun,నర్తకి / నాట్యకారిణి / డ్యాన్సర్,nartaki / nāṭyakāriṇi / ḍyānsar,,a1
dancer (male),noun,నర్తకుడు / నాట్యకారుడు / డ్యాన్సర్,nartakuḍu / nāṭyakāruḍu / ḍyānsar,,a1
dancing (general act),noun,డ్యాన్స్ / నాట్యం / నృత్యం,ḍyāns / nāṭyaṁ / nr̥tyaṁ,,a1
"dancing (performance, classical)",noun,నాట్యం / నృత్యం,nāṭyaṁ / nr̥tyaṁ,,a1
dangerous,adjective,ప్రమాదకరమైన / భయంకరమైన / డేంజరస్,pramādakaramaina / bhayaṁkaramaina / ḍēṁjaras,,a1
dark (deep in color),adjective,ముదురు / నలుపు / గాఢమైన,muduru / nalupu / gāḍhamaina,,a1
date (calendar time),noun,తేదీ / దినాంకం,tēdī / dināṁkaṁ,,a1
date (fruit),noun,ఖర్జూరం,kharjūraṁ,,a1
daughter,noun,కూతురు / కుమార్తె / పుత్రిక,kūturu / kumārte / putrika,,a1
day (24-hour period),noun,రోజు / దినం,rōju / dinaṁ,,a1
"day (daytime, light period)",noun,పగలు / దివసం,pagalu / divasaṁ,,a1
"dear (addressing someone in speech, writing)",adjective,ప్రియమైన / ఆత్మీయ,priyamaina / ātmīya,,a1
dear (beloved),adjective,ప్రియమైన / ఇష్టమైన / ఆత్మీయమైన,priyamaina / iṣṭamaina / ātmīyamaina,,a1
december,noun,డిసెంబర్,ḍiseṁbar,,a1
decision (common choice),noun,నిర్ణయం / తీర్మానం,nirṇayaṁ / tīrmānaṁ,,a1
description,noun,వివరణ / వర్ణన,vivaraṇa / varṇana,,a1
"design (pattern, style)",noun,డిజైన్ / నమూనా / శైలి,ḍijain / namūnā / śaili,,a1
"design (plan, structure)",noun,రూపకల్పన / ప్రణాళిక / డిజైన్,rūpakalpana / praṇāḷika / ḍijain,,a1
desk,noun,డెస్క్ / బల్ల,ḍesk / balla,,a1
detail,noun,వివరాలు / అంశం,vivarālu / aṁśaṁ,,a1
"dialogue (script, film)",noun,సంభాషణ / డైలాగ్,saṁbhāṣaṇa / ḍailāg,,a1
dictionary,noun,నిఘంటువు / డిక్షనరీ,nighaṁṭuvu / ḍikṣanarī,,a1
diet (restrictive eating plan),noun,ఆహార నియమాలు / డైట్,āhāra niyamālu / ḍaiṭ,,a1
difference,noun,తేడా / భేదం / వ్యత్యాసం,tēḍā / bhēdaṁ / vyatyāsaṁ,,a1
dinner,noun,రాత్రి భోజనం / డిన్నర్,rātri bhōjanaṁ / ḍinnar,,a1
"dish (plate, container)",noun,పళ్ళెం / ప్లేట్,paḷḷeṁ / plēṭ,,a1
dish (prepared food),noun,వంటకం / కూర / డిష్,vaṁṭakaṁ / kūra / ḍiṣ,,a1
dog,noun,కుక్క / శునకం,kukka / śunakaṁ,,a1
dollar,noun,డాలర్,ḍālar,,a1
door,noun,తలుపు / ద్వారం,talupu / dvāraṁ,,a1
down,preposition,కింద / క్రింద,kiṁda / kriṁda,,a1
"down (emotionally, sad)",adverb,నిరాశగా / బాధగా / దిగులుగా,nirāśagā / bādhagā / digulugā,,a1
downstairs (location),adverb,కిందకు / కింది అంతస్తుకు,kiṁdaku / kiṁdi aṁtastuku,,a1
dress (clothing),noun,దుస్తులు / వస్త్రం / బట్టలు,dustulu / vastraṁ / baṭṭalu,,a1
"dress (clothing, attire)",noun,దుస్తులు / వస్త్రధారణ / బట్టలు,dustulu / vastradhāraṇa / baṭṭalu,,a1
dress (frock or gown),noun,డ్రెస్సు / గౌను / ఫ్రాక్,ḍressu / gaunu / phrāk,,a1
dress (frock),noun,ఫ్రాక్ / డ్రెస్సు,phrāk / ḍressu,,a1
drink (alcoholic beverage),noun,మద్యం / సారాయి / డ్రింక్,madyaṁ / sārāyi / ḍriṁk,,a1
"driver (operator of vehicle, colloquial)",noun,డ్రైవరు / సారథి,ḍraivaru / sārathi,,a1
"driver (operator of vehicle, formal)",noun,డ్రైవరు / సారథి / వాహన చోదకుడు,ḍraivaru / sārathi / vāhana cōdakuḍu,,a1
during (the period of time),preposition,సమయంలో / కాలంలో / మధ్య,samayaṁlō / kālaṁlō / madhya,,a1
dvd,noun,డీవీడీ,ḍīvīḍī,,a1
"each (as a determiner, e.g., each day)",determiner,ప్రతి / ఒక్కొక్క,prati / okkokka,,a1
"each (each one, individually)",adverb,ఒక్కొక్కటిగా / విడివిడిగా,okkokkaṭigā / viḍiviḍigā,,a1
"each (each one, individually, for people)",pronoun,ఒక్కొక్కరు / ప్రతి ఒక్కరు,okkokkaru / prati okkaru,,a1
each (one per person/item),pronoun,ఒక్కొక్కటి / ప్రతి ఒక్కటి,okkokkaṭi / prati okkaṭi,,a1
each (per unit),pronoun,ఒక్కొక్కటి / ప్రతి యూనిట్,okkokkaṭi / prati yūniṭ,,a1
each (per unit/for each one),determiner,ప్రతి / ఒక్కొక్క,prati / okkokka,,a1
ear,noun,చెవి / కర్ణం,cevi / karṇaṁ,,a1
early,adverb,ముందుగా / త్వరగా / ప్రాతఃకాలంలో,muṁdugā / tvaragā / prātaḥkālaṁlō,,a1
"early (historical, primitive)",adjective,ప్రాచీన / తొలి / పూర్వ,prācīna / toli / pūrva,,a1
early (initial or primitive),adjective,తొలి / ప్రాథమిక / ప్రారంభ,toli / prāthamika / prāraṁbha,,a1
early morning,noun,తెల్లవారుజాము / ప్రాతఃకాలం / ఉదయం,tellavārujāmu / prātaḥkālaṁ / udayaṁ,,a1
east,noun,తూర్పు / ప్రాచీదిశ,tūrpu / prācīdiśa,,a1
"east (adverbially, towards)",adverb,తూర్పుగా / తూర్పు దిశగా,tūrpugā / tūrpu diśagā,,a1
east (eastern),adjective,తూర్పు / ప్రాచ్య,tūrpu / prācya,,a1
